compartment	strongest_qc_attenuator	raw_auc	residualized_auc	attenuation
b_plasma_like	median_pct_mito	1.0	0.6875	0.3125
epithelial_like	mean_pct_mito	1.0	0.6875	0.3125
myeloid_apc_like	mean_pct_mito	1.0	0.5625	0.4375
stromal_endothelial_like	mean_pct_mito	0.875	0.5625	0.3125
t_cell_like	mean_pct_mito	1.0	0.75	0.25
