accession	sample_id	description	donor_id	group	disease_state	marker_compartment	compartment_source	module	n_cells	mean_score	high_fraction
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	1293	0.0041775161596211245	0.04949729311678268
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	1293	0.13519374071690746	0.3186388244392885
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1293	0.15804206326022166	0.4423820572312452
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	1293	0.013926671409250881	0.308584686774942
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	1293	0.1424043071513337	0.35962877030162416
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1293	0.21906220968616988	0.45243619489559167
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_b_cell_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1293	0.18297576727940232	0.43928847641144625
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	complement_phagocytosis	1219	0.06660897463287184	0.3051681706316653
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	hla_ii_cd74	1219	0.1421458249579092	0.3158326497128794
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	1219	0.19468388628032796	0.4191960623461854
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lipid_loader_repair	1219	0.03822317802316232	0.31501230516817064
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	lysosomal_apc	1219	0.17380471160068872	0.35192780968006565
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	1219	0.22309890142551186	0.47662018047579985
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_myeloid_apc_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	1219	0.172946980216244	0.4003281378178835
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	complement_phagocytosis	589	-0.014792000855894705	0.022071307300509338
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	hla_ii_cd74	589	0.04358055714601942	0.27504244482173174
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	589	0.08449323703999545	0.34465195246179964
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lipid_loader_repair	589	0.00508309017715366	0.22920203735144312
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	lysosomal_apc	589	0.2186327478177635	0.45840407470288624
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	589	0.22550506203995221	0.5059422750424448
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_nk_like	marker_derived_from_GEO_counts	slc15a4_tasl_branch	589	0.09137119239449376	0.3769100169779287
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	complement_phagocytosis	40	-0.018809510415980307	0.25
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	hla_ii_cd74	40	0.05972884379966144	0.3
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	ifng_hlaii_cd74	40	0.057440451371267	0.275
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lipid_loader_repair	40	0.05667374538923903	0.325
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	lysosomal_apc	40	0.06412877082219196	0.4
GSE227835	GSM7266236	A1	AChR_MG_1	achr_positive_mg	AChR-positive MG	marker_plasmablast_like	marker_derived_from_GEO_counts	mixscale_validated_ifng_readout	40	0.014599416871253356	0.325
