accession	contrast	interpretation_scope	marker_compartment	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	ACSL1	mean_log_norm	20	10	0.018373199417756815	0.014591923027448689	0.003781276390308126	0.42141391963266145	1.4684792909864763	0.15386110311683251	0.5198009814301859
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	ACSL1	detection_fraction	20	10	0.018941758803616326	0.014001921235114123	0.004939837568502203	0.544285024498804	1.9883907376832635	0.0590682379335302	0.37697066477589775
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	APOE	mean_log_norm	20	10	0.0008567894582939125	0.0006292926932581942	0.00022749676503571836	0.13758532046076477	0.44587869209556824	0.6591268410110993	0.8798810230011052
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	APOE	detection_fraction	20	10	0.0006440584725193882	0.000809525902075447	-0.00016546742955605878	-0.11872268317763304	-0.3163066102216546	0.755350001705631	0.9247257984653572
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	ATG16L1	mean_log_norm	20	10	0.03179790540087759	0.03359480917080669	-0.0017969037699291021	-0.2241528753355311	-0.6680103841384631	0.5103769673479007	0.8041309131847955
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	ATG16L1	detection_fraction	20	10	0.033813238727526285	0.033804345273590296	8.893453935988893e-06	0.0010585277633940362	0.0031142087915842775	0.9975412443769192	1.0
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	AXL	mean_log_norm	20	10	0.0014779794273958433	0.0013256075971749292	0.00015237183022091404	0.05621753294098818	0.16237927548313788	0.8724456080198852	0.9671908324202347
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	AXL	detection_fraction	20	10	0.0011709760155326396	0.0012418101690508242	-7.083415351818458e-05	-0.035621241945036665	-0.10511669647334294	0.917159825213595	0.983386291596247
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	CARD9	mean_log_norm	20	10	0.0026320109105387388	0.002577149801632606	5.486110890613261e-05	0.03224424000702751	0.08576264497987432	0.9325907649497142	0.9874189586000794
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_b_cell_apc_like	CARD9	detection_fraction	20	10	0.002886643803673422	0.0027900232716431455	9.662053203027656e-05	0.05441675276083373	0.14609443539588882	0.8854125626146375	0.9708235814732125
