module	gene	n_samples_present	n_samples_total	present_all_samples
ifng_hlaii_cd74	IFNG	40	40	True
ifng_hlaii_cd74	IFNGR1	40	40	True
ifng_hlaii_cd74	IFNGR2	40	40	True
ifng_hlaii_cd74	STAT1	40	40	True
ifng_hlaii_cd74	IRF1	40	40	True
ifng_hlaii_cd74	CXCL9	40	40	True
ifng_hlaii_cd74	CXCL10	40	40	True
ifng_hlaii_cd74	GBP1	40	40	True
ifng_hlaii_cd74	CIITA	40	40	True
ifng_hlaii_cd74	RFX5	40	40	True
ifng_hlaii_cd74	CD74	40	40	True
ifng_hlaii_cd74	HLA-DRA	40	40	True
ifng_hlaii_cd74	HLA-DRB1	40	40	True
ifng_hlaii_cd74	HLA-DPA1	40	40	True
ifng_hlaii_cd74	HLA-DPB1	40	40	True
hla_ii_cd74	CD74	40	40	True
hla_ii_cd74	HLA-DRA	40	40	True
hla_ii_cd74	HLA-DRB1	40	40	True
hla_ii_cd74	HLA-DPA1	40	40	True
hla_ii_cd74	HLA-DPB1	40	40	True
hla_ii_cd74	CIITA	40	40	True
hla_ii_cd74	RFX5	40	40	True
lysosomal_apc	IFI30	40	40	True
lysosomal_apc	CTSS	40	40	True
lysosomal_apc	CTSB	40	40	True
lysosomal_apc	CTSD	40	40	True
lysosomal_apc	LAMP1	40	40	True
lysosomal_apc	LAMP2	40	40	True
lysosomal_apc	LAMP3	40	40	True
mixscale_validated_ifng_readout	CD74	40	40	True
mixscale_validated_ifng_readout	CTSS	40	40	True
mixscale_validated_ifng_readout	IFI30	40	40	True
mixscale_validated_ifng_readout	CIITA	40	40	True
mixscale_validated_ifng_readout	TAP1	40	40	True
mixscale_validated_ifng_readout	TAP2	40	40	True
mixscale_validated_ifng_readout	B2M	40	40	True
mixscale_validated_ifng_readout	NLRC5	40	40	True
lipid_loader_repair	ACSL1	40	40	True
lipid_loader_repair	APOE	40	40	True
lipid_loader_repair	GPNMB	40	40	True
lipid_loader_repair	LPL	40	40	True
lipid_loader_repair	PLIN2	40	40	True
lipid_loader_repair	CD36	40	40	True
lipid_loader_repair	LIPA	40	40	True
lipid_loader_repair	FABP5	40	40	True
lipid_loader_repair	TREM2	40	40	True
lipid_loader_repair	MSR1	40	40	True
lipid_loader_repair	MERTK	40	40	True
lipid_loader_repair	SPP1	40	40	True
complement_phagocytosis	C1QA	40	40	True
complement_phagocytosis	C1QB	40	40	True
complement_phagocytosis	C1QC	40	40	True
complement_phagocytosis	CD68	40	40	True
complement_phagocytosis	TREM2	40	40	True
complement_phagocytosis	MERTK	40	40	True
complement_phagocytosis	MSR1	40	40	True
slc15a4_tasl_branch	SLC15A4	40	40	True
slc15a4_tasl_branch	TASL	40	40	True
slc15a4_tasl_branch	IRF5	40	40	True
slc15a4_tasl_branch	TLR7	40	40	True
slc15a4_tasl_branch	TLR8	40	40	True
slc15a4_tasl_branch	MYD88	40	40	True
slc15a4_tasl_branch	UNC93B1	40	40	True
slc15a4_tasl_branch	TNFAIP3	40	40	True
