accession	contrast	interpretation_scope	marker_compartment	module	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	hla_ii_cd74	high_fraction	20	10	0.21819455908767327	0.23935757046988476	-0.021163011382211494	-0.28187405559379725	-0.7090854202452086	0.48860572463148966	0.6663532692660992
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	ifng_hlaii_cd74	mean_score	20	10	-0.0006869599634015857	-0.018499831942128973	0.01781287197872739	0.1409287466848857	0.338127295048377	0.7402390662369251	0.8483893815674686
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	ifng_hlaii_cd74	high_fraction	20	10	0.23476073662475078	0.24076328824494714	-0.006002551620196361	-0.06245369356317921	-0.17594960397817858	0.8620001765931427	0.9298401537365799
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	lipid_loader_repair	mean_score	20	10	0.052297074226266796	-0.0009679804825197542	0.05326505470878655	0.7648541277082436	2.3833657992438955	0.024526293189564462	0.1226314659478223
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	lipid_loader_repair	high_fraction	20	10	0.3157777439183397	0.25126874066546223	0.06450900325287745	0.7780378532746819	2.482079165649944	0.01943435432600695	0.11577913215493504
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	lysosomal_apc	mean_score	20	10	0.02260875053628073	-0.01589546446806366	0.03850421500434439	0.2939141152722764	0.7034628250503255	0.49325985229918123	0.6672113944143514
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	lysosomal_apc	high_fraction	20	10	0.21939248572407286	0.24743495298561086	-0.028042467261538	-0.35210127096702276	-0.9361368848106929	0.36146187193257917	0.5622740230062342
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	mixscale_validated_ifng_readout	mean_score	20	10	0.002473594096895833	-0.014910698210542259	0.01738429230743809	0.14479648598199768	0.3563495104799855	0.7265471615345636	0.8467205651793149
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	mixscale_validated_ifng_readout	high_fraction	20	10	0.23966740667066047	0.24225050272036394	-0.0025830960497034705	-0.024642837555488937	-0.06810260519507132	0.946374369584841	0.96202930203712
GSE227835	untreated_mg_vs_healthy_control	primary disease-control: AChR-positive MG plus seronegative pre-treatment MG vs healthy controls	marker_myeloid_apc_like	slc15a4_tasl_branch	mean_score	20	10	0.05025969102686064	-0.013676916940439285	0.06393660796729993	0.6555190716212618	1.5508182349220283	0.14374238260239794	0.32457957361831796
