	mif_cd74_receptor_state	ifn_apc	hla_ii_apc	mixscale_validated_ifng_readout	lysosomal_apc	lipid_loader_repair	hif_nampt_metabolic	complement_phagocytosis
n_strong_diseases	2.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0
n_supportive_or_strong_diseases	6.0	4.0	4.0	4.0	3.0	2.0	2.0	0.0
n_trend_or_better_diseases	7.0	7.0	6.0	6.0	5.0	4.0	3.0	0.0
n_negative_trend_diseases	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mean_positive_delta	0.596352609980423	0.433125584607969	0.5795175954269817	0.3826852621334323	0.3332843163642599	0.2212643281590369	0.3102713503057022	0.0
median_positive_hedges_g	1.5885489189538626	1.553769953622447	1.4746524775781351	2.1679548340474177	1.660122892299652	1.4503807051083617	2.2042513819690743	0.0
