row	hla_ii_apc	ifn_apc	lipid_loader_repair	lysosomal_apc	mif_cd74_receptor_state
GSE198520_RA_synovium_antiTNF|bulk_synovium|baseline_pre|good_vs_moderate_none	0.5301318632807379	0.7594030486559689	-0.5060805491693892	1.017939279950275	1.0900501631692636
GSE198520_RA_synovium_antiTNF|bulk_synovium|baseline_pre|moderate_good_vs_none	0.3439893714865841	0.6771355911659706	0.0450424774295717	0.8201880022317561	0.9670038744585427
GSE198520_RA_synovium_antiTNF|bulk_synovium|baseline_pre|spearman_vs_delta_das28	-0.2893317599447194	-0.3216924519854948	0.1553189703865462	-0.3945657661231189	-0.4809021162624396
GSE198520_RA_synovium_antiTNF|bulk_synovium|delta_post_minus_pre|good_vs_moderate_none	-0.2274997742047964	-0.6080135171916482	-0.005698051850548	-0.5030513692098587	-0.5070632537833524
GSE198520_RA_synovium_antiTNF|bulk_synovium|delta_post_minus_pre|moderate_good_vs_none	-0.0857577629996938	-0.5344898965129804	-0.3613472163866802	-0.6148352456800532	-0.6024972932772112
GSE198520_RA_synovium_antiTNF|bulk_synovium|delta_post_minus_pre|spearman_vs_delta_das28	0.0484175239694044	0.1149298623814562	-0.0261849874528412	0.1141887778309041	0.2809945587510081
GSE198520_RA_synovium_antiTNF|bulk_synovium|paired_change|all_patients	-0.2824014881169939	-0.3515930556981597	-0.0967398654071976	-0.2907039412504011	-0.3463501660623491
GSE198520_RA_synovium_antiTNF|bulk_synovium|paired_change|good_responders	-0.3699357210157267	-0.6377263602288029	-0.0983965893297106	-0.5058586036847013	-0.5405267722838643
GSE198520_RA_synovium_antiTNF|bulk_synovium|paired_change|moderate_good_responders	-0.2996121669159224	-0.4839336722494463	-0.1504199516801947	-0.4257813406918668	-0.4651130128444637
GSE198520_RA_synovium_antiTNF|bulk_synovium|paired_change|nonresponders	-0.2430627937194431	-0.0491002178666474	0.025957474645367	0.0180444003300916	-0.0748922305603728
GSE282122_IBD_myeloid_antiTNF|DC|baseline_pre|remission_vs_nonremission	-0.1789931979052991	0.7020273516408355	0.5626839214647223	0.8878463637078594	-0.2596779912413594
GSE282122_IBD_myeloid_antiTNF|DC|delta_post_minus_pre|remission_vs_nonremission	0.8944988604981876	-0.462624163708019	-1.1759929752487523	-1.06129714657032	0.5937281685126635
GSE282122_IBD_myeloid_antiTNF|DC|paired_change|all_patients	0.1838246916536393	0.0199925613072644	-0.0533489718160444	-0.0511282400499499	0.1367176196709322
GSE282122_IBD_myeloid_antiTNF|DC|paired_change|nonremission	0.0164583442893273	0.1182646766277166	0.1101584448764318	0.0990572540300422	0.0105314732861186
GSE282122_IBD_myeloid_antiTNF|DC|paired_change|remission	0.3898140422558693	-0.1009577344717535	-0.2545888692837075	-0.2359719250714788	0.2920236459907028
GSE282122_IBD_myeloid_antiTNF|Mono_macro|baseline_pre|remission_vs_nonremission	-0.2703890781456997	0.3326885553821179	0.0045006880408413	0.258720244658248	-0.4601013688939878
GSE282122_IBD_myeloid_antiTNF|Mono_macro|delta_post_minus_pre|remission_vs_nonremission	1.034334724889504	-0.0470538308965104	-0.893038027866897	-0.5850573085209057	1.0989015937286928
GSE282122_IBD_myeloid_antiTNF|Mono_macro|paired_change|all_patients	0.2248762778064154	-0.0296218273972054	0.0045168391541583	-0.064371307212428	0.1712794237747547
GSE282122_IBD_myeloid_antiTNF|Mono_macro|paired_change|nonremission	-0.1722995251605991	-0.0185659482842986	0.1564010917328069	0.0334735190449375	-0.1658946198030772
GSE282122_IBD_myeloid_antiTNF|Mono_macro|paired_change|remission	0.7137080353042793	-0.0432290632284753	-0.1824176255580245	-0.184795708759955	0.586262862024394
