	complement_phagocytosis	hif_nampt_metabolic	hla_ii_apc	ifn_apc	lipid_loader_repair	lysosomal_apc	mif_cd74_receptor_state	mixscale_validated_ifng_readout
ibd_crohn_epithelial|Crohn disease|colon epithelial	-0.0093600832138453	0.2474819968276427	0.4503735094246705	0.3736808018148385	0.0655621906228856	0.0426223760759521	0.4783751733076208	0.251144911338508
ibd_crohn_myeloid|Crohn disease|colon myeloid	-0.1798389844685619	0.5010087181804354	0.1090355372346904	0.5850670469317303	0.0681653266792415	0.1325074561865119	0.1887295411445655	0.4119680116952662
ibd_uc_epithelial|ulcerative colitis|colon epithelial	0.0047848520080787	0.3961886265140769	0.3812501418830969	0.2895967139945096	0.0280753354071789	0.0113946264637093	0.4394729298112865	0.1347169404636061
ibd_uc_myeloid|ulcerative colitis|colon myeloid	-0.2427821082271818	0.6951364212868024	0.1453383370787183	0.4847164229986094	0.1202125134437931	0.2479435015472393	0.2908169398201553	0.4432732317739749
psoriasis_keratinocyte|psoriasis|skin keratinocyte	0.0964625874031953	0.093342986343727	0.3658192373547676	0.4594530720844392	0.1615659099636564	0.2034671491911926	0.385680484148362	0.3830007003184595
psoriasis_skin_apc|psoriasis|skin APC	0.000232395049363	-0.0749159232156153	0.2687575984952437	0.4486075746271026	-0.0367036892971023	0.1063870284390423	0.0879500765288029	0.2991575813226255
ra_blood_myeloid|rheumatoid arthritis|blood myeloid/APC	0.016549704856915	-0.0050627495290292	-0.0677871166801269	-0.0459781417814682	0.0125636713508625	-0.0085636335398977	-0.0450643548870716	-0.0178272683572939
sjogren_gland_apc|Sjogren syndrome|salivary gland APC	-0.1122887896401115	-0.0625072348917547	0.0528030148358123	0.0831867802213486	-0.1293502626108293	-0.0635183180674059	0.0992238226129082	0.0532534721863691
sjogren_gland_epithelial|Sjogren syndrome|salivary gland epithelial	0.0157503510587511	-0.0423473167387864	0.2036768517163498	0.1494697337635693	-0.0166041608861919	-0.0515898618995964	0.2069560003041781	0.0968369995679686
t1d_acinar_cell|type 1 diabetes mellitus|pancreatic acinar cell	0.0397822717873031	0.2871434275753872	0.0919654525127152	0.1527456160027379	0.2052927106971705	0.1436927242555934	0.0812568330810173	0.2979775059852992
t1d_beta_cell|type 1 diabetes mellitus|pancreatic beta cell	0.1136589388095447	0.1698269008542945	0.4516314833111438	0.5633379025044165	0.2684656338069596	0.1031262115869493	0.5042026549942139	0.4954543078148132
t1d_ductal_cell|type 1 diabetes mellitus|pancreatic ductal cell	-0.0410524723176041	0.2743267862699387	0.2235528871445532	0.1757945843003663	0.0548120304295186	0.2111920550283281	0.1720618892473699	0.2724331892978909
