	complement_phagocytosis	hif_nampt_metabolic	hla_ii_apc	ifn_apc	lipid_loader_repair	lysosomal_apc	mif_cd74_receptor_state	mixscale_validated_ifng_readout
GSE106992|etanercept/ustekinumab|therapy=etanercept;response=NR	-0.1590902266374426	-1.0616628124663	-0.248590270335108	-1.02486864638495	0.0966559495166194	-1.1318272110330885	0.0372079196980508	-0.7777365198982842
GSE106992|etanercept/ustekinumab|therapy=etanercept;response=R	-0.1598610519281334	-1.0158575230597922	-0.3003001937582315	-1.4269480753314243	0.1208931965201903	-1.4247046484396604	-0.1400168603424992	-0.9335249075957096
GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=NR	0.0990525713223423	-0.8097438633091034	-0.3535341663468115	-0.9899743613102888	0.2204277089230903	-0.9811241542377396	0.0083935717713047	-0.6741986513441963
GSE106992|etanercept/ustekinumab|therapy=ustekinumab;response=R	-0.2112905724491607	-1.1486655372307015	-0.6410179965651179	-1.509728105189836	-0.1871932662178878	-1.3274540578319192	-0.3606078033182216	-1.1201562372342837
GSE183047|secukinumab|marker_compartment=keratinocyte_like	-0.0726997683792502	-0.0326789152510563	-0.0263323633974729	-0.0613202077171025	0.0119581653501298	0.0354548511504853	-0.0814300563564497	-0.0866151114488259
GSE183047|secukinumab|marker_compartment=myeloid_apc_like	-0.2055132571960703	-0.0432897322684668	-0.2272505344209078	-0.2137268108143425	-0.0516517935363012	-0.1808490774788912	-0.2693342624278826	-0.1790210457569636
GSE183047|secukinumab|marker_compartment=t_cell_like	0.0025063501460096	0.0041206590053889	-0.0644450238940395	-0.0984877244971623	0.0465604160082525	0.0036549148269326	-0.0544297299006494	-0.037383497422118
GSE235357|dimethyl fumarate|response=NR	0.2897530072957245	-0.3629652637699019	-0.4096278047203451	-0.879562592036773	0.4046407270181222	0.0645247040495719	-0.443274459317066	-0.5247613495730622
GSE235357|dimethyl fumarate|response=R	0.8140085081093809	0.3481442894653628	-0.0109495311537729	-0.4651872767383764	1.0243743546651591	0.5686972458704893	-0.3543456058628843	-0.2882006956428024
GSE24742|rituximab|response=good	-0.2170757539493652	-0.6374860548550757	-0.7011378769375779	-0.9298766738347648	-0.0543364565557917	-0.3274725851767981	-0.7421274660155007	-0.6050417572337567
GSE24742|rituximab|response=moderate	-0.1664093884661878	-0.1826812687162189	-0.2027380506911882	-0.341833083395937	-0.011333554963097	-0.1368007090703135	-0.108374793278513	-0.2308374408078609
GSE24742|rituximab|response=poor	-0.4083956723003227	-0.1398996338688344	-0.0665016946270431	-0.1019393851278236	-0.3009408092478679	-0.2523690568231558	0.014176670505678	-0.1416285202731585
GSE250453|fingolimod|response=NR	-0.0885436273178832	0.3833014095133754	-1.884667750739212	-0.7890917467667447	-0.5148815265826482	-0.1033507574621358	-1.1647303339063586	-1.0580807401621528
GSE250453|fingolimod|response=R	0.5480530843517039	-0.3671014344730728	-1.361159652129238	-0.4820349056311192	0.4320036178667689	0.5691357741301061	-1.1691889346533355	-0.7144009675497767
GSE253006|tofacitinib|group=No responder;marker_compartment=b_plasma_like	0.0083291447758155	0.1965073948203282	0.2705492513885443	0.304285268097264	0.0375018810172138	0.0529498178020742	0.2934593417545398	0.1876452972852091
GSE253006|tofacitinib|group=No responder;marker_compartment=epithelial_like	0.0195791946286757	0.1569033237323304	0.1403040291071951	0.1512054764774458	0.0614879377775026	0.0779160437583529	0.1463913954609318	0.131096955005742
GSE253006|tofacitinib|group=No responder;marker_compartment=myeloid_apc_like	-0.0286846774301988	0.1906869411015603	0.0488778630757158	0.1504366009396891	0.0272103107097879	0.030971538373371	0.051136004200906	0.1352693242840758
GSE253006|tofacitinib|group=No responder;marker_compartment=stromal_endothelial_like	0.0678520812478152	0.0672332429203556	-0.1070154394078011	0.0492514479701389	-0.0387983177235385	-0.0561296516121923	-0.0624189912475483	0.0233219333541463
GSE253006|tofacitinib|group=No responder;marker_compartment=t_cell_like	0.0189033647463301	0.0032186156241838	-0.0383907971097286	0.0072140563224448	0.00071245450769	-0.0237844220352059	-0.0820041758437232	0.0098374977580771
GSE253006|tofacitinib|group=Responder;marker_compartment=b_plasma_like	-0.0110748727340509	-0.1003605671044732	-0.1972885442282493	-0.162158720738378	0.0062032959460902	-0.0178122749609714	-0.2266098164643597	-0.1028085803460816
GSE253006|tofacitinib|group=Responder;marker_compartment=epithelial_like	-0.027234501756127	-0.245721690922353	-0.2901567979133453	-0.263559496591737	-0.0128680299173596	-0.04654976042034	-0.327501425113525	-0.1974782290414899
GSE253006|tofacitinib|group=Responder;marker_compartment=myeloid_apc_like	0.0445833680408657	-0.3033385930671389	0.1490860518764474	-0.0508128642112943	0.0436926009125301	-0.1099229216470996	0.0495486571037239	-0.1083439475049492
GSE253006|tofacitinib|group=Responder;marker_compartment=stromal_endothelial_like	-0.0225205427441529	-0.3287720817074419	-0.067875787088815	-0.2495337426893838	0.0303561409237395	-0.2279891084242356	-0.1200847099020713	-0.2333478590075251
GSE253006|tofacitinib|group=Responder;marker_compartment=t_cell_like	-0.0206078785204217	-0.1297349273718569	-0.119738391498794	-0.1436735084008902	-0.0234920119643008	-0.066542457973572	-0.0887373235838601	-0.090440758663435
