module_a	module_b	n_modalities_tested	major_sign	sign_consistency	median_abs_spearman	active_modalities_abs_r_ge_0.3	sign_flip_null_p	q_bh	invariant_grade
hla_ii_apc	ifn_apc	4	1	1.0	0.5561508057160232	4	0.1329335332333833	0.33978010994502744	not_supported
hla_ii_apc	lipid_loader_repair	4	1	0.75	0.3864030706135969	3	0.6196901549225388	0.6891970681326003	not_supported
hla_ii_apc	lysosomal_apc	4	1	1.0	0.2703466099118273	2	0.12543728135932034	0.33978010994502744	not_supported
hla_ii_apc	mif_cd74_receptor_state	4	1	1.0	0.8530404378230465	4	0.13093453273363317	0.33978010994502744	not_supported
hla_ii_apc	mixscale_validated_ifng_readout	3	1	1.0	0.8182608695652173	3	0.2613693153423288	0.33978010994502744	not_supported
ifn_apc	lipid_loader_repair	4	1	0.75	0.4881802408118198	3	0.6361819090454772	0.6891970681326003	not_supported
ifn_apc	lysosomal_apc	4	1	1.0	0.7360358393439344	4	0.13343328335832083	0.33978010994502744	not_supported
ifn_apc	mif_cd74_receptor_state	4	1	1.0	0.551374940848625	4	0.13393303348325838	0.33978010994502744	not_supported
ifn_apc	mixscale_validated_ifng_readout	3	1	1.0	0.9617391304347825	3	0.2588705647176412	0.33978010994502744	not_supported
lipid_loader_repair	lysosomal_apc	3	1	1.0	0.544360902255639	3	0.24587706146926536	0.33978010994502744	not_supported
lipid_loader_repair	mif_cd74_receptor_state	3	1	0.6666666666666666	0.306766917293233	2	1.0	1.0	not_supported
lysosomal_apc	mif_cd74_receptor_state	3	1	1.0	0.06293706293706294	0	0.25687156421789104	0.33978010994502744	not_supported
mif_cd74_receptor_state	mixscale_validated_ifng_readout	3	1	1.0	0.6626086956521738	3	0.2608695652173913	0.33978010994502744	not_supported
