context	gene	ensembl_id	token_id	n_disease_cells	n_control_cells	n_disease_cells_with_token	mean_shift_to_control_cosine	mean_projection_to_control	mean_embedding_delta_norm	random_mean_shift_to_control_cosine	random_sd_shift_to_control_cosine	random_mean_projection_to_control	interpretation	cosine_shift_z_vs_random	projection_minus_random	candidate_support_flag
IBD_myeloid	SCARB2	ENSG00000138760	7621	24	24	0				-0.0001861544118987	0.0009516650796762	0.0034072508844676	token_not_detected_in_selected_disease_cells			False
IBD_myeloid	GPNMB	ENSG00000136235	7137	24	24	2	-0.000353991985321	-0.0563280396163463	0.4309601187705993	-0.0001861544118987	0.0009516650796762	0.0034072508844676	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.17636201748561164	-0.059735290500813894	False
IBD_myeloid	SPP1	ENSG00000118785	4804	24	24	1	-0.0019213557243347	0.0545532256364822	1.1008789539337158	-0.0001861544118987	0.0009516650796762	0.0034072508844676	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-1.8233319152851495	0.0511459747520146	False
IBD_epithelial	LGALS3	ENSG00000131981	6432	24	24	11	-0.000673082715366	-0.0503355488181114	1.3921393156051636	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.8078919810217808	-0.0748681846501615	False
IBD_epithelial	LGALS1	ENSG00000100097	2170	24	24	0				-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	token_not_detected_in_selected_disease_cells			False
IBD_epithelial	LGALS9	ENSG00000168961	12261	24	24	2	-0.0002216696739196	0.0412975028157234	0.3279053568840027	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.23116436885796096	0.0167648669836733	False
IBD_epithelial	LGALS3BP	ENSG00000108679	3539	24	24	10	7.418393943225965e-05	0.0124309891834855	0.4498805403709411	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	0.1468197217915688	-0.0121016466485646	False
IBD_epithelial	CD44	ENSG00000026508	457	24	24	1	-0.0005599856376647	0.0378741733729839	0.4198001027107239	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.6633985756997248	0.013341537540933798	False
IBD_epithelial	TYROBP	ENSG00000011600	309	24	24	0				-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	token_not_detected_in_selected_disease_cells			False
IBD_epithelial	CTSB	ENSG00000164733	11238	24	24	1	-0.0002786517143249	0.0617917403578758	0.3386582732200622	-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	positive_shift_means_deleted_embedding_moved_toward_control_centroid	-0.30396491532394754	0.037259104525825704	False
IBD_epithelial	CTSL	ENSG00000135047	6899	24	24	0				-4.0733979807959666e-05	0.0007827144598691	0.0245326358320501	token_not_detected_in_selected_disease_cells			False
