gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	positive_projection_contexts
CTSB	7	34	0.00017334698350168878	0.013401702844670845	0.44793943675691156	3	6
CTSL	7	32	4.878589173882474e-05	-0.003905122833592557	0.2647380974370724	3	3
LGALS3BP	6	34	0.00017870671581473913	0.012332849980642385	0.4170840880358224	2	3
LGALS1	5	32	0.00025564951356500063	-0.030914663895964624	0.4419313803819345	2	2
CTSD	8	29	-8.879918595992875e-05	0.004306996794184663	-0.04497549333837281	1	5
SPP1	4	10	-0.0005868002772331	0.025373612530529475	-0.6389757028022252	1	3
FABP5	6	21	-9.707803352868495e-06	-0.029642804525792585	0.08486908336259193	1	2
LGALS3	7	34	-0.0001237967163823	-0.02910343888860161	-0.061304278604762195	1	2
TYROBP	2	10	-0.0003112107515335	-0.016211694106459604	-0.33132392187204396	1	1
CD44	9	75	-0.0002964669349441148	-0.005062237174974556	-0.263907333540718	0	4
SCARB2	8	32	6.812638275732261e-05	0.011786713643232336	0.22366883362249135	0	3
LGALS9	3	8	-0.00011265277862545872	0.027428998922308268	-0.03375177154134517	0	3
GPNMB	4	5	-0.00017625093460082157	-0.02356300177052615	-0.12411914226592316	0	1
MSR1	1	1	0.0008006691932678	0.003777970559895	1.3529502461529406	0	0
