name	path	exists	rows	columns
opentargets_credible_sets	tmp_v3/wave13_opentargets_gwas_credible_sets.tsv	True	468	9
opentargets_target_disease_scores	tmp_v3/wave11_opentargets_target_disease_scores.tsv	True	228	8
gwas_catalog_parquet	tmp_v3/gwascatalog_associations_20260317_convert.parquet	True	parquet	
wave14_truth	results_v3/wave14_target_level_genetics/target_level_genetics_truth_table.tsv	True	12	20
broad_h5ad_rank	results_v3/broad_h5ad_gene_discovery/broad_h5ad_gene_rank.tsv	True	25176	40
broad_residual_gate	results_v3/broad_residual_gate/broad_residual_gate_summary.tsv	True	271	22
wave20_local_genetics	results_v3/wave20_genetic_druggable_altaxis/local_opentargets_genetics_summary.tsv	True	44	10
wave20_shortlist	results_v3/wave20_genetic_druggable_altaxis/negative_ranked_shortlist.tsv	True	12	28
wave23_restoration	results_v3/wave23_genetics_restoration_modality/ranked_go_park_no_go.tsv	True	14	17
wave25_causal_proxy	results_v3/wave25_causal_genetics_module_proxy/causal_proxy_candidate_matrix.tsv	True	206	38
wave28_target_first	results_v3/wave28_target_first_rescue/target_first_rescue_matrix.tsv	True	26	53
wave33_tolerance_audit	results_v3/wave33_tolerance_costimulation_audit/tolerance_costimulation_axis_audit.tsv	True	13	29
