gene	chembl_status	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_activity_count_nM	chembl_query_url	gtex_gene_status	gtex_gencode_id	gtex_eqtl_tissue_count	gtex_eqtl_tissues	gtex_lookup_url	europepmc_query	europepmc_hit_count	europepmc_examples	europepmc_url	clinicaltrials_count	clinicaltrials_url	chembl_activity_url
CD226	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD226	ok	ENSG00000150637.8	0		https://gtexportal.org/api/v2/reference/gene?geneId=CD226&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CD226) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1822	41041324:Innovations in immunotherapy for autoimmune diseases: recent breakthroughs and future dire | 40723878:The Immune Regulatory Functions of CD226 and Its Implications in Immune-Mediated Diseases. | 40839671:Integrative molecular network analysis of genetic risk factors to infer biomarkers and the	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CD226%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	2	https://clinicaltrials.gov/api/v2/studies?query.term=CD226&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	
PTGER4	ok	CHEMBL1836	Prostaglandin E2 receptor EP4 subtype	SINGLE PROTEIN	2168	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTGER4	ok	ENSG00000171522.5	1	Whole_Blood	https://gtexportal.org/api/v2/reference/gene?geneId=PTGER4&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(PTGER4) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1630	40981083:The Prevalence of Various Autoimmune Comorbidities in Patients with Inflammatory Bowel Dis | 41851628:A curated list of immune system associated genes related to cancer. | 40507438:The Genetic Background of Ankylosing Spondylitis Reveals a Distinct Overlap with Autoimmun	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTGER4%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=PTGER4&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1836&standard_units=nM&limit=1
CXCR5	ok	CHEMBL1075315	C-X-C chemokine receptor type 5	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCR5	ok	ENSG00000160683.4	0		https://gtexportal.org/api/v2/reference/gene?geneId=CXCR5&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CXCR5) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	8220	41607529:Editorial: Hunting for inflammation mediators: identifying novel biomarkers for autoimmune | 41646546:Age-associated B cells and double-negative B cells: two sides of the same coin? The answer | 41270472:The CXCL13-CXCR5 axis and follicular cytotoxic T cells: Linking T-B crosstalk in autoimmun	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CXCR5%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	9	https://clinicaltrials.gov/api/v2/studies?query.term=CXCR5&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1075315&standard_units=nM&limit=1
CCR6	ok	CHEMBL4423	C-C chemokine receptor type 6	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CCR6	ok	ENSG00000112486.15	4	Whole_Blood;Spleen;Skin_Sun_Exposed_Lower_leg;Brain_Frontal_Cortex_BA9	https://gtexportal.org/api/v2/reference/gene?geneId=CCR6&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CCR6) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	8922	41419693:Biosafety assessment of engineered CCL20 locked dimers in vivo. | 41918754:The role of interleukin-17 inhibition in systemic lupus erythematosus-paradoxical hindranc | 41585831:Pediatric Psoriasis: A Peek into the Comorbidity Profile.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CCR6%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	14	https://clinicaltrials.gov/api/v2/studies?query.term=CCR6&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4423&standard_units=nM&limit=1
TNFRSF14	ok				0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFRSF14	ok	ENSG00000157873.17	3	Whole_Blood;Cells_EBV-transformed_lymphocytes;Colon_Transverse	https://gtexportal.org/api/v2/reference/gene?geneId=TNFRSF14&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(TNFRSF14) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1021	40703454:Single-cell transcriptional landscape of peripheral myeloid cells in autoimmune diseases. | 40148470:Exploring new drug treatment targets for immune related bone diseases using a multi omics  | 41323472:Mendelian randomization study of the causal relationship between autoimmune diseases and a	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNFRSF14%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	0	https://clinicaltrials.gov/api/v2/studies?query.term=TNFRSF14&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	
FAP	ok	CHEMBL4683	Prolyl endopeptidase FAP	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FAP	ok	ENSG00000078098.13	2	Spleen;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=FAP&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(FAP) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4518	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41355193:Epidemiology and Genetics of Rheumatic Diseases Suggest a Constant Rate of DNA Damage as U | 41859079:Expanding horizons: radiolabeled FAPI in imaging of autoimmune diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28FAP%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	19	https://clinicaltrials.gov/api/v2/studies?query.term=FAP&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4683&standard_units=nM&limit=1
CD6	ok	CHEMBL3712853	T-cell differentiation antigen CD6	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD6	ok	ENSG00000013725.14	3	Whole_Blood;Spleen;Brain_Frontal_Cortex_BA9	https://gtexportal.org/api/v2/reference/gene?geneId=CD6&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(CD6) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	1413	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 41477026:Chronic Rhinosinusitis and Autoimmune Diseases: A Comprehensive Large Population-Based Ana | 41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CD6%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	6	https://clinicaltrials.gov/api/v2/studies?query.term=CD6&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL3712853&standard_units=nM&limit=1
PTPN22	ok	CHEMBL2889	Tyrosine-protein phosphatase non-receptor type 22	SINGLE PROTEIN	1114	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PTPN22	ok	ENSG00000134242.15	3	Whole_Blood;Colon_Transverse;Skin_Sun_Exposed_Lower_leg	https://gtexportal.org/api/v2/reference/gene?geneId=PTPN22&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(PTPN22) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4800	41317333:Type 1 Diabetes and Other Autoimmune Diseases-Epidemiology, Pathophysiology and Screening. | 41938075:Gene expression profiles of Protein tyrosine phosphatase non-receptor 22, Tumor necrosis f | 41237580:Exploring the role of genetic variants in susceptibility to autoimmune Diseases: A molecul	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28PTPN22%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	9	https://clinicaltrials.gov/api/v2/studies?query.term=PTPN22&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL2889&standard_units=nM&limit=1
IL2RA	ok	CHEMBL1778	Interleukin-2 receptor subunit alpha	SINGLE PROTEIN	0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL2RA	ok	ENSG00000134460.15	1	Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=IL2RA&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL2RA) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	4622	PPR1176377:InsulatorLeak, a mechanism-first pipeline for variant prioritization by predicted CTCF ins | 41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41516417:Identifying a Common Autoimmune Gene Core as a Tool for Verifying Biological Significance 	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL2RA%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	18	https://clinicaltrials.gov/api/v2/studies?query.term=IL2RA&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL1778&standard_units=nM&limit=1
IL23R	ok	CHEMBL4296013	Interleukin-23 receptor	SINGLE PROTEIN	1106	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=IL23R	ok	ENSG00000162594.15	1	Spleen	https://gtexportal.org/api/v2/reference/gene?geneId=IL23R&gencodeVersion=v26&genomeBuild=GRCh38%2Fhg38&itemsPerPage=3	"(IL23R) AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	10506	41775781:Integrative mendelian randomization approaches for therapeutic target prioritisation in im | 41419940:Genetic pleiotropy underlying obesity and autoimmune disorders: a large-scale cross-trait  | 31644159:Tumor Necrosis Factor Antagonists	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IL23R%29+AND+%28%22autoimmune%22+OR+%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+psoriasis%29&format=json&pageSize=3&resultType=lite	14	https://clinicaltrials.gov/api/v2/studies?query.term=IL23R&query.cond=autoimmune+OR+multiple+sclerosis+OR+rheumatoid+arthritis+OR+lupus+OR+Crohn+OR+psoriasis&format=json&pageSize=1&countTotal=true	https://www.ebi.ac.uk/chembl/api/data/activity.json?target_chembl_id=CHEMBL4296013&standard_units=nM&limit=1
