source_api	id	title_or_accession	url	status	flag_dmf_or_treatment	flag_ms	flag_transcriptomic	flag_response_label	flag_paired_time	flag_blood_pbmc
Europe PMC	42189307	Sex-Related Differences in Circular RNA Expression in Multiple Sclerosis: A Pilot Study.	https://europepmc.org/article/MED/42189307	not_exact_trigger	false	true	false	false	false	false
Europe PMC	39287981	Targeting aryl hydrocarbon receptor functionally restores tolerogenic dendritic cells derived from patients with multiple sclerosis.	https://europepmc.org/article/MED/39287981	not_exact_trigger	false	true	false	false	false	false
Europe PMC	41466279	Dimethyl itaconate suppresses dendritic cell and CD8&lt;sup&gt;+&lt;/sup&gt; T cell responses to halt vitiligo.	https://europepmc.org/article/MED/41466279	not_exact_trigger	false	false	false	true	false	false
Europe PMC	42237169	Single-cell analysis of skin and blood reveals systemic immune responses to ultraviolet B and their impairment in MS.	https://europepmc.org/article/MED/42237169	partial_hit_metadata_only	false	true	false	true	false	true
Europe PMC	41300779	Long Non-Coding RNAs in Multiple Sclerosis-Differential Expression and Functional Implications.	https://europepmc.org/article/MED/41300779	not_exact_trigger	false	true	false	false	false	false
Europe PMC	38591764	Clusterin deficiency is associated with a lack of response to teriflunomide in multiple sclerosis.	https://europepmc.org/article/MED/38591764	not_exact_trigger	false	true	false	true	false	false
Europe PMC	37436778	Therapy of autoimmune inflammation in sporadic amyotrophic lateral sclerosis: Dimethyl fumarate and H-151 downregulate inflammatory cytokines in the cGAS-STING pathway.	https://europepmc.org/article/MED/37436778	not_exact_trigger	true	false	false	false	false	false
Europe PMC	41339376	Longitudinal proteomic profiling of cerebrospinal fluid in untreated multiple sclerosis defines evolving disease biology.	https://europepmc.org/article/MED/41339376	not_exact_trigger	false	true	false	false	true	false
Europe PMC	40197365	Lipid metabolism analysis reveals that DGAT1 regulates Th17 survival by controlling lipid peroxidation in uveitis.	https://europepmc.org/article/MED/40197365	not_exact_trigger	false	false	false	false	false	false
Europe PMC	41078003	The IFNγ-CIITA-MHC II axis modulates melanoma cell susceptibility to NK-cell-mediated cytotoxicity.	https://europepmc.org/article/MED/41078003	not_exact_trigger	false	false	false	false	false	false
Europe PMC	37483622	Dimethyl fumarate-related immune and transcriptional signature is associated with clinical response in multiple sclerosis-treated patients.	https://europepmc.org/article/MED/37483622	partial_hit_metadata_only	true	true	false	true	false	false
Europe PMC	38338652	Response to Fingolimod in Multiple Sclerosis Patients Is Associated with a Differential Transcriptomic Regulation.	https://europepmc.org/article/MED/38338652	partial_hit_metadata_only	false	true	true	true	false	false
Europe PMC	41057909	Development and validation of blood-based diagnostic biomarkers for Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) using EpiSwitch&lt;sup&gt;®&lt;/sup&gt; 3-dimensional genomic regulatory immuno-genetic profiling.	https://europepmc.org/article/MED/41057909	not_exact_trigger	false	false	false	false	false	true
Europe PMC	38625017	Dysregulated lipid metabolism networks modulate T-cell function in people with relapsing-remitting multiple sclerosis.	https://europepmc.org/article/MED/38625017	not_exact_trigger	false	true	false	false	false	false
Europe PMC	36674968	A Comprehensive Exploration of the Transcriptomic Landscape in Multiple Sclerosis: A Systematic Review.	https://europepmc.org/article/MED/36674968	not_exact_trigger	false	true	true	false	false	false
Europe PMC	41226355	Nano-Based Vaccine Delivery Systems: Innovative Therapeutics Against Cancer and Neurological Disorders.	https://europepmc.org/article/MED/41226355	not_exact_trigger	false	true	false	false	false	false
Europe PMC	30283812	Mononuclear cell transcriptome changes associated with dimethyl fumarate in MS.	https://europepmc.org/article/MED/30283812	partial_hit_metadata_only	true	true	true	false	false	false
Europe PMC	32116644	Electrophile Signaling and Emerging Immuno- and Neuro-modulatory Electrophilic Pharmaceuticals.	https://europepmc.org/article/MED/32116644	not_exact_trigger	false	false	false	false	false	false
Europe PMC	31844089	IL-17<sup>+</sup> CD8<sup>+</sup> T cell suppression by dimethyl fumarate associates with clinical response in multiple sclerosis.	https://europepmc.org/article/MED/31844089	partial_hit_metadata_only	true	true	false	true	false	false
Europe PMC	31300673	Therapeutic efficacy of dimethyl fumarate in relapsing-remitting multiple sclerosis associates with ROS pathway in monocytes.	https://europepmc.org/article/MED/31300673	partial_hit_metadata_only	true	true	false	false	false	true
Europe PMC	PMC13299371	Integrative Transcriptomics Uncovers IFN-β Signature and IFITM3 as Putative Molecular Mediator in MS		not_exact_trigger	false	true	true	false	false	false
Europe PMC	41981407	Extensive peripheral immunoglobulin repertoire analyses in people with multiple sclerosis reveal disease-specific signatures and distinct treatment effects of disease modifying drugs.	https://europepmc.org/article/MED/41981407	not_exact_trigger	true	true	false	false	false	false
Europe PMC	39949773	Apheresis for the treatment of relapses in MS and NMOSD: reduced antibody reactivities, gene expression changes and potential clinical response indicators.	https://europepmc.org/article/MED/39949773	candidate_metadata_review_needed	true	true	true	true	false	false
Europe PMC	40749525	HLA-A∗03:01 as predictive genetic biomarker for glatiramer acetate treatment response in multiple sclerosis: a retrospective cohort analysis.	https://europepmc.org/article/MED/40749525	partial_hit_metadata_only	true	true	false	true	false	false
Europe PMC	41880578	Immune cell profiling reveals expanded stem cell-like memory T cells in anti-GAD65-associated neurological syndromes.	https://europepmc.org/article/MED/41880578	not_exact_trigger	false	false	false	false	false	false
Europe PMC	41641929	Epstein-Barr Virus Infection at Single-Cell Resolution.	https://europepmc.org/article/MED/41641929	not_exact_trigger	false	false	false	false	false	false
Europe PMC	PPR1133563	A single-cell cytokine dictionary of human peripheral blood		not_exact_trigger	false	false	false	false	false	true
Europe PMC	41086385	Large Language Models for Translational Cancer Informatics.	https://europepmc.org/article/MED/41086385	not_exact_trigger	false	false	false	false	false	false
Europe PMC	38084102	Single-cell profiling reveals preferential reduction of memory B cell subsets in cladribine patients that correlates with treatment response.	https://europepmc.org/article/MED/38084102	not_exact_trigger	true	false	false	true	false	false
Europe PMC	40537080	Extracellular Vesicle-Derived MicroRNAs as a Biomarker for Therapeutic Response in Multiple Sclerosis.	https://europepmc.org/article/MED/40537080	not_exact_trigger	false	true	false	true	false	false
Europe PMC	37261349	Central nervous system demyelinating diseases: glial cells at the hub of pathology.	https://europepmc.org/article/MED/37261349	not_exact_trigger	false	false	false	false	false	false
Europe PMC	30976575	The 3<sup>rd</sup> National Festival & International Congress on Stem Cell & Regenerative Medicine.	https://europepmc.org/article/MED/30976575	not_exact_trigger	false	false	false	false	false	false
NCBI GDS	200255952	GSE255952 Transcriptome data of B cells and T helper cells from patients with multiple sclerosis receiving methylprednisolone for the treatment of an acute relapse	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255952	partial_hit_metadata_only	true	true	true	false	true	true
NCBI GDS	200267750	GSE267750 TBX21+CD21loCXCR3+B cell expansion with an EBV-associated phenotype in clinically isolated syndrome conversion to multiple sclerosis	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267750	partial_hit_metadata_only	false	true	true	true	true	true
NCBI GDS	200197869	GSE197869 Expression data from splenic T cells  at day7 during MOG-induced mouse EAE model	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197869	not_exact_trigger	false	true	false	true	false	false
NCBI GDS	200288904	GSE288904 Transcriptome Sequencing Data of Peripheral Blood Neutrophils in Multiple Sclerosis Patients and Healthy Volunteers	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288904	partial_hit_metadata_only	false	true	true	true	false	true
NCBI GDS	200247173	GSE247173 Cellular rejuvenation protects neurons from inflammation mediated cell death (RNA-seq).	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247173	partial_hit_metadata_only	false	true	true	true	false	false
NCBI GDS	200246702	GSE246702 Cellular rejuvenation protects neurons from inflammation mediated cell death (ATAC-seq).	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246702	partial_hit_metadata_only	false	true	true	true	false	false
NCBI GDS	200253049	GSE253049 Mitochondrial calcium uniporter complex controls T-cell-mediated immune responses	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253049	partial_hit_metadata_only	false	true	true	true	false	false
NCBI GDS	200268808	GSE268808 Loss of miR-145 promotes remyelination and functional recovery in a model of chronic centrel demyelination	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268808	partial_hit_metadata_only	false	true	true	true	true	false
NCBI GDS	200261258	GSE261258 Human regulatory memory B cells defined by expression of TIM-1 and TIGIT are dysfunctional in Multiple Sclerosis.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261258	candidate_metadata_review_needed	true	true	true	true	true	false
NCBI GDS	200239703	GSE239703 NF-κB transcription factors RelA and c-Rel selectively control CD4+ T-cell function in multiple sclerosis and cancer [sc_rna]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239703	candidate_metadata_review_needed	true	true	true	true	false	false
NCBI GDS	200239700	GSE239700 NF-κB transcription factors RelA and c-Rel selectively control CD4+ T-cell function in multiple sclerosis and cancer [bulk_mouse]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239700	candidate_metadata_review_needed	true	true	true	true	false	false
NCBI GDS	200312339	GSE312339 Comparative RNA-seq analysis of fetal and maternal guinea pig liver transcriptomes reveals widespread transcriptional divergence.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312339	candidate_metadata_review_needed	true	true	true	true	true	true
NCBI GDS	200263752	GSE263752 Diet modulates the protective effects of dimethyl fumarate mediated by the immunometabolic neutrophil receptor HCA2	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263752	partial_hit_metadata_only	true	true	false	true	false	false
NCBI GDS	200274859	GSE274859 Differential neuroprotective and anti-inflammatory effects of dimethyl fumarate, monomethyl fumarate and cannabidiol in neurons and microglia [Mouse]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274859	partial_hit_metadata_only	true	true	true	false	false	true
NCBI GDS	200274435	GSE274435 Differential neuroprotective and anti-inflammatory effects of dimethyl fumarate, monomethyl fumarate and cannabidiol in neurons and microglia	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE274435	partial_hit_metadata_only	true	true	true	false	false	true
NCBI GDS	200175471	GSE175471 A sensitization-free dimethyl fumarate (DMF) pro-drug, isosorbide di-(methyl fumarate) (IDMF), provides a topical treatment candidate for psoriasis [RNA-seq]	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175471	partial_hit_metadata_only	true	false	true	true	false	false
