source_api	query	id	accession	title	summary	gdsType	taxon	entryType	url
NCBI GDS	dimethyl fumarate multiple sclerosis PBMC	200255952	GSE255952	Transcriptome data of B cells and T helper cells from patients with multiple sclerosis receiving methylprednisolone for the treatment of an acute relapse	We analyzed the transcriptome profiles of CD19+ B cells and CD4+ T cells from the peripheral blood of patients with multiple sclerosis (MS) immediately before and after relapse therapy with high-dose methylprednisolone (MP). High-density Clariom D Arrays for human were used to quantify the transcript levels. This GEO entry provides the processed data from the gene-level and exon-level workflows.		Homo sapiens		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255952
NCBI GDS	multiple sclerosis treatment response transcriptome	200267750	GSE267750	TBX21+CD21loCXCR3+B cell expansion with an EBV-associated phenotype in clinically isolated syndrome conversion to multiple sclerosis	Epstein-Barr virus (EBV) infection precedes multiple sclerosis (MS) onset and plays an etiologic role in the disease, although the nature of viral involvement is poorly understood. A common early event in the course of MS is Clinically Isolated Syndrome (CIS), a neuroinflammatory demyelinating condition for which 60-80% of cases progress to relapsing-remitting MS (RRMS). To investigate possible viral pathogenesis during early disease stages, we analyzed single-cell gene and surface protein expression of CIS peripheral B cells collected longitudinally during the Immune Tolerance Network (ITN) STAyCIS Trial. CIS B cell profiles were compared to publicly available scRNA-seq data from in vitro EBV infection, other autoimmune disorders, chronic infectious diseases, and healthy controls. Analyses focused on CD19+/CD20+/CD21lo/CD11c+/T-bet+ atypical B cells (ABCs), which are expanded pathogenic effectors in MS and other autoimmune and chronic infectious diseases. CIS PBMCs contained significantly higher frequencies of ABCs than healthy adult controls by scRNA-seq and flow cytometry, establishing ABC compartment expansion as a clinical feature of CIS. An EBV-associated ABC transcriptome, including expression of CXCR3 and immune checkpoint molecules (PD-L1, PD-L2), was enriched in CIS versus controls; however, evidence of direct EBV infection within the ABC niche was infrequently observed. CIS ABCs exhibited significant enrichment of inflammatory cytokine mRNAs including CXCL8 (IL8), IL18, and VEGFA. Several of these cytokines (IL-8, VEGF) were secreted by B cells upon de novo EBV exposure. CIS outcome stratification revealed a rare yet distinctive inflammatory ABC signature significantly underrepresented in long-term non-progressors (LTNP) versus people with primary endpoint RRMS activity. Moreover, CXCR3+ ABCs increased after baseline CIS diagnosis and were significantly enriched in MS vs LTNP outcomes after controlling for age and sex. Thus, we find evidence for ABC expansion, inflammatory responses, and checkpoint that precede MS onset, possibly as a bystander response to EBV infection.		Homo sapiens		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE267750
NCBI GDS	multiple sclerosis treatment response transcriptome	200197869	GSE197869	Expression data from splenic T cells  at day7 during MOG-induced mouse EAE model	Regulatory T cells (Tregs) are indispensable for maintaining immunological homeostasis and preventing autoimmune diseases. IRE1a is an ER-resident transmembrane protein kinase/endoribonuclease that initiates a critical signaling branch of the unfolded protein response (UPR).  We aim to search for genes change of Tregs and Teffs from WT (Foxp3Cre)and IRE1a-/-(KO) mice in the context of MOG-induced experimental autoimmune encephalomyelitis.  Our results reveal an important mechanism that links the IRE1a branch of the UPR to experimental autoimmune encephalomyelitis(EAE) model, showing IRE1a affects Tregs suppressive function via mediating HDAC9 upregulation. Our findings suggest that Treg IRE1a is a valuable therapeutic target against multiple sclerosis and other autoimmue diseases.		Mus musculus		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197869
NCBI GDS	multiple sclerosis treatment response transcriptome	200288904	GSE288904	Transcriptome Sequencing Data of Peripheral Blood Neutrophils in Multiple Sclerosis Patients and Healthy Volunteers	Multiple sclerosis (MS) is a chronic, inflammatory, and demyelinating disease of the central nervous system. To explore the transcriptomic characteristics of peripheral blood neutrophils during the acute phase of MS, we conducted transcriptome sequencing analysis. Peripheral blood neutrophils were isolated from 8 MS patients in the acute phase and 29 age- and sex-matched healthy volunteers using density gradient centrifugation. RNA was extracted and sequenced on the Illumina platform to identify differentially expressed genes (DEGs) and their associated pathways. Bioinformatic analyses revealed significant alterations in genes related to immune response, neutrophil degranulation, and intracellular signaling. These findings provide insights into the molecular mechanisms underlying MS pathology and offer potential biomarkers for diagnosis and therapeutic targets.		Homo sapiens		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288904
NCBI GDS	multiple sclerosis treatment response transcriptome	200247173	GSE247173	Cellular rejuvenation protects neurons from inflammation mediated cell death (RNA-seq).	In multiple sclerosis (MS), invasion of the central nervous system by peripheral immune cells, activation of resident microglia and astrocytes, and demyelination occur as a cascade of events that trigger neuronal damage and death. The molecular signals in neurons that activate damage in response to the complex immune environment have not been fully characterized. Retinal ganglion cell neurons (RGCs) of the central nervous system (CNS) undergo axonal injury and cell death in MS and this is recapitulated in the experimental autoimmune encephalomyelitis (EAE) mouse model of MS. To profile the molecular landscape of pathologically inflamed neurons, we isolated RGCs from mice that were subjected to the EAE protocol and performed RNA-sequencing and ATAC-sequencing analysis. Pathway analysis of the RNA-sequencing data revealed that RGCs exhibited a molecular signature reminiscent of aged neurons with features of senescence. Pathway level analysis of single-nucleus RNA-sequencing analysis of human MS neurons also demonstrated a similar senescence-like phenotype. Immunofluorescence analyses confirmed alterations to various markers of senescence in RGCs in EAE mice, including alterations to the nuclear envelope, changes to chromatin marks, and accumulation of DNA damage. Transduction of RGCs with an Oct4-Sox2-Klf4 transgene to rejuvenate neurons to a younger epigenetic and transcriptomic state in the EAE model was sufficient to increase survival of RGCs. Together, this work reveals a novel senescent like phenotype in neurons in a model of pathological inflammation and in neurons from MS patients.  Rejuvenation of the aged transcriptome improves visual acuity and neuronal survival in the EAE model supporting the notion that anti-aging therapies and/or senotherapeutic agents may directly target neurons for neuroprotection in autoimmune disorders.		Mus musculus		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247173
NCBI GDS	multiple sclerosis treatment response transcriptome	200246702	GSE246702	Cellular rejuvenation protects neurons from inflammation mediated cell death (ATAC-seq).	In multiple sclerosis (MS), invasion of the central nervous system by peripheral immune cells, activation of resident microglia and astrocytes, and demyelination occur as a cascade of events that trigger neuronal damage and death. The molecular signals in neurons that activate damage in response to the complex immune environment have not been fully characterized. Retinal ganglion cell neurons (RGCs) of the central nervous system (CNS) undergo axonal injury and cell death in MS and this is recapitulated in the experimental autoimmune encephalomyelitis (EAE) mouse model of MS. To profile the molecular landscape of pathologically inflamed neurons, we isolated RGCs from mice that were subjected to the EAE protocol and performed RNA-sequencing and ATAC-sequencing analysis. Pathway analysis of the RNA-sequencing data revealed that RGCs exhibited a molecular signature reminiscent of aged neurons with features of senescence. Pathway level analysis of single-nucleus RNA-sequencing analysis of human MS neurons also demonstrated a similar senescence-like phenotype. Immunofluorescence analyses confirmed alterations to various markers of senescence in RGCs in EAE mice, including alterations to the nuclear envelope, changes to chromatin marks, and accumulation of DNA damage. Transduction of RGCs with an Oct4-Sox2-Klf4 transgene to rejuvenate neurons to a younger epigenetic and transcriptomic state in the EAE model was sufficient to increase survival of RGCs. Together, this work reveals a novel senescent like phenotype in neurons in a model of pathological inflammation and in neurons from MS patients.  Rejuvenation of the aged transcriptome improves visual acuity and neuronal survival in the EAE model supporting the notion that anti-aging therapies and/or senotherapeutic agents may directly target neurons for neuroprotection in autoimmune disorders.		Mus musculus		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246702
NCBI GDS	multiple sclerosis treatment response transcriptome	200253049	GSE253049	Mitochondrial calcium uniporter complex controls T-cell-mediated immune responses	T-cell receptor-induced Ca2+ signals are essential for proper T-cell activation and function. In this context, mitochondria play an important role and take up Ca2+ to support elevated bioenergetic demands. The protein machinery that regulates mitochondrial Ca2+ (mCa2+) uptake; the mitochondrial calcium uniporter (MCU) complex, could be thus implicated in T-cell immunity. However, the exact role of MCU in T-cells is not understood. Here, we show that upon activation of naïve T-cells, the MCU complex undergoes a compositional rearrangement that causes elevated mCa2+ uptake and increased bioenergetic output. Transcriptome and proteome analyses reveal molecular determinants involved in mitochondrial functional reprograming and identify signaling pathways controlled by MCU. MCUa knockdown diminishes mCa2+ uptake, mitochondrial respiration and ATP production as well as T-cell invasion and cytokine secretion. In vivo, downregulation of MCUa in rat CD4+ T-cells suppresses autoimmune responses in a multiple sclerosis model of inflammatory experimental autoimmune encephalomyelitis. In summary, Ca2+ uptake through MCU is essential for proper T-cell function and is involved in autoimmunity. T-cell specific MCU inhibition is a potential tool for treating autoimmune disorders.		Homo sapiens		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253049
NCBI GDS	multiple sclerosis treatment response transcriptome	200268808	GSE268808	Loss of miR-145 promotes remyelination and functional recovery in a model of chronic centrel demyelination	Strategies for treating progressive multiple sclerosis (MS) remain limited. Here, we found that miR-145-5p is overabundant uniquely in chronic lesion tissues from secondary progressive MS patients. We induced both acute and chronic demyelination in miR-145 knockout mice to determine its contributions to remyelination failure. Following acute demyelination, no advantage to miR-145 loss could be detected. However, after chronic demyelination, animals with miR-145 loss demonstrated increased remyelination and functional recovery, coincident with altered presence of astrocytes and microglia within the corpus callosum relative to wild-type animals. This improved response in miR-145 knockout animals coincided with a pathological upregulation of miR-145-5p in wild-type animals with chronic cuprizone exposure, paralleling human chronic lesions. Furthermore, miR-145 overexpression specifically in oligodendrocytes (OLs) severely stunted differentiation and negatively impacted survival. RNAseq analysis showed altered transcriptome in these cells with downregulated major pathways involved in myelination. Our data suggest that pathological accumulation of miR-145-5p is a distinctive feature of chronic demyelination and is strongly implicated in the failure of remyelination, possibly due to the inhibition of OL differentiation together with alterations in other glial cells. This is mirrored in chronic MS lesions, and thus miR-145-5p serves as a potential relevant therapeutic target in progressive forms of MS.		Rattus norvegicus		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268808
NCBI GDS	multiple sclerosis treatment response transcriptome	200261258	GSE261258	Human regulatory memory B cells defined by expression of TIM-1 and TIGIT are dysfunctional in Multiple Sclerosis.	Regulatory B cells (Bregs) play a pivotal role in suppressing immune responses, yet there is still a lack of cell surface markers that can rigorously identify them. In mouse models for multiple sclerosis (MS), TIM-1 or TIGIT expression on B cells is required for maintaining self-tolerance and regulating autoimmunity to the central nervous system. Here we investigated the activities of human memory B cells that differentially express TIM-1 and TIGIT to determine their potential regulatory function in healthy donors and patients with relapsing-remitting (RR) MS. FACS-sorted TIM-1+/-TIGIT+/- memory B (memB) cells co-cultured with allogenic CD4+ T cells were analyzed for proliferation and induction of inflammatory markers using flow cytometry and cytokine quantification, to determine Th1/Th17 cell differentiation. Transcriptional differences were assessed by SMARTSeq2 RNA sequencing analysis.  TIM-1-TIGIT- double negative (DN) memB cells strongly induce T cell proliferation and pro-inflammatory cytokine expression. The TIM-1+ memB cells enabled low levels of CD4+ T cell activation and gave rise to T cells that co-express IL-10 with IFNg and IL-17A or FoxP3. T cells cultured with the TIM-1+TIGIT+ double positive (DP) memB cells exhibited reduced proliferation and IFNg, IL-17A, TNFa, and GM-CSF expression, and exhibited strong regulation in Breg suppression assays. The functional activity suggests the DP memB cells are a bonafide Breg population. However, MS DP memB cells were less inhibitory than HC DP memB cells. A retrospective longitudinal study of anti-CD20 treated patients found that post-treatment DP memB cell frequency and absolute number were associated with response to therapy. Transcriptomic analyses indicated that the dysfunctional MS-derived DP memB/Breg population exhibited increased expression of genes associated with T cell activation and survival (CD80, ZNF10, PIK3CA), and had distinct gene expression compared to the TIGIT+ or TIM-1+ memB cells. These findings demonstrate that TIM-1/TIGIT expressing memory B cell subsets have distinct functionalities. Co-expression of TIM-1 and TIGIT defines a regulatory memory B cell subset that is functionally impaired in MS.		Homo sapiens		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261258
NCBI GDS	multiple sclerosis treatment response transcriptome	200239703	GSE239703	NF-κB transcription factors RelA and c-Rel selectively control CD4+ T-cell function in multiple sclerosis and cancer [sc_rna]	The outcome of cancer and autoimmunity is dictated by the recruitment and effector functions of CD4+ conventional T cells (Tconv cells). The NF-kappaB (NF-κB) family of transcription factors is implicated in different aspects of Tconv cell biology, but the cell-autonomous roles of NF-κB subunits are elusive. Here, we explored the contributions of canonical RelA and c-Rel subunits to Tconv function in health and disease. We found that RelA, rather than c-Rel, shaped the transcriptome of mouse and human Tconv cells at steady-state and was required for Tconv polarization toward the TH17 lineage in vitro. RelA-deficient mice were fully protected against neuro-inflammation in a mouse model of multiple sclerosis (MS), because of defective transition to a pathogenic TH17 gene expression program. In contrast, Tconv-restricted ablation of c-Rel, but not RelA, impaired their function in the microenvironment of transplanted tumors, resulting in enhanced cancer burden. c-Rel in Tconv cells was required for the response to PD-1-blockade therapy, and a c-Rel-dependent gene signature was correlated with better response and prognosis in anti-PD-1-treated patients. Our data demonstrate a division of labor between different subunits of the NF-κB pathway, paving the way for subunit-targeted immunotherapies.		Mus musculus		https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239703
