gene	contexts_tested	raw_case_positive_context_count	raw_case_positive_disease_count	residual_case_positive_context_count	residual_case_positive_disease_count	residual_all_positive_context_count	residual_all_positive_disease_count	median_raw_case_r	median_residual_case_r	median_residual_all_r	best_residual_context	best_residual_case_r	wave96_call	wave96_score	critical_gate_count	support_gate_count	gate_ms_anchor	gate_genetics	gate_modality	gate_cell_response_or_transition	ms_delta_log2	ms_p	chembl_activity_count	wave55_n_genetic_diseases_ge_0_25	wave62_strong_qtl_coloc_disease_count	residual_survival_fraction	gate_residual_costate_survives	wave97_call
JAK3	7	1	1	0	0	2	2	0.5771800825578406	0.1105190487985949	0.07612755281310617	ibd_crohn_myeloid	0.523690629897153	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	20.543710386824657	4	1	False	False	True	True	-1.2743341179086656	0.0149902470163362	14854.0	0.0	0.0	0.0	False	NO_GO_GENERIC_INFLAMMATION_CONFONDED
IL15	7	2	2	0	0	1	1	0.5943002210488502	-0.2259225738101177	-0.004044331779507776	t1d_endothelial_cell	0.29351287529108805	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	18.81532967791106	4	1	False	False	True	True	1.1957614008388182	0.1225512579945805	46.0	0.0	0.0	0.0	False	NO_GO_GENERIC_INFLAMMATION_CONFONDED
IL23A	7	0	0	0	0	0	0	0.16164799076695055	0.052292436869577436	0.01538649872899989	sjogren_gland_apc	0.3141129998765081	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	21.076574413175564	5	1	True	False	True	True	0.6573316951945598	0.0916123649390088	0.0	1.0	1.0		False	NO_GO_RESIDUAL_COSTATE_WEAK
LITAF	7	4	3	3	3	3	3	0.7024392868209202	0.4155200059342984	-0.04731453627179923	t1d_stellate_cell	0.9908449466157001	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	21.934564587643685	4	1	False	False	True	True	0.3084198322537244	0.1715754140954014	0.0	2.0	0.0	0.75	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
CASP4	7	3	2	3	2	2	2	0.5964008200823301	0.3084462466572922	0.2268273761084864	t1d_stellate_cell	0.8866791155317035	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	21.28318487308002	4	1	False	False	True	True	0.2066862758954002	0.4927047679399916	61.0	0.0	0.0	1.0	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
CD200	7	2	1	3	2	2	1	0.2818634612129193	-0.13394583729299397	0.08220229069679912	ibd_crohn_myeloid	0.844291583667445	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	19.871306769829086	5	0	True	False	True	False	1.8384397244159705	0.0908591902171466	0.0	2.0	0.0	1.5	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
SLPI	7	1	1	2	2	1	1	0.07564193255766313	-0.04825861129562842	-0.03783985085151556	ibd_crohn_myeloid	0.9721694978096536	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	18.14609884642696	4	0	False	False	True	False	-2.815168367206164	0.017295664604268	0.0	0.0	0.0	2.0	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
MTHFD2	7	2	2	2	2	3	2	0.1477193272422376	-0.6115509087354952	-0.11423879583508374	ibd_crohn_myeloid	0.8784052739273285	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	16.66603649494177	4	0	False	False	True	False	0.0461599204982174	0.8145219094018459	86.0	0.0	0.0	1.0	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
PDPN	7	2	2	2	2	2	2	0.08486069610624203	-0.47473754942379054	-0.09149253026013715	sjogren_gland_apc	0.916647062896503	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	15.41074424920136	4	0	False	False	True	False	0.1646831166015037	0.49717795424805	0.0	0.0	0.0	1.0	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
FKBP1A	7	4	1	2	1	3	1	0.7049989039634139	0.39134002588840044	0.29122347624050715	sjogren_gland_apc	0.9017768981685945	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	21.412072379195735	4	1	False	False	True	True	-0.3348545094591504	0.2385454869670045	1023.0	1.0	0.0	0.5	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
PIK3R2	7	3	2	1	1	2	2	0.5106997344359526	0.3978793438094377	0.22697120508273239	t1d_acinar_cell	0.9761418248551998	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	17.747239870080378	4	0	False	False	True	False	-0.039543595896534	0.8467976277585396	1781.0	0.0	0.0	0.3333333333333333	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
PLEK2	7	2	1	3	1	4	2	0.42664999532372955	0.3143271964971484	0.3074928634392846	t1d_acinar_cell	0.9962550829449024	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	17.677936285793606	5	0	True	False	True	False	3.0459958234208124	0.0073786076112192	0.0	0.0	0.0	1.5	True	PARK_RESIDUAL_COSTATE_WITH_MODALITY
CCL20	7	4	2	1	1	2	2	0.7801369118871183	0.18781939063859104	0.16011455411484765	t1d_acinar_cell	0.9626769095460089	PARK_C15_PROXIMAL_INTERVENTION_CANDIDATE	21.921091126234177	5	1	True	True	True	False	1.1469018183892334	0.0611072952242856	0.0	5.0	1.0	0.25	True	REOPEN_AFTER_RESIDUAL_COSTATE
