gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts
SNX10	7	25	-2.2794801874899992e-05	0.00584734199635153	-0.031965438409850624	4	1	5	2
SDC4	11	46	-3.1386797755502175e-06	0.019426978973735246	0.0788483055859638	3	1	8	3
MMADHC	10	43	6.370984192479668e-06	0.009142563119530659	0.20665682069576308	3	1	7	3
LIMS1	11	47	-8.36347942161036e-05	-0.004399559227749681	0.036391883166366684	3	1	6	5
DAP	10	55	-0.00026734560524344504	0.00913953238632529	-0.21882403108416354	3	1	6	4
BIRC3	9	39	-5.115038624755884e-05	0.007192063766221188	0.06944249930986943	2	1	4	5
TRIQK	8	12	-2.562999725339398e-06	0.01341930450871585	0.22467050456222712	1	1	5	3
STARD10	9	51	-0.00011923364460621865	0.008052627374935466	-0.051196222829643805	1	0	5	4
PPIL3	7	16	-0.0001267254348411918	0.006851819842787714	0.015874008287082218	1	0	4	3
FMNL2	4	14	-0.0002463624950905513	0.0017445090925321252	-0.09283492434736287	1	0	2	2
NCK1	10	24	-0.00029715100827159	-0.0013019204139709307	-0.1786909371997134	0	0	6	4
DCLRE1B	6	8	-2.3129913946202127e-05	0.0157603796881934	0.08233616563893514	0	0	4	2
AQR	11	23	-0.0002657378261739554	-0.016389526172795054	-0.24853758391078165	0	0	4	7
IL2RG	3	4	0.00034102797508235675	0.022555995422104933	0.5296697415898355	0	0	3	0
ABHD2	7	20	-0.00023098999580331832	-0.002902532212569257	-0.12231011903971366	0	0	3	4
MYO1E	7	29	-0.00030394622133044505	-0.027252923896802304	-0.3073164248713724	0	0	3	4
TNFAIP8L1	5	9	-0.00016604661941528582	-0.0033070056699216004	-0.04003075893309942	0	0	2	3
CXCL9	2	3	0.00046657025814055	0.03615237027406695	0.7202243997707136	0	0	1	1
SEL1L3	4	11	0.00043224841374464866	0.01966467360034583	0.47736518052011256	0	0	1	3
PPP3CA	4	8	-0.00040350109338760154	-0.01512992405332625	-0.3499631312952315	0	0	1	3
PLEK2	4	6	-0.0005553290247917095	-0.04678290418814865	-0.30239718026766466	0	0	0	4
