n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	label_noise	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n_across_seeds	median_events_across_seeds	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability	unconditional_false_pass_rate	conditional_on_valid_fit_false_pass_rate
40	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1102	0.7346666666666667	40.0	6.0	0.0206666666666666	0.014597274166911	0.0291849067501696	0.016	0.028	0.0206666666666666	0.028130671506351998
40	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1116	0.744	40.0	6.0	0.0246666666666666	0.0179480700597211	0.033813675411598	0.022	0.03	0.0246666666666666	0.033154121863799194
40	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	776	0.5173333333333333	32.0	5.0	0.0173333333333333	0.0118558715987426	0.0252766721898058	0.016	0.018	0.0173333333333333	0.033505154639175194
40	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	802	0.5346666666666666	32.0	5.0	0.014	0.0091749413146921	0.0213079653453242	0.01	0.02	0.014	0.026184538653366583
40	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1495	0.9966666666666668	40.0	12.0	0.036	0.0276955880436974	0.0466749236646309	0.03	0.044	0.036	0.03612040133779264
40	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1496	0.9973333333333332	40.0	12.0	0.0473333333333333	0.0376950244185929	0.0592842535267447	0.044	0.054	0.0473333333333333	0.0474598930481283
40	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1473	0.982	32.0	10.0	0.0373333333333333	0.0288610715093911	0.0481692950503501	0.032	0.04	0.0373333333333333	0.03801765105227423
40	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1467	0.978	32.0	9.0	0.036	0.0276955880436974	0.0466749236646309	0.026	0.048	0.036	0.03680981595092024
60	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1433	0.9553333333333334	60.0	9.0	0.04	0.0312015305103439	0.051148545752223	0.036	0.044	0.04	0.0418702023726448
60	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1448	0.9653333333333334	60.0	9.0	0.0433333333333333	0.0341434035677698	0.0548563098233292	0.034	0.052	0.0433333333333333	0.0448895027624309
