level	quantile	unconditional_false_pass_rate	conditional_on_valid_fit_false_pass_rate
aggregate_1500_per_cell	0.5	0.042999999999999955	0.04299999999999995
aggregate_1500_per_cell	0.9	0.05286666666666661	0.05286666666666661
aggregate_1500_per_cell	0.95	0.0533333333333333	0.05335645986213028
aggregate_1500_per_cell	0.99	0.05780666666666665	0.05780666666666665
aggregate_1500_per_cell	1.0	0.06	0.06
seed_500_per_cell	0.5	0.042	0.04344469525959368
seed_500_per_cell	0.9	0.056	0.056
seed_500_per_cell	0.95	0.06	0.06
seed_500_per_cell	0.99	0.06513999999999999	0.06513999999999999
seed_500_per_cell	1.0	0.068	0.068
