left_cohort	right_cohort	left_n_donors	right_n_donors	exact_normalized_token_overlap_n	exact_normalized_token_overlap	exact_age_sex_disease_candidate_pairs	shared_deposition_package	person_level_independence_verdict
gse111972	gse301908	21	17	0		0	False	NO_TOKEN_OVERLAP_OBSERVED_IDENTIFIERS_NOT_GLOBAL
gse111972	macnair_discovery	21	80	0		4	False	NOT_FULLY_VERIFIABLE_FROM_COHORT_SPECIFIC_ANONYMIZED_IDS
gse111972	macnair_validation	21	31	0		3	False	NOT_FULLY_VERIFIABLE_FROM_COHORT_SPECIFIC_ANONYMIZED_IDS
gse301908	macnair_discovery	17	80	0		0	False	NOT_FULLY_VERIFIABLE_FROM_COHORT_SPECIFIC_ANONYMIZED_IDS
gse301908	macnair_validation	17	31	0		0	False	NOT_FULLY_VERIFIABLE_FROM_COHORT_SPECIFIC_ANONYMIZED_IDS
macnair_discovery	macnair_validation	80	31	0		16	True	NOT_FULLY_VERIFIABLE_FROM_COHORT_SPECIFIC_ANONYMIZED_IDS
