cohort	package_family	n_donors	n_ms	n_control	n_source_families	source_families
gse111972	GEO_GSE111972	21	10	11	1	GSE111972
gse301908	GEO_GSE301908	17	14	3	1	GSE301908
macnair_discovery	zenodo_8338963	80	54	26	1	macnair_discovery
macnair_validation	zenodo_8338963	31	18	13	3	macnair_validation:a2021;macnair_validation:j2019;macnair_validation:s2019
