gene	target_chembl_id	target_name	target_type	organism	target_status	target_mode	activity_status	activity_mode	activity_rows_bounded	best_nM_bounded
APOE	CHEMBL4549	Apolipoprotein B-100	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	49	0.7
CCR6	CHEMBL4423	C-C chemokine receptor type 6	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	100	594.0
IL10	CHEMBL3712920	Interleukin-10	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	0	
IL10RA	CHEMBL4804254	IL-10 receptor	PROTEIN COMPLEX	Homo sapiens	200	cache	200.0	cache	0	
IL10RB	CHEMBL4804251	IL22 Receptor	PROTEIN COMPLEX	Homo sapiens	200	cache	200.0	cache	0	
LPL	CHEMBL2060	Lipoprotein lipase	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	76	66.0
SQLE	CHEMBL3592	Squalene monooxygenase	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	88	20.0
TREM2	CHEMBL6196124	Triggering receptor expressed on myeloid cells 2	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	6	1.0
TYROBP					200	cache			0	
