cohort	series	n_defined_genes	n_present_genes	genes_present	genes_missing
GSE12251_UC_ACT1_baseline	GSE12251	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
GSE14580_UC_Leuven_baseline	GSE14580	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
GSE16879_UC_Leuven_baseline	GSE16879	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
GSE16879_Crohn_colitis_Leuven_baseline	GSE16879	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
GSE16879_Crohn_ileitis_Leuven_baseline	GSE16879	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
GSE16879_Crohn_all_Leuven_baseline	GSE16879	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
GSE16879_all_IBD_Leuven_baseline	GSE16879	45	45	ACSL1;APOE;C1QA;C1QB;C1QC;CCL2;CCL3;CCL4;CD36;CD44;CD68;CD74;CIITA;CTSB;CTSD;CTSS;CXCL10;CXCL8;CXCR4;FABP5;GBP1;GPNMB;HLA-DPA1;HLA-DPB1;HLA-DRA;HLA-DRB1;IFI30;IL1B;IRF1;LAMP1;LAMP2;LAMP3;LIPA;LPL;MERTK;MSR1;NFKBIA;OSM;PLIN2;RFX5;SPP1;STAT1;TNF;TREM1;TREM2	
