column_index	group_idx
548	0
616	0
674	0
1105	1
1111	1
1124	1
1125	1
1174	1
1213	1
1270	1
1307	1
1314	1
1326	1
1351	1
1413	1
1466	1
1509	1
1515	1
1529	1
1740	1
1761	1
1868	1
1885	1
1895	1
1925	1
1938	1
1974	1
2059	1
2079	1
2124	1
2136	1
2164	1
2170	1
2182	1
2187	1
2191	1
2217	1
2237	1
2240	1
2246	1
2315	1
2342	1
2348	1
2354	1
2359	1
2375	1
2395	1
2405	1
2412	1
2436	1
2445	1
2467	1
2517	1
2540	1
2550	1
2648	1
2717	1
2718	1
2723	1
2743	1
2764	1
2766	1
2833	1
2836	1
2865	1
2911	1
2914	1
2940	1
3000	1
3014	1
3018	1
3032	1
3044	1
3090	1
3167	1
3174	1
3177	1
3194	1
3203	1
3206	1
3207	1
3226	1
3227	1
3231	1
3244	1
3260	1
3295	1
3310	1
3320	1
3332	1
3335	1
3377	1
3409	1
3414	1
3439	1
3513	1
3514	1
3518	1
3546	1
3578	1
3619	1
3653	1
3707	1
3719	1
3834	1
3847	1
3867	1
3870	1
3877	1
3880	1
3883	1
3929	1
3964	1
4001	1
4029	1
4055	1
4076	1
4087	1
4113	1
4115	1
4156	1
4175	1
4248	1
4266	1
4304	1
4322	1
4325	1
4362	1
4386	1
4387	1
4388	1
4483	1
4522	1
4603	1
4634	1
4702	1
4721	1
4746	1
4747	1
4748	1
4755	1
4846	2
4847	2
4873	2
4891	2
4945	2
4957	2
5027	2
5061	2
5062	2
5066	2
5083	2
5122	2
5123	2
5145	2
5159	2
5182	2
5237	2
5260	2
5367	2
5384	2
5392	2
5486	2
5494	2
5524	2
5545	2
5555	2
5588	2
5607	2
5619	2
5625	2
5631	2
5666	2
5674	2
5694	2
5793	2
5820	2
5846	2
5876	2
5887	2
5909	2
5918	2
5931	2
5940	2
5951	2
5956	2
6018	2
6042	2
6052	2
6059	2
6068	2
6070	2
6076	2
6087	2
6094	2
6099	2
6107	2
6125	2
6134	2
6271	2
6276	2
6302	2
6367	2
6397	2
6400	2
6413	2
6425	2
6472	2
6548	2
6556	2
6563	2
6566	2
6595	2
6603	2
6609	2
6680	2
6700	2
6705	2
6762	2
6768	2
6779	2
6815	2
6866	2
6914	2
6953	2
6984	2
7002	2
7042	2
7050	2
7070	2
7077	2
7082	2
7087	2
7106	2
7108	2
7118	2
7155	2
7178	2
7179	2
7270	2
7278	2
7279	2
7332	2
7400	2
7414	2
7466	2
7472	2
7573	2
7589	2
7595	2
7602	2
7620	2
7647	2
7659	2
7665	2
7678	2
7735	2
7743	2
7751	2
7767	2
7783	2
7919	2
7958	2
8002	2
8006	2
8012	2
8022	2
8035	2
8067	2
8069	2
8241	2
8247	2
8310	2
8317	2
8326	2
8341	2
8348	2
8387	2
8528	2
8532	2
8534	2
8542	2
8572	2
8620	2
8692	2
8766	2
8819	2
8882	2
8896	2
8907	2
8926	2
8974	2
8982	2
9026	2
9036	2
9062	2
9091	2
9134	2
9140	2
9148	2
9173	2
9187	2
9229	2
9231	2
9262	2
9280	2
9299	2
9305	2
9342	2
9348	2
9358	2
9373	2
9388	2
9405	2
9655	3
9679	3
10017	3
10378	3
10541	3
10832	3
10948	3
11449	4
11451	4
11455	4
11579	4
11608	4
11655	4
11735	4
11749	4
11769	4
11812	4
11835	4
11871	4
11876	4
11882	4
11904	4
11956	4
11974	4
12033	4
12036	4
12062	4
12066	4
12075	4
12085	4
12101	4
12102	4
12109	4
12112	4
12125	4
12144	4
12153	4
12155	4
12159	4
12226	4
12274	4
12300	4
12312	4
12367	4
12416	4
12481	4
12521	4
12551	4
12703	4
12716	4
12732	4
12747	4
12797	4
12864	4
12892	4
12898	4
12904	4
12936	4
12973	4
12990	4
13004	4
13012	4
13070	4
13215	4
13217	4
13219	4
13228	4
13333	4
13354	4
13438	4
13484	4
13668	4
13707	4
13726	4
13741	4
13748	4
13768	4
13814	4
13819	4
13870	4
13895	4
13904	4
13913	4
13941	4
13943	4
13994	4
14029	4
14036	4
14065	4
14071	4
14089	4
14100	4
14186	4
14203	4
14229	4
14237	4
14244	4
14253	4
14288	4
14315	4
14331	4
14348	4
14382	4
14386	4
14397	4
14474	4
14527	4
14563	4
14606	4
14611	4
14633	4
14643	4
14678	4
14775	4
14864	4
14924	4
14949	4
14970	4
14998	4
15025	4
15041	4
15068	4
15077	4
15162	4
15183	4
15258	4
15278	4
15292	4
15366	4
15399	4
15455	4
