group_idx	gene	raw_count	library_total	n_cells	detected_cells
0	GBP1	0	2075	3	0
0	CTSS	1	2075	3	1
0	RFX5	0	2075	3	0
0	CXCR4	0	2075	3	0
0	STAT1	0	2075	3	0
0	LAMP3	0	2075	3	0
0	CXCL10	0	2075	3	0
0	IRF1	0	2075	3	0
0	LAMP2	0	2075	3	0
0	CTSB	0	2075	3	0
0	CTSD	0	2075	3	0
0	CD44	0	2075	3	0
0	LAMP1	0	2075	3	0
0	CIITA	1	2075	3	1
0	MIF	0	2075	3	0
0	DDT	0	2075	3	0
1	GBP1	2	135338	138	2
1	CTSS	32	135338	138	29
1	RFX5	1	135338	138	1
1	CXCR4	0	135338	138	0
1	STAT1	4	135338	138	4
1	LAMP3	0	135338	138	0
1	CXCL10	0	135338	138	0
1	IRF1	1	135338	138	1
1	LAMP2	16	135338	138	15
1	CTSB	129	135338	138	72
1	CTSD	0	135338	138	0
1	CD44	0	135338	138	0
1	LAMP1	21	135338	138	17
1	CIITA	38	135338	138	31
1	MIF	0	135338	138	0
1	DDT	0	135338	138	0
2	GBP1	2	194164	173	2
2	CTSS	49	194164	173	44
2	RFX5	0	194164	173	0
2	CXCR4	1	194164	173	1
2	STAT1	11	194164	173	11
2	LAMP3	1	194164	173	1
2	CXCL10	0	194164	173	0
2	IRF1	3	194164	173	3
2	LAMP2	31	194164	173	29
2	CTSB	195	194164	173	104
2	CTSD	0	194164	173	0
2	CD44	4	194164	173	3
2	LAMP1	23	194164	173	20
2	CIITA	51	194164	173	41
2	MIF	0	194164	173	0
2	DDT	0	194164	173	0
3	GBP1	0	4435	7	0
3	CTSS	4	4435	7	4
3	RFX5	0	4435	7	0
3	CXCR4	0	4435	7	0
3	STAT1	0	4435	7	0
3	LAMP3	0	4435	7	0
3	CXCL10	0	4435	7	0
3	IRF1	0	4435	7	0
3	LAMP2	1	4435	7	1
3	CTSB	5	4435	7	4
3	CTSD	0	4435	7	0
3	CD44	0	4435	7	0
3	LAMP1	0	4435	7	0
3	CIITA	2	4435	7	2
3	MIF	0	4435	7	0
3	DDT	0	4435	7	0
4	GBP1	2	161041	131	2
4	CTSS	35	161041	131	29
4	RFX5	2	161041	131	2
4	CXCR4	3	161041	131	2
4	STAT1	12	161041	131	11
4	LAMP3	0	161041	131	0
4	CXCL10	0	161041	131	0
4	IRF1	1	161041	131	1
4	LAMP2	28	161041	131	23
4	CTSB	89	161041	131	58
