pert_id	compound	target_gene	moa	opposite_queries	best_opposite_rank	min_opposite_qval	max_opposite_abs_score	recurrence_strength	l1000_selectivity_call	review_not_toxic_or_generic	target_state_recurrence	c15_trend_positive_disease_count	c15_strict_positive_context_count	positive_c15_contexts	ms_anchor	ms_delta_log2	ms_p	ms_max_l2g_score	ms_max_qtl_h4	genetics_annotation	chembl_target_id	druggable_activity_count	target_quality_proxy	prior_blocked_annotation	delivery_annotation	repurposing_pivot_score	promote	blockers	strict_reason	prior_annotation	gene	target_chembl_id	pref_name	target_type	target_quality_call	activity_records_downloaded_for_target	unique_molecules_downloaded	n_nm_values	best_nm	median_nm	activity_type_counts	external_target_quality_supported	target_quality_proxy_corrected	corrected_blockers	corrected_promote
BRD-K01436366	XMD-1150	LRRK2	Leucine rich repeat kinase inhibitor	mif_cd74_receptor_state	30.0	9.36227738231777e-06	11.65196046954043	3.766399002569981	target_opposite_hit_absent_from_generic_top50	True	True	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	True	0.6195523948131534	0.1043486548165995	0.0	0.0	False		0.0	False	False	True	12.019785914981648	False	weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     	LRRK2	CHEMBL1075104	Leucine-rich repeat serine/threonine-protein kinase 2	SINGLE PROTEIN	CHEMBL_TARGET_QUALITY_SUPPORTED	1000.0	312.0	147.0	0.39	10000.0	Inhibition:847;Kd:144;Activity:6;IC50:3	True	True		True
BRD-K41895714	AS-605240	PIK3CG	PI3K inhibitor	ifn_lysosomal_apc_state	33.0	6.09760480042738e-05	11.125735382487234	3.7163287263497073		True	True	1.0	1.0	t1d_endothelial_cell	True	0.3638822239076145	0.0721793832731482	0.0	0.0	False		0.0	False	False	True	11.82308956545796	False	weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     	PIK3CG	CHEMBL4296106	PIK3CG/PIK3R1	PROTEIN COMPLEX	CHEMBL_TARGET_EXISTS_ACTIVITY_LIMITED_OR_NOT_DOWNLOADED	0.0	0.0	0.0				False	False	;weak_target_quality_proxy	False
BRD-K86930074	cediranib	FLT1	KIT inhibitor	mif_cd74_receptor_state	38.0	8.83733908701768e-06	13.020553292819171	3.734629439448203		True	True	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell	False	-0.4398495533814124	0.4174660215621817	0.0	0.0	False		0.0	False	False	True	10.99085101234876	False	no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K74133369	oligomycin-a	ATP5F1A	ATPase inhibitor	mif_cd74_receptor_state	39.0	8.92001488176717e-06	12.35478687391134	3.701835258011461	target_opposite_hit_absent_from_generic_top50	True	True	1.0	2.0	t1d_ductal_cell;t1d_acinar_cell;t1d_stellate_cell;t1d_endothelial_cell	False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	10.749634220371837	False	no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K84895041	BMY-45778	PTGIR	IP receptor activator	ifn_lysosomal_apc_state	20.0	6.03624873173514e-05	11.465620672655405	3.859397569525026		True	True	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	False	0.7432535657857313	0.4732036963579258	0.0	0.0	False		0.0	False	False	True	10.477816627810649	False	no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     	PTGIR	CHEMBL1995	Prostacyclin receptor	SINGLE PROTEIN	CHEMBL_TARGET_QUALITY_SUPPORTED	1000.0	785.0	712.0	0.0001	1000.0	Ki:309;IC50:219;EC50:195;Activity:162;Kb:40;Intrinsic activity:32;KF:22;Inhibition:13	True	True	no_ms_target_anchor;	False
BRD-K90382497	GW-843682X	PLK3	PLK inhibitor	ifn_lysosomal_apc_state	17.0	5.87567820342275e-05	11.272585056707127	3.882023520937507		True	True	1.0	1.0	t1d_endothelial_cell	False	-0.516738479844749	0.0849385227829153	0.0	0.0	False		0.0	False	False	True	10.415910650081871	False	no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K64642496	KO-143	ABCG2	Breast cancer resistance protein inhibitor	ifn_lysosomal_apc_state	9.0	4.70712929556801e-06	14.82274321283012	4.080928585016225		True	False	0.0	0.0		False	-0.2239470786211619	0.7668817546787496	0.0	0.0	False		0.0	False	False	True	10.208192270744595	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K50464341	berbamine	CALM1	Calmodulin antagonist	ifn_lysosomal_apc_state	39.0	0.0005871982494016	9.32209861539278	3.579513692878307		True	True	1.0	1.0	ibd_crohn_myeloid	False	0.0455277960421582	0.753472870181331	0.0	0.0	False		0.0	False	False	True	9.65761293860705	False	no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K36198571	WAY-170523	MMP13	Metalloproteinase inhibitor	mif_cd74_receptor_state	3.0	3.27392831556839e-07	16.9113711542581	4.198178821115594	generic_ifn_reversal_at_least_as_strong	True	False	0.0	0.0		False	0.0	1.0	0.0	0.0	False		0.0	False	False	True	9.468524609269233	False	generic_ifn_reversal_not_selective;no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	generic_ifn_reversal_not_selective;no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
BRD-K27305650	LY-294002	MTOR	PLK inhibitor	mif_cd74_receptor_state	32.0	8.83733908701768e-06	12.33797579119699	3.771243913763377	target_opposite_hit_absent_from_generic_top50	True	False	0.0	0.0		False	-0.209161511669091	0.3383389768553605	0.0	0.0	False		0.0	False	False	True	9.26110250535979	False	no_target_cellstate_recurrence;no_ms_target_anchor;weak_target_quality_proxy	non-obvious target requires prior-art and safety review	     												False	False	no_target_cellstate_recurrence;no_ms_target_anchor;;weak_target_quality_proxy	False
