gene	europepmc_query	europepmc_hit_count	clinicaltrials_query	clinicaltrials_total_count	chembl_source	chembl_target_chembl_id	chembl_error	europepmc_error	clinicaltrials_error
LRRK2	"(""LRRK2"" OR ""dardarin"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	3274	"term=(LRRK2 OR dardarin); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL1075104			
RIPK1	"(""RIPK1"" OR ""RIP1 kinase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	4108	"term=(RIPK1 OR ""RIP1 kinase""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	6	chembl_api	CHEMBL5464			
NLRP3	"(""NLRP3"" OR ""inflammasome"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	45855	"term=(NLRP3 OR inflammasome); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	29	chembl_api	CHEMBL1741208			
IRAK4	"(""IRAK4"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2987	"term=(IRAK4); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	6	chembl_api	CHEMBL3778			
BTK	"(""BTK"" OR ""Bruton tyrosine kinase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	7099	"term=(BTK OR ""Bruton tyrosine kinase""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	43	chembl_api	CHEMBL5251			
CSF1R	"(""CSF1R"" OR ""colony stimulating factor 1 receptor"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	5685	"term=(CSF1R OR ""colony stimulating factor 1 receptor""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	3	chembl_api	CHEMBL1844			
SYK	"(""SYK"" OR ""spleen tyrosine kinase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	8741	"term=(SYK OR ""spleen tyrosine kinase""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	14	chembl_api	CHEMBL2599			
PDE4B	"(""PDE4B"" OR ""phosphodiesterase 4B"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1091	"term=(PDE4B OR ""phosphodiesterase 4B""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL275			
PDE4D	"(""PDE4D"" OR ""phosphodiesterase 4D"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	992	"term=(PDE4D OR ""phosphodiesterase 4D""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL288			
PIK3CG	"(""PIK3CG"" OR ""PI3K gamma"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	1029	"term=(PIK3CG OR ""PI3K gamma""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	0	chembl_api	CHEMBL4296106			
FAAH	"(""FAAH"" OR ""fatty acid amide hydrolase"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2105	"term=(FAAH OR ""fatty acid amide hydrolase""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	2	chembl_api	CHEMBL2243			
TSPO	"(""TSPO"" OR ""translocator protein"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR Sjogren OR ""type 1 diabetes"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2984	"term=(TSPO OR ""translocator protein""); condition=(autoimmune OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR psoriasis)"	18	chembl_api	CHEMBL5742			
