gate_call	n	top_score	genes
NO_GO_TARGET_FIRST	25	7.75	PTPN2;GPR65;IFI30;TNFAIP3;SH2B3;GSK3B;IRF5;LRRK2;PIK3CG;PTGER4;TYK2;PDE4D;CTSS;OSMR;PDE4B;FAAH;TSPO;ALOX5;IL6R;RIPK1;NLRP3;IRAK4;CSF1R;SYK;BTK
PARK_REQUIRES_TARGET_CAUSALITY_OR_PERTURBATION	1	4.25	SQLE
