metric	value
n_analyzable_pairs	70
n_analyzable_response_pairs	60
n_subjects	70
label_coverage_denominator	70
label_coverage_fraction	0.8571
paired_label_coverage_fraction	0.8571
min_response_group_n	30
max_response_group_n	30
response_group_count	2
partial_labeling	True
imbalance_ratio	1.0
decision_band	preferred_decision_planning_range
