family	n	adjusted_auc_min	adjusted_auc_median	adjusted_auc_max	permutation_supported_fraction	incremental_cv_positive_fraction
baseline_apc_hla	1	0.8555555555555555	0.8555555555555555	0.8555555555555555	1.0	1.0
composition	6	0.8	0.8333333333333334	0.9222222222222224	1.0	1.0
glucocorticoid	2	0.8555555555555555	0.8777777777777778	0.9	1.0	1.0
inflammatory_ifn	6	0.7888888888888889	0.8611111111111112	0.9111111111111112	1.0	1.0
joint:baseline_and_steroid	1	0.9333333333333332	0.9333333333333332	0.9333333333333332	1.0	1.0
joint:composition	1	0.8111111111111111	0.8111111111111111	0.8111111111111111	1.0	1.0
joint:metabolic_inflammatory_stat1	1	0.6555555555555556	0.6555555555555556	0.6555555555555556	0.0	1.0
metabolic	6	0.8444444444444444	0.9166666666666666	0.9777777777777776	1.0	1.0
proliferation	2	0.8111111111111111	0.8833333333333333	0.9555555555555556	1.0	1.0
