specification	specification_type	raw_auc	adjusted_auc	ci_low	ci_high	permutation_p	confounder_only_loocv_auc	locked_plus_confounder_loocv_auc	auc_attenuation	v32_verdict	family	incremental_loocv_auc	direction_positive	practical_discrimination	permutation_supported	incremental_cv_positive
joint:metabolic_inflammatory_stat1	joint_risk_set	0.8111111111111111	0.6555555555555556	0.3862283549783549	0.8977840909090906	0.1629185407296352	0.6111111111111112	0.7333333333333333	0.1555555555555555	attenuates	joint:metabolic_inflammatory_stat1	0.12222222222222212	True	True	False	True
delta_ifn_suppression_inverse_isg	single_confounder	0.8111111111111111	0.7888888888888889	0.5454545454545454	0.9888888888888888	0.0219890054972513	0.5777777777777777	0.7333333333333333	0.0222222222222222	survives	inflammatory_ifn	0.15555555555555556	True	True	True	True
delta_t_cell_composition	single_confounder	0.8111111111111111	0.8	0.5594561688311689	1.0	0.0194902548725637	0.5888888888888889	0.7222222222222222	0.011111111111111	survives	composition	0.1333333333333333	True	True	True	True
baseline_proliferation	single_confounder	0.8111111111111111	0.8111111111111111	0.6111111111111112	0.9762175324675324	0.0149925037481259	0.3333333333333333	0.7444444444444445	0.0	survives	proliferation	0.41111111111111115	True	True	True	True
baseline_t_cell_composition	single_confounder	0.8111111111111111	0.8111111111111111	0.5909090909090909	0.9777777777777776	0.015992003998001	0.0	0.7	0.0	survives	composition	0.7	True	True	True	True
joint:composition	joint_risk_set	0.8111111111111111	0.8111111111111111	0.566602564102564	0.9886426767676768	0.0129935032483758	0.4666666666666667	0.6222222222222222	0.0	survives	joint:composition	0.15555555555555556	True	True	True	True
baseline_ifn_suppression_inverse_isg	single_confounder	0.8111111111111111	0.8222222222222222	0.5951298701298702	1.0	0.015992003998001	0.3222222222222222	0.7222222222222222	-0.011111111111111	survives	inflammatory_ifn	0.4	True	True	True	True
baseline_b_cell_composition	single_confounder	0.8111111111111111	0.8333333333333334	0.6190476190476191	1.0	0.0099950024987506	0.0	0.7555555555555555	-0.0222222222222222	survives	composition	0.7555555555555555	True	True	True	True
delta_b_cell_composition	single_confounder	0.8111111111111111	0.8333333333333334	0.613474025974026	1.0	0.008495752123938	0.4333333333333333	0.6888888888888889	-0.0222222222222222	survives	composition	0.2555555555555556	True	True	True	True
delta_oxphos	single_confounder	0.8111111111111111	0.8444444444444444	0.6363636363636364	1.0	0.0069965017491254	0.4222222222222222	0.6888888888888889	-0.0333333333333333	survives	metabolic	0.26666666666666666	True	True	True	True
baseline_apc_hla_level	single_confounder	0.8111111111111111	0.8555555555555555	0.7045454545454546	1.0	0.0079960019990005	0.0	0.7333333333333333	-0.0444444444444444	survives	baseline_apc_hla	0.7333333333333333	True	True	True	True
baseline_glucocorticoid_response	single_confounder	0.8111111111111111	0.8555555555555555	0.6444444444444445	1.0	0.0064967516241879	0.1555555555555555	0.7	-0.0444444444444444	survives	glucocorticoid	0.5444444444444445	True	True	True	True
