name	status	shared_snps_available	max_snps_attempt	ld_snps_returned	allele_aligned_snps	n1	n2	error
MS_UC_chr1_200375242_201375897	prepared	2397	500	485	485	115803	27432	
MS_Crohn_chr10_80542475_81559335	prepared	2322	500	492	492	115803	20883	
MS_UC_chr5_39896425_40944986	prepared	2470	500	478	478	115803	27432	
MS_Crohn_chr17_40014201_41029835	prepared	1008	500	500	500	115803	20883	
