locus	status	nsnps	n_pairwise	max_PP.H3	max_PP.H4	error
MS_Crohn_chr10_80542475_81559335	ok	492	1	0.0418877620126776	0.958107919239886	
MS_Crohn_chr17_40014201_41029835	ok	500	1	0.604986704498299	0.0267570011193013	
MS_UC_chr1_200375242_201375897	ok	485	1	0.0406612726112663	0.959324545654259	
MS_UC_chr5_39896425_40944986	ok	478	21	0.998187670954932	0.998601068519585	
