candidate_node	query	source	status	mode	hit_count	top_titles	url
GSK3B	"""GSK3B"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	825	Potential Mechanisms of Tetramethylpyrazine in the Treatment of Traumatic Brain Injury Based on Network Pharmacology, Molecular Docking, Molecular Dynamics Simulations, and in vivo || Pharmacological mechanism of active components in &lt;i&gt;Polygonatum odoratum&lt;/i&gt; for idiopathic pulmonary fibrosis: a study integrating bioinformatics and experimental val || From Skin to Brain: Key Genetic Mediators Associating Cutaneous Inflammation and Neurodegenerative Diseases.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22GSK3B%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
GSK3B	GSK3B autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=GSK3B+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
FYN	"""FYN"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	1978	Integrative molecular network analysis of genetic risk factors to infer biomarkers and therapeutic targets for rheumatoid arthritis. || The Immune Regulatory Functions of CD226 and Its Implications in Immune-Mediated Diseases. || Triptolide derivative STP1 ameliorates murine systemic lupus erythematosus via targeting Fyn kinase.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FYN%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
FYN	FYN autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=FYN+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
SRC	"""SRC"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	12029	Impaired Macrophage Efferocytosis: Shared Mechanisms and Therapeutic Implications in Immune-Mediated Inflammatory Diseases. || Advancements in research on the cardiovascular toxicity caused by TEC family kinases inhibitors. || P300 in Inflammation: An Updated Perspective on Its Molecular Mechanisms and Therapeutic Potential.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22SRC%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
SRC	SRC autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=SRC+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
RELA	"""RELA"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	5612	The emerging paradigms of SETD family enzymes as epigenetic regulators of the immune response in inflammatory diseases. || Lactylation: the metabolic-immune hub in autoimmune diseases. || Tripterygium glycosides: recent advances in mechanisms, therapeutic applications, and safety optimization.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22RELA%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
RELA	RELA autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=RELA+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
JAK1	"""JAK1"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	8081	Successful Treatment of Crohn Disease and Concomitant Alopecia Totalis with Upadacitinib: Case Report and Systematic Review of the Literature. || Immune-mediated cochleovestibular dysfunction: clinical spectrum from isolated inner-ear disorders to systemic autoimmune diseases and therapeutic strategies. || JAK inhibition in PD-1 immunotherapy and tumor microenvironment	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22JAK1%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
JAK1	JAK1 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=JAK1+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
JAK2	"""JAK2"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	10122	"From immunosuppression to immune reprogramming: is triptolide a potential ""immune reset"" agent in autoimmune diseases? || Genetic pharmacoepidemiology of JAK inhibitors in chronic immune-mediated skin diseases: implications for precision therapy and medication safety. || Genetic pleiotropy underlying obesity and autoimmune disorders: a large-scale cross-trait gwas analysis in European ancestry populations."	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22JAK2%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
JAK2	JAK2 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=JAK2+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
PDCD1	"""PDCD1"" autoimmune therapeutic target OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid"	EuropePMC	200	cache	11157	Insights into the pathogenesis of rheumatic and immune diseases from single-cell omics. || The role of programmed cell death 1 in autoimmune diseases: mechanisms and therapeutic implications. || Research advancements in DNA methylation pertaining to ankylosing spondylitis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22PDCD1%22+autoimmune+therapeutic+target+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&format=json&pageSize=3
PDCD1	PDCD1 autoimmune OR multiple sclerosis OR Crohn OR psoriasis OR rheumatoid	ClinicalTrials.gov	200	cache	5	A Study of Ocrelizumab in Participants With Moderate to Severe Rheumatoid Arthritis (RA) || A Study to Evaluate the Safety and Efficacy of CLS006 Versus Vehicle in Subjects 2 Years of Age or Older With Cutaneous Common Warts || A Long Term Extension Trial of BI 655066/ABBV-066 (Risankizumab), in Patients With Moderately to Severely Active Crohn's Disease	https://clinicaltrials.gov/api/v2/studies?query.term=PDCD1+autoimmune+OR+multiple+sclerosis+OR+Crohn+OR+psoriasis+OR+rheumatoid&pageSize=5&format=json
