library	status	mode	rank	term	p_value	z_score	combined_score	overlap_genes	adjusted_p	old_p	old_adjusted_p
Reactome_2022	200	live	1	Immune System R-HSA-168256	3.7666058900632184e-07	21.002714581178903	310.6705022091099	CD274;FCGR2A;NCF1;TNFSF15;CD80;TNFRSF9;STAT4;FCGR2B;IL7R	2.824954417547414e-05	0	0
Reactome_2022	200	live	2	Cytokine Signaling In Immune System R-HSA-1280215	5.345503591234597e-05	17.297345767575322	170.1482771350911	TNFSF15;CD80;TNFRSF9;STAT4;IL7R	0.0020045638467129736	0	0
Reactome_2022	200	live	3	TNFs Bind Their Physiological Receptors R-HSA-5669034	0.0001567819481163321	134.41077441077442	1177.5263669114754	TNFSF15;TNFRSF9	0.003919548702908302	0	0
Reactome_2022	200	live	4	Costimulation By CD28 Family R-HSA-388841	0.0008672004982370924	54.878787878787875	386.90864481269017	CD274;CD80	0.01472770586665288	0	0
Reactome_2022	200	live	5	Adaptive Immune System R-HSA-1280218	0.0009818470577768587	11.740893156531017	81.31830665581728	CD274;NCF1;CD80;FCGR2B	0.01472770586665288	0	0
Reactome_2022	200	live	6	TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541	0.0018624280503563755	36.89981447124304	231.94759321375395	TNFSF15;TNFRSF9	0.023280350629454695	0	0
Reactome_2022	200	live	7	Signaling By Interleukins R-HSA-449147	0.0027873880661763405	13.024666666666667	76.61955925627451	CD80;STAT4;IL7R	0.029864872137603644	0	0
Reactome_2022	200	live	8	Cross-presentation Of Particulate Exogenous Antigens (Phagosomes) R-HSA-1236973	0.005189022379499861	237.85714285714286	1251.416370420653	NCF1	0.040514971825231665	0	0
Reactome_2022	200	live	9	RAC1 GTPase Cycle R-HSA-9013149	0.0057601131370258055	20.46590909090909	105.53856239639866	ARHGAP31;NCF1	0.040514971825231665	0	0
Reactome_2022	200	live	10	Interleukin-23 Signaling R-HSA-9020933	0.00583590295074904	208.11458333333334	1070.4844511001115	STAT4	0.040514971825231665	0	0
Reactome_2022	200	live	11	STAT3 Nuclear Events Downstream Of ALK Signaling R-HSA-9701898	0.006482395492037067	184.9814814814815	932.059746399125	CD274	0.040514971825231665	0	0
Reactome_2022	200	live	12	Interleukin-21 Signaling R-HSA-9020958	0.006482395492037067	184.9814814814815	932.059746399125	STAT4	0.040514971825231665	0	0
Reactome_2022	200	live	13	Interleukin-35 Signaling R-HSA-8984722	0.007774217207607984	151.33333333333334	735.0172993440868	STAT4	0.0416475921836142	0	0
Reactome_2022	200	live	14	CD28 Dependent Vav1 Pathway R-HSA-389359	0.007774217207607984	151.33333333333334	735.0172993440868	CD80	0.0416475921836142	0	0
Reactome_2022	200	live	15	FCGR Activation R-HSA-2029481	0.008419546757221652	138.71527777777777	662.6705253310397	FCGR2A	0.04209773378610826	0	0
Reactome_2022	200	live	16	PD-1 Signaling R-HSA-389948	0.013568257886165577	83.19583333333334	357.74392971285124	CD274	0.05241769319826848	0	0
Reactome_2022	200	live	17	CTLA4 Inhibitory Signaling R-HSA-389513	0.013568257886165577	83.19583333333334	357.74392971285124	CD80	0.05241769319826848	0	0
Reactome_2022	200	live	18	CD28 Dependent PI3K/Akt Signaling R-HSA-389357	0.014851574986337721	75.625	318.3547328251434	CD80	0.05241769319826848	0	0
Reactome_2022	200	live	19	RHO GTPases Activate NADPH Oxidases R-HSA-5668599	0.01549265556616628	72.33333333333333	301.441152263015	NCF1	0.05241769319826848	0	0
Reactome_2022	200	live	20	Signal Transduction R-HSA-162582	0.015517338937414915	4.452997967479675	18.550286638850288	CD274;ARHGAP31;RGS14;NCF1;CD80	0.05241769319826848	0	0
Reactome_2022	200	live	21	Interleukin-7 Signaling R-HSA-1266695	0.016133351108423025	69.31597222222223	286.05777422638903	IL7R	0.05241769319826848	0	0
Reactome_2022	200	live	22	Signaling By ALK R-HSA-201556	0.016773661823445914	66.54	272.01188501169923	CD274	0.05241769319826848	0	0
Reactome_2022	200	live	23	Role Of Phospholipids In Phagocytosis R-HSA-2029485	0.016773661823445914	66.54	272.01188501169923	FCGR2A	0.05241769319826848	0	0
Reactome_2022	200	live	24	Interleukin-20 Family Signaling R-HSA-8854691	0.016773661823445914	66.54	272.01188501169923	STAT4	0.05241769319826848	0	0
Reactome_2022	200	live	25	Detoxification Of Reactive Oxygen Species R-HSA-3299685	0.021882318729235836	50.388888888888886	192.59017962885017	NCF1	0.06063574992553575	0	0
Reactome_2022	200	live	26	CD28 Co-Stimulation R-HSA-389356	0.021882318729235836	50.388888888888886	192.59017962885017	CD80	0.06063574992553575	0	0
Reactome_2022	200	live	27	Gene And Protein Expression By JAK-STAT Signaling After Interleukin-12 Stimulation R-HSA-8950505	0.022519175374063307	48.904411764705884	185.51341332613868	STAT4	0.06063574992553575	0	0
Reactome_2022	200	live	28	ROS And RNS Production In Phagocytes R-HSA-1222556	0.02315564927877951	47.50476190476191	178.87996472866277	NCF1	0.06063574992553575	0	0
Reactome_2022	200	live	29	Fanconi Anemia Pathway R-HSA-6783310	0.024427449699506693	44.932432432432435	166.7913365695687	DCLRE1B	0.06063574992553575	0	0
Reactome_2022	200	live	30	FCGR3A-mediated IL10 Synthesis R-HSA-9664323	0.024427449699506693	44.932432432432435	166.7913365695687	FCGR2A	0.06063574992553575	0	0
Reactome_2022	200	live	31	RHOU GTPase Cycle R-HSA-9013420	0.025062776635888108	43.74780701754386	161.27067055781572	ARHGAP31	0.06063574992553575	0	0
Reactome_2022	200	live	32	Interleukin-12 Signaling R-HSA-9020591	0.028233686939840918	38.651162790697676	137.87795237211324	STAT4	0.06367660055532545	0	0
Reactome_2022	200	live	33	Interleukin-2 Family Signaling R-HSA-451927	0.028233686939840918	38.651162790697676	137.87795237211324	STAT4	0.06367660055532545	0	0
Reactome_2022	200	live	34	Interleukin-10 Signaling R-HSA-6783783	0.028866725585080872	37.770833333333336	133.90008612704145	CD80	0.06367660055532545	0	0
Reactome_2022	200	live	35	RHO GTPase Cycle R-HSA-9012999	0.03222295980801483	8.096086146200042	27.81067156292663	ARHGAP31;NCF1	0.06904919958860321	0	0
Reactome_2022	200	live	36	Interleukin-12 Family Signaling R-HSA-447115	0.03454696920988076	31.342767295597483	105.4820602978719	STAT4	0.07197285252058493	0	0
Reactome_2022	200	live	37	Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482	0.03957031337568825	27.221311475409838	87.91601919409594	FCGR2A	0.07887162049588298	0	0
Reactome_2022	200	live	38	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	0.03996162105124738	7.174457121825543	23.100573593532854	CD274;NCF1	0.07887162049588298	0	0
Reactome_2022	200	live	39	Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530	0.049544702882849234	21.547619047619047	64.74800798109044	CD80	0.09527827477471007	0	0
Reactome_2022	200	live	40	Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480	0.05511319044571311	19.28391472868217	55.89184666184607	FCGR2A	0.10015519537375059	0	0
Reactome_2022	200	live	41	RAC2 GTPase Cycle R-HSA-9013404	0.05511319044571311	19.28391472868217	55.89184666184607	NCF1	0.10015519537375059	0	0
Reactome_2022	200	live	42	RAC3 GTPase Cycle R-HSA-9013423	0.058808768656990335	18.020833333333332	51.06138805719774	NCF1	0.10015519537375059	0	0
Reactome_2022	200	live	43	VEGFA-VEGFR2 Pathway R-HSA-4420097	0.058808768656990335	18.020833333333332	51.06138805719774	NCF1	0.10015519537375059	0	0
