candidate_node	chembl_target_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_activity_rows	chembl_scanned_activity_rows	chembl_best_nM	chembl_mechanism_rows	chembl_mechanism_molecules	chembl_target_status	chembl_activity_status	chembl_mechanism_status	chembl_target_mode	chembl_activity_mode	chembl_mechanism_mode
GSK3B	CHEMBL6067425	GSK3B-interacting protein	SINGLE PROTEIN	Homo sapiens	4	4	24.35	0		200	200.0	200.0	cache	cache	cache
FYN	CHEMBL1841	Tyrosine-protein kinase Fyn	SINGLE PROTEIN	Homo sapiens	3572	99	1.0	1	CHEMBL3109738:INHIBITOR	200	200.0	200.0	cache	cache	cache
SRC	CHEMBL267	Proto-oncogene tyrosine-protein kinase Src	SINGLE PROTEIN	Homo sapiens	8363	98	1.3	8	CHEMBL288441:INHIBITOR;CHEMBL24828:INHIBITOR;CHEMBL5314408:INHIBITOR;CHEMBL3109738:INHIBITOR;CHEMBL3545196:INHIBITOR;CHEMBL426161:INHIBITOR;CHEMBL571546:INHIBITOR;CHEMBL217092:INHIBITOR	200	200.0	200.0	cache	cache	cache
RELA	CHEMBL5533	Transcription factor p65	SINGLE PROTEIN	Homo sapiens	175	100	75.0	0		200	200.0	200.0	cache	cache	cache
JAK1	CHEMBL2835	Tyrosine-protein kinase JAK1	SINGLE PROTEIN	Homo sapiens	19812	100	1.7	17	CHEMBL1795071:INHIBITOR;CHEMBL4116008:INHIBITOR;CHEMBL3545249:INHIBITOR;CHEMBL3655081:INHIBITOR;CHEMBL2106468:INHIBITOR;CHEMBL3301607:INHIBITOR;CHEMBL3301606:INHIBITOR;CHEMBL3622820:INHIBITOR;CHEMBL3545225:INHIBITOR;CHEMBL1078178:INHIBITOR;CHEMBL2105759:INHIBITOR;CHEMBL4297477:INHIBITOR;CHEMBL4577523:INHIBITOR;CHEMBL4298167:INHIBITOR;CHEMBL5315119:INHIBITOR;CHEMBL4594382:INHIBITOR;CHEMBL6068336:INHIBITOR	200	200.0	200.0	cache	cache	cache
JAK2	CHEMBL2971	Tyrosine-protein kinase JAK2	SINGLE PROTEIN	Homo sapiens	24544	100	0.2	25	CHEMBL1795071:INHIBITOR;CHEMBL3545241:INHIBITOR;CHEMBL2035185:INHIBITOR;CHEMBL5095023:INHIBITOR;CHEMBL1944698:INHIBITOR;CHEMBL3545328:INHIBITOR;CHEMBL495727:INHIBITOR;CHEMBL1231124:INHIBITOR;CHEMBL3545215:INHIBITOR;CHEMBL2107823:INHIBITOR;CHEMBL4303389:INHIBITOR;CHEMBL603469:INHIBITOR;CHEMBL1078178:INHIBITOR;CHEMBL2105759:INHIBITOR;CHEMBL1287853:INHIBITOR;CHEMBL2035187:INHIBITOR;CHEMBL4297216:INHIBITOR;CHEMBL5095049:INHIBITOR;CHEMBL5095049:INHIBITOR;CHEMBL3301607:INHIBITOR	200	200.0	200.0	cache	cache	cache
PDCD1	CHEMBL3307223	Programmed cell death protein 1	SINGLE PROTEIN	Homo sapiens	9	9	3.1	26	CHEMBL3137343:INHIBITOR;CHEMBL2108738:INHIBITOR;CHEMBL2108680:INHIBITOR;CHEMBL4297723:INHIBITOR;CHEMBL4298124:ANTAGONIST;CHEMBL4297715:ANTAGONIST;CHEMBL4594550:ANTAGONIST;CHEMBL4298037:ANTAGONIST;CHEMBL4297831:ANTAGONIST;CHEMBL4298191:ANTAGONIST;CHEMBL4297829:ANTAGONIST;CHEMBL4297877:ANTAGONIST;CHEMBL4594456:INHIBITOR;CHEMBL4297843:ANTAGONIST;CHEMBL4594355:INHIBITOR;CHEMBL4298001:INHIBITOR;CHEMBL4297571:INHIBITOR;CHEMBL4297840:INHIBITOR;CHEMBL4297856:INHIBITOR;CHEMBL4650472:INHIBITOR	200	200.0	200.0	cache	cache	cache
CD80	CHEMBL2364157	T-lymphocyte activation antigen CD80	SINGLE PROTEIN	Homo sapiens	0	0		3	CHEMBL1201823:INHIBITOR;CHEMBL1742990:INHIBITOR;CHEMBL2109191:INHIBITOR	200	200.0	200.0	cache	cache	cache
SYK	CHEMBL2599	Tyrosine-protein kinase SYK	SINGLE PROTEIN	Homo sapiens	8906	99	5.0	14	CHEMBL4116008:INHIBITOR;CHEMBL5095034:INHIBITOR;CHEMBL3545138:INHIBITOR;CHEMBL5314384:INHIBITOR;CHEMBL4594253:INHIBITOR;CHEMBL3265032:INHIBITOR;CHEMBL515271:INHIBITOR;CHEMBL3545159:INHIBITOR;CHEMBL2170582:INHIBITOR;CHEMBL475251:INHIBITOR;CHEMBL2103830:INHIBITOR;CHEMBL3989516:INHIBITOR;CHEMBL4594275:INHIBITOR;CHEMBL3986824:INHIBITOR	200	200.0	200.0	cache	cache	cache
CD274	CHEMBL3580522	Programmed cell death 1 ligand 1	SINGLE PROTEIN	Homo sapiens	1882	100	0.019	13	CHEMBL3707227:INHIBITOR;CHEMBL3301587:INHIBITOR;CHEMBL3833373:OTHER;CHEMBL4594535:BINDING AGENT;CHEMBL4298024:BINDING AGENT;CHEMBL4298006:BINDING AGENT;CHEMBL4297563:BINDING AGENT;CHEMBL4650483:INHIBITOR;CHEMBL4802221:INHIBITOR;CHEMBL4297828:INHIBITOR;CHEMBL4297729:INHIBITOR;CHEMBL4802209:INHIBITOR;CHEMBL4650423:INHIBITOR	200	200.0	200.0	cache	cache	cache
MAPK14	CHEMBL260	Mitogen-activated protein kinase 14	SINGLE PROTEIN	Homo sapiens	8611	100	0.1	35	CHEMBL585902:INHIBITOR;CHEMBL3991932:INHIBITOR;CHEMBL3545117:INHIBITOR;CHEMBL2031465:INHIBITOR;CHEMBL9960:INHIBITOR;CHEMBL103667:INHIBITOR;CHEMBL3544968:INHIBITOR;CHEMBL3545074:INHIBITOR;CHEMBL3544998:INHIBITOR;CHEMBL1938400:INHIBITOR;CHEMBL3545139:INHIBITOR;CHEMBL1766582:INHIBITOR;CHEMBL203567:INHIBITOR;CHEMBL190333:INHIBITOR;CHEMBL3545384:INHIBITOR;CHEMBL3544930:INHIBITOR;CHEMBL1614702:INHIBITOR;CHEMBL1090173:INHIBITOR;CHEMBL3545201:INHIBITOR;CHEMBL1088750:INHIBITOR	200	200.0	200.0	cache	cache	cache
INSR	CHEMBL1981	Insulin receptor	SINGLE PROTEIN	Homo sapiens	3018	93	73.0	30	CHEMBL1201540:AGONIST;CHEMBL1201629:AGONIST;CHEMBL1201644:AGONIST;CHEMBL1201631:AGONIST;CHEMBL1201630:AGONIST;CHEMBL1201545:AGONIST;CHEMBL1201611:AGONIST;CHEMBL1201538:AGONIST;CHEMBL1201613:AGONIST;CHEMBL1201497:AGONIST;CHEMBL1201539:AGONIST;CHEMBL1201627:AGONIST;CHEMBL1201496:AGONIST;CHEMBL1201664:AGONIST;CHEMBL2104391:AGONIST;CHEMBL2107869:AGONIST;CHEMBL575448:INHIBITOR;CHEMBL5283463:INHIBITOR;CHEMBL1091644:INHIBITOR;CHEMBL2108569:AGONIST	200	200.0	200.0	cache	cache	cache
PRKDC	CHEMBL3142	DNA-dependent protein kinase catalytic subunit	SINGLE PROTEIN	Homo sapiens	3093	100	20.0	1	CHEMBL3586573:INHIBITOR	200	200.0	200.0	cache	cache	cache
GSK3A	CHEMBL2850	Glycogen synthase kinase-3 alpha	SINGLE PROTEIN	Homo sapiens	3464	93	0.08	1	CHEMBL362558:INHIBITOR	200	200.0	200.0	cache	cache	cache
BLK	CHEMBL2250	Tyrosine-protein kinase Blk	SINGLE PROTEIN	Homo sapiens	1174	99	0.21	0		200	200.0	200.0	cache	cache	cache
LYN	CHEMBL3905	Tyrosine-protein kinase Lyn	SINGLE PROTEIN	Homo sapiens	2166	100	0.5	4	CHEMBL288441:INHIBITOR;CHEMBL3109738:INHIBITOR;CHEMBL206834:INHIBITOR;CHEMBL8030:POSITIVE ALLOSTERIC MODULATOR	200	200.0	200.0	cache	cache	cache
NFKB1	CHEMBL3251	Nuclear factor NF-kappa-B p105 subunit	SINGLE PROTEIN	Homo sapiens	1418	100	3.2	0		200	200.0	200.0	cache	cache	cache
STAT4	CHEMBL4523296	Signal transducer and activator of transcription 4	SINGLE PROTEIN	Homo sapiens	5	5	10.0	0		200	200.0	200.0	cache	cache	cache
IL7R					0	0		0		200			cache		
LPP	CHEMBL5291546	L,D-transpeptidase 2	SINGLE PROTEIN	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	4	4	360.0	0		200	200.0	200.0	cache	cache	cache
RGS14					0	0		0		200			cache		
ARHGAP31					0	0		0		200			cache		
FCGR2A	CHEMBL5841	Low affinity immunoglobulin gamma Fc region receptor II-a	SINGLE PROTEIN	Homo sapiens	1	1	12000.0	0		200	200.0	200.0	cache	cache	cache
TNFSF15					0	0		0		200			cache		
NCF1	CHEMBL1613743	Neutrophil cytosol factor 1	SINGLE PROTEIN	Homo sapiens	199	100	12000.0	0		200	200.0	200.0	cache	cache	cache
FCGR2B	CHEMBL4662940	Low affinity immunoglobulin gamma Fc region receptor II-b	SINGLE PROTEIN	Homo sapiens	0	0		1	CHEMBL4298134:INHIBITOR	200	200.0	200.0	cache	cache	cache
TNFRSF9	CHEMBL3712857	Tumor necrosis factor receptor superfamily member 9	SINGLE PROTEIN	Homo sapiens	6	6	3.5	2	CHEMBL1743085:AGONIST;CHEMBL3707324:AGONIST	200	200.0	200.0	cache	cache	cache
