candidate_node	connected_anchor_count	connected_anchors	connection_roles	connection_weight_sum	connection_weight_max	source_database_count	top_source_databases	best_enrichr_tf_library	best_enrichr_tf_term	best_enrichr_tf_adjusted_p	best_enrichr_tf_overlap
CTLA4	1	CD80	manual_seed_controller;outgoing_from_anchor	8.820288005360085	4.410144002680043	20	BioGRID;CellChatDB;CellPhoneDB_Cellinker;Cellinker;HINT;HPRD;ICELLNET;InnateDB;IntAct;KEGG-MEDICUS;LRdb;Lit-BM-17				
IL12RB1	1	STAT4	manual_seed_controller	8.46999043921053	8.46999043921053	1	manual_seed_from_immediate_known_biology				
IL12RB2	1	STAT4	manual_seed_controller	8.46999043921053	8.46999043921053	1	manual_seed_from_immediate_known_biology				
LAMTOR5	1	STAT4	outgoing_from_anchor	8.46999043921053	8.46999043921053	1	SIGNOR				
MAP2K6	1	STAT4	incoming_to_anchor	8.46999043921053	8.46999043921053	14	HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper				
PIAS2	1	STAT4	incoming_to_anchor	8.46999043921053	8.46999043921053	4	HPRD;SPIKE_LC;SignaLink3;Wang				
SOCS3	1	STAT4	incoming_to_anchor	8.46999043921053	8.46999043921053	1	SignaLink3				
STAT4	1	STAT4	self_anchor	8.46999043921053	8.46999043921053	1	wave68_self_anchor				
CRLF2	1	IL7R	outgoing_from_anchor	7.303112295349752	7.303112295349752	5	HINT;HPRD;NetPath;SignaLink3;Wang				
IL7	1	IL7R	incoming_to_anchor	7.303112295349752	7.303112295349752	33	Baccin2019;CellCall;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HINT;HPMR;HPMR_LRdb;HPMR_talklr				
IL7R	1	IL7R	self_anchor	7.303112295349752	7.303112295349752	1	wave68_self_anchor				
KIT	1	IL7R	incoming_to_anchor	7.303112295349752	7.303112295349752	2	Cellinker;NetPath				
STAT5A	1	IL7R	manual_seed_controller	7.303112295349752	7.303112295349752	1	manual_seed_from_immediate_known_biology				
STAT5B	1	IL7R	manual_seed_controller	7.303112295349752	7.303112295349752	1	manual_seed_from_immediate_known_biology				
TNFRSF11B	1	IL7R	outgoing_from_anchor	7.303112295349752	7.303112295349752	1	Cellinker				
TSLP	1	IL7R	incoming_to_anchor	7.303112295349752	7.303112295349752	21	Baccin2019;CellCall;CellTalkDB;EMBRACE;Fantom5_LRdb;Guide2Pharma;HINT;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb				
TNFSF9	1	TNFRSF9	incoming_to_anchor;outgoing_from_anchor	7.231303179878387	3.6156515899391937	34	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Cui2007;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb				
IGF1R	1	LPP	incoming_to_anchor	7.0221028151652645	7.0221028151652645	2	KEA;NetworKIN_KEA				
LCK	1	LPP	incoming_to_anchor	7.0221028151652645	7.0221028151652645	2	KEA;NetworKIN_KEA				
LPP	1	LPP	self_anchor	7.0221028151652645	7.0221028151652645	1	wave68_self_anchor				
TGFB1	1	LPP	incoming_to_anchor	7.0221028151652645	7.0221028151652645	1	Cellinker				
HRAS	1	RGS14	manual_seed_controller	6.9880380431873	6.9880380431873	1	manual_seed_from_immediate_known_biology				
PRKACB	1	RGS14	incoming_to_anchor	6.9880380431873	6.9880380431873	2	KEA;NetworKIN_KEA				
RAF1	1	RGS14	manual_seed_controller	6.9880380431873	6.9880380431873	1	manual_seed_from_immediate_known_biology				
RAP1A	1	RGS14	manual_seed_controller	6.9880380431873	6.9880380431873	1	manual_seed_from_immediate_known_biology				
RGS14	1	RGS14	self_anchor	6.9880380431873	6.9880380431873	1	wave68_self_anchor				
ARIH1	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
B3GNT3	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
BTRC_CUL1_SKP1	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
CMTM4	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
CMTM6	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	3	HINT;IntAct;SIGNOR				
COPS5	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	3	BioGRID;HINT;SIGNOR				
EPHA3	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	Cellinker				
FKBP5	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
ITCH	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
NCR3	1	CD274	outgoing_from_anchor	5.999434497146563	5.999434497146563	2	Cellinker;Wojtowicz2020				
NEK2	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	6	PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR				
PDCD1LG2	1	CD274	outgoing_from_anchor	5.999434497146563	5.999434497146563	3	Cellinker;HINT;Wojtowicz2020				
PRKAA1	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	4	PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;Sparser_ProtMapper				
SIGMAR1	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
SPOP	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
STAT1	1	CD274	manual_seed_controller	5.999434497146563	5.999434497146563	1	manual_seed_from_immediate_known_biology				
STT3A	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
STT3B	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
STUB1	1	CD274	incoming_to_anchor	5.999434497146563	5.999434497146563	1	SIGNOR				
