artifact_id	artifact	exists	n_problems	problems	pass
M01	docs/history/PROGRESSION_FRONTIER_V54.md	True	0	-	True
M02	docs/reports/PROGRESSION_EVIDENCE_DELTA_V54.md	True	0	-	True
M03	analysis/v54_progressive_stage_modules/REPORT.md	True	0	-	True
M04	analysis/v54_progression_lesion_state/REPORT.md	True	0	-	True
M05	analysis/v54_progression_intervention_direction_map/REPORT.md	True	0	-	True
M06	analysis/v54_foamy_donor_estimand_audit/REPORT.md	True	0	-	True
M07	docs/reports/PROGRESSION_EXTERNAL_REVIEW_V54.md	True	0	-	True
D01	docs/validation/PROGRESSION_COHORT_ACQUISITION_SPEC_V54.md	True	0	-	True
D02	docs/validation/PROGRESSION_COHORT_ROLE_MATRIX_V54.md	True	0	-	True
D03	docs/validation/PROGRESSION_ACQUISITION_VOI_V54.md	True	0	-	True
D04	docs/validation/outbound_requests/progression_p1_core_ready_to_send_V54.md	True	0	-	True
D05	docs/validation/input_schemas/V54_progression_p1_request_response_template.tsv	True	0	-	True
D06	docs/validation/input_schemas/V54_progression_cohort_required_fields.tsv	True	0	-	True
D07	docs/validation/PROGRESSION_PACKAGE_ELIGIBILITY_VALIDATOR_V54.md	True	0	-	True
D08	docs/validation/PROGRESSION_CONFIRMATION_PROVENANCE_GATE_V54.md	True	0	-	True
D09	docs/validation/PROGRESSION_SITE_SCORE_CALIBRATION_GATE_V54.md	True	0	-	True
A01	docs/validation/PROGRESSION_P1_P2_BLINDED_PREREGISTRATION_V54.md	True	0	-	True
A02	docs/validation/PROGRESSION_PROSPECTIVE_DESIGN_V54.md	True	0	-	True
A03	docs/validation/PROGRESSION_REFERENCE_MANIFEST_V54.md	True	0	-	True
A04	docs/validation/PROGRESSION_COMBINED_INTAKE_GATE_V54.md	True	0	-	True
A05	docs/validation/PROGRESSION_P1_INTAKE_TO_LOCK_V54.md	True	0	-	True
A06	docs/validation/PROGRESSION_P1_ANALYSIS_RELEASE_GATE_V54.md	True	0	-	True
A07	docs/validation/PROGRESSION_NEGATIVE_CONTROL_GATE_V54.md	True	0	-	True
A08	docs/validation/PROGRESSION_BLINDED_INFORMATION_MONITOR_V54.md	True	0	-	True
A09	docs/validation/PROGRESSION_PRECISION_RECEIPT_ROUTER_V54.md	True	0	-	True
A10	docs/validation/PROGRESSION_EVENT_TIME_ASSUMPTION_GATE_V54.md	True	0	-	True
A11	docs/validation/PROGRESSION_TREATMENT_SWITCH_GATE_V54.md	True	0	-	True
A12	docs/validation/PROGRESSION_NONLINEAR_DIAGNOSTIC_GATE_V54.md	True	0	-	True
A13	docs/validation/PROGRESSION_P2_COMPOSITION_ACCEPTANCE_V54.md	True	0	-	True
R01	analysis/v54_progression_event_time_power_design/REPORT.md	True	0	-	True
R02	docs/validation/PROGRESSION_WEAKER_EFFECT_POWER_V54.md	True	0	-	True
R03	docs/validation/PROGRESSION_CONFIRMATION_ERROR_V54.md	True	0	-	True
R04	analysis/v54_progression_competing_risk_robustness/REPORT.md	True	0	-	True
R05	analysis/v54_progression_visit_schedule_robustness/REPORT.md	True	0	-	True
R06	analysis/v54_progression_repeated_score_reliability/REPORT.md	True	0	-	True
R07	analysis/v54_progression_multisite_transportability/REPORT.md	True	0	-	True
R08	docs/validation/PROGRESSION_LEAVE_SITE_OUT_PRECISION_V54.md	True	0	-	True
R09	docs/validation/PROGRESSION_LEAVE_SITE_OUT_PRECISION_EXTENSION_V54.md	True	0	-	True
R10	analysis/v54_progression_site_score_harmonization/REPORT.md	True	0	-	True
R11	docs/plans/PROGRESSION_COMBINED_ASCERTAINMENT_CONFIRMATION_V54.md	True	0	-	True
R12	analysis/v54_progression_p2_interaction_power/REPORT.md	True	0	-	True
R13	analysis/v54_progression_linear_misspecification/REPORT.md	True	0	-	True
R14	analysis/v54_progression_regression_suite/REPORT.md	True	0	-	True
R15	analysis/v54_multilineage_progression_review/REPORT.md	True	0	-	True
