gene	target_chembl_id	target_name	target_type	organism	target_status	target_mode	activity_status	activity_mode	activity_rows_bounded	best_nM_bounded
CCNC	CHEMBL2401607	Cyclin-C	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	1	2640.0
CDK19	CHEMBL6002	Cyclin-dependent kinase 19	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	100	1.5
CDK8	CHEMBL5719	Cyclin-dependent kinase 8	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	100	1.4
CHUK	CHEMBL3476	Inhibitor of nuclear factor kappa-B kinase subunit alpha	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	100	25.0
GSK3B	CHEMBL6067425	GSK3B-interacting protein	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	4	24.35
MED12	CHEMBL5724623	Mediator of RNA polymerase II transcription subunit 12	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	1	130.0
MED16	CHEMBL5724625	Mediator of RNA polymerase II transcription subunit 16	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	1	630.0
RFX5					200	cache			0	
TNFRSF1A	CHEMBL3378	Tumor necrosis factor receptor superfamily member 1A	SINGLE PROTEIN	Homo sapiens	200	cache	200.0	cache	100	210.0
