analysis	disease_name	compartment	gene	n_feature_columns
ibd_crohn_myeloid	Crohn disease	colon myeloid	ABHD2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ACSL1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ACSL3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ACSL4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	AGRN	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ANGPTL4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ANKRD22	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	AP2B1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	APOC1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	APOL1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	APOL2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	AQR	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ARHGEF28	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ARPC5	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ASL	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ASPM	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	ATOX1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	AXL	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	BATF2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	BCL2L14	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	BICD1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	BTF3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	C15ORF48	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	C1QTNF1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	C4ORF46	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CALR	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CAPZA1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CARD10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CARD16	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CASP10	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CASP4	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CASP8	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CBX3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CCL19	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CCL20	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD200R1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD24	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD274	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD300A	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD300E	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD300LF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD36	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD44	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD74	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CD82	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CDC42EP1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CDC42SE1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CDV3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CFB	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CFP	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CHD1L	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CHI3L1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CKLF	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CNN2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CNN3	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	COL4A1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	COX7A2	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	COX7B	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CSGALNACT1	1
ibd_crohn_myeloid	Crohn disease	colon myeloid	CSTA	1
