seed	module	n_wild_replicates	donor_wild_p	max_module_fwer_p
54301	oxphos	100000	0.008629913700862992	0.035379646203537965
54301	resolution_efferocytosis_proxy	100000	0.6926130738692613	0.999110008899911
54301	nrf2_antioxidant_response	100000	0.985210147898521	1.0
54301	stress_cytotoxicity	100000	0.8228817711822882	0.999840001599984
54301	mocci_inflammatory_switch	100000	0.24245757542424576	0.6868831311686883
54302	oxphos	100000	0.00935990640093599	0.035679643203567965
54302	resolution_efferocytosis_proxy	100000	0.6924730752692473	0.999190008099919
54302	nrf2_antioxidant_response	100000	0.984630153698463	1.0
54302	stress_cytotoxicity	100000	0.8234117658823412	0.999870001299987
54302	mocci_inflammatory_switch	100000	0.23998760012399875	0.6854931450685493
54303	oxphos	100000	0.00922990770092299	0.036129638703612965
54303	resolution_efferocytosis_proxy	100000	0.6944330556694434	0.999130008699913
54303	nrf2_antioxidant_response	100000	0.985030149698503	1.0
54303	stress_cytotoxicity	100000	0.8243117568824312	0.999820001799982
54303	mocci_inflammatory_switch	100000	0.24090759092409075	0.6848031519684803
