left_out_donor	module	status	foamy_adjusted_beta
MS01	oxphos	estimated	-0.5450579728790725
MS01	resolution_efferocytosis_proxy	estimated	-0.022284396430650683
MS01	nrf2_antioxidant_response	estimated	-0.07434105092900553
MS01	stress_cytotoxicity	estimated	0.04882372794121276
MS01	mocci_inflammatory_switch	estimated	0.22302653377191026
MS02	oxphos	estimated	-0.647520864202259
MS02	resolution_efferocytosis_proxy	estimated	0.125887833055106
MS02	nrf2_antioxidant_response	estimated	0.10611517274760825
MS02	stress_cytotoxicity	estimated	0.024002665638130426
MS02	mocci_inflammatory_switch	estimated	0.3297234655055187
MS03	oxphos	estimated	-0.5896011829402893
MS03	resolution_efferocytosis_proxy	estimated	0.08637178862721262
MS03	nrf2_antioxidant_response	estimated	-0.09869662038190381
MS03	stress_cytotoxicity	estimated	0.04692605684825557
MS03	mocci_inflammatory_switch	estimated	0.17912827960558683
MS05	oxphos	estimated	-0.6505878306191836
MS05	resolution_efferocytosis_proxy	estimated	0.0938442538299092
MS05	nrf2_antioxidant_response	estimated	0.01538099880494867
MS05	stress_cytotoxicity	estimated	0.0645607435576804
MS05	mocci_inflammatory_switch	estimated	0.26107795284962126
MS06	oxphos	estimated	-0.566544362279056
MS06	resolution_efferocytosis_proxy	estimated	0.08932120011193169
MS06	nrf2_antioxidant_response	estimated	-0.02326122219646418
MS06	stress_cytotoxicity	estimated	0.016567745453313746
MS06	mocci_inflammatory_switch	estimated	0.29717447387332746
MS08	oxphos	estimated	-0.6393074993858778
MS08	resolution_efferocytosis_proxy	estimated	0.12264195138362902
MS08	nrf2_antioxidant_response	estimated	-0.10935284160004001
MS08	stress_cytotoxicity	estimated	0.019472949946035212
MS08	mocci_inflammatory_switch	estimated	0.2949248196144817
MS09	oxphos	estimated	-0.655155757013068
MS09	resolution_efferocytosis_proxy	estimated	0.1583042735077006
MS09	nrf2_antioxidant_response	estimated	0.09225532943919702
MS09	stress_cytotoxicity	estimated	0.055212119832336294
MS09	mocci_inflammatory_switch	estimated	0.23271174422973587
MS10	oxphos	estimated	-0.6270194020372041
MS10	resolution_efferocytosis_proxy	estimated	0.0773011099287989
MS10	nrf2_antioxidant_response	estimated	-0.0019571489861331
MS10	stress_cytotoxicity	estimated	0.06082130646876797
MS10	mocci_inflammatory_switch	estimated	0.33148488274128257
MS13	oxphos	estimated	-0.5651782475885369
MS13	resolution_efferocytosis_proxy	estimated	0.06122094218407616
MS13	nrf2_antioxidant_response	estimated	-0.08833979739979951
MS13	stress_cytotoxicity	estimated	0.04580204841132599
MS13	mocci_inflammatory_switch	estimated	0.47885657348238597
MS15	oxphos	estimated	-0.619423492911342
MS15	resolution_efferocytosis_proxy	estimated	0.08822212838922369
MS15	nrf2_antioxidant_response	estimated	0.0012353626523484422
MS15	stress_cytotoxicity	estimated	0.08564200474928362
MS15	mocci_inflammatory_switch	estimated	0.2952734301641753
MS16	oxphos	estimated	-0.6601970344387256
MS16	resolution_efferocytosis_proxy	estimated	0.08730966315729274
MS16	nrf2_antioxidant_response	estimated	0.0024407231244936625
MS16	stress_cytotoxicity	estimated	0.07118036795849624
MS16	mocci_inflammatory_switch	estimated	0.32854646609932503
MS17	oxphos	estimated	-0.6702019680052308
MS17	resolution_efferocytosis_proxy	estimated	0.0721737841792351
MS17	nrf2_antioxidant_response	estimated	-0.06127952737820352
MS17	stress_cytotoxicity	estimated	0.09036108393708768
MS17	mocci_inflammatory_switch	estimated	0.3925336058552378
MS18	oxphos	estimated	-0.6790248448260106
MS18	resolution_efferocytosis_proxy	estimated	0.10435781565068615
MS18	nrf2_antioxidant_response	estimated	-0.078342566046787
MS18	stress_cytotoxicity	estimated	-0.09420550159570919
MS18	mocci_inflammatory_switch	estimated	0.42094531871781765
MS19	oxphos	estimated	-0.6580033217892663
MS19	resolution_efferocytosis_proxy	estimated	0.10211402591739836
MS19	nrf2_antioxidant_response	estimated	0.03644137976142949
MS19	stress_cytotoxicity	estimated	0.10248578383474279
MS19	mocci_inflammatory_switch	estimated	0.28587303999254604
MS20	oxphos	estimated	-0.7038268965697524
MS20	resolution_efferocytosis_proxy	estimated	-0.030743784005919147
MS20	nrf2_antioxidant_response	estimated	0.010580696872983516
MS20	stress_cytotoxicity	estimated	-0.10167586168010223
MS20	mocci_inflammatory_switch	estimated	0.3631646652342182
MS21	oxphos	estimated	-0.5320518077926447
MS21	resolution_efferocytosis_proxy	estimated	0.054468101413888845
MS21	nrf2_antioxidant_response	estimated	0.2125829829822633
MS21	stress_cytotoxicity	estimated	0.24987597844626686
MS21	mocci_inflammatory_switch	estimated	0.3447640085453252
MS23	oxphos	estimated	-0.5322391056689896
MS23	resolution_efferocytosis_proxy	estimated	-0.041854909132303074
MS23	nrf2_antioxidant_response	estimated	-0.027319725289909735
MS23	stress_cytotoxicity	estimated	0.055059494172280295
MS23	mocci_inflammatory_switch	estimated	0.20982858870298732
MS25	oxphos	estimated	-0.6179593947792567
MS25	resolution_efferocytosis_proxy	estimated	0.06981861083071882
MS25	nrf2_antioxidant_response	estimated	0.0004459636584858956
MS25	stress_cytotoxicity	estimated	0.1277560675210153
MS25	mocci_inflammatory_switch	estimated	0.3244309729585737
MS26	oxphos	estimated	-0.6306204632905912
MS26	resolution_efferocytosis_proxy	estimated	0.09523129550382937
MS26	nrf2_antioxidant_response	estimated	-0.02460646253066154
