dataset	module	n_requested	n_present	n_variable	coverage_fraction	variable_genes	absent_or_constant_genes
GSE180759	oxphos	13	12	11	0.8461538461538461	NDUFA1;NDUFA2;SDHA;SDHB;UQCRC1;UQCRC2;COX4I1;COX5A;ATP5F1A;ATP5F1B;ATP5MC1	NDUFA9;NDUFB8
GSE180759	resolution_efferocytosis_proxy	28	28	28	1.0	MERTK;AXL;TYRO3;GAS6;PROS1;TREM2;APOE;LPL;ABCA1;ABCG1;NR1H3;NR1H2;PPARD;PPARG;MRC1;CD163;IL10;TGFB1;VSIG4;C1QA;C1QB;C1QC;F13A1;LYVE1;ANXA1;FPR2;CD36;MARCO	
GSE180759	nrf2_antioxidant_response	4	4	4	1.0	NFE2L2;KEAP1;HMOX1;NQO1	
GSE180759	stress_cytotoxicity	11	11	11	1.0	DDIT3;HSPA1A;HSPA1B;ATF4;XBP1;BAX;CASP3;FOS;JUN;DNAJB1;HSP90AA1	
GSE180759	mocci_inflammatory_switch	2	2	2	1.0	C15ORF48;NDUFA4	
GSE279972	oxphos	13	13	13	1.0	NDUFA1;NDUFA2;NDUFA9;NDUFB8;SDHA;SDHB;UQCRC1;UQCRC2;COX4I1;COX5A;ATP5F1A;ATP5F1B;ATP5MC1	
GSE279972	resolution_efferocytosis_proxy	28	28	28	1.0	MERTK;AXL;TYRO3;GAS6;PROS1;TREM2;APOE;LPL;ABCA1;ABCG1;NR1H3;NR1H2;PPARD;PPARG;MRC1;CD163;IL10;TGFB1;VSIG4;C1QA;C1QB;C1QC;F13A1;LYVE1;ANXA1;FPR2;CD36;MARCO	
GSE279972	nrf2_antioxidant_response	4	4	4	1.0	NFE2L2;KEAP1;HMOX1;NQO1	
GSE279972	stress_cytotoxicity	11	11	11	1.0	DDIT3;HSPA1A;HSPA1B;ATF4;XBP1;BAX;CASP3;FOS;JUN;DNAJB1;HSP90AA1	
GSE279972	mocci_inflammatory_switch	2	2	2	1.0	C15ORF48;NDUFA4	
