gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts
PTPN2	9	24	0.00018875929931202638	0.016844040300283154	0.35930942984015807	3	1	5	4
SH2B3	5	23	-0.0001715281180167723	-0.0025993907824158795	-0.14561321186877824	2	1	3	2
TNFAIP3	5	35	0.00019940787242374102	0.0177673326805234	0.36517133994655165	2	1	2	3
TASL	3	6	5.902846654253335e-05	0.016508455388247967	0.12931059515194634	1	1	2	1
CTSS	7	85	-0.00037303081002651434	-0.014978999005896687	-0.5229534445007865	1	1	2	5
UNC93B1	6	20	-0.0005211962561588347	0.010769217585523917	-0.5740364580313724	1	0	3	3
GSK3B	5	7	-0.0002423564594209732	0.016373550705611698	-0.351227578881297	0	0	3	2
CIITA	6	12	-0.00020082493574587957	0.00792966146642965	-0.14740897880484655	0	0	2	4
SLC15A4	7	16	-0.00021408498287197323	-0.00975370134360023	-0.1501568130150645	0	0	2	5
CD74	8	87	-0.00032089113938125303	-0.035519665107131004	-0.22850481785982163	0	0	2	6
TLR8	4	5	-0.00027493387460705	-0.00367220491170885	-0.3113046353612794	0	0	2	2
TLR7	1	2	0.0003178417682647	0.0214217379689216	0.7501681356392066	0	0	1	0
RFX5	2	2	0.00014531612396235	-0.0003208201378584012	0.5031273630618915	0	0	1	1
IRF5	2	3	7.763504981995e-05	0.00518576800823215	0.3495310431008648	0	0	1	1
GPR65	5	8	-0.00030149022786644	-0.03176566325128076	-0.33584437216260826	0	0	1	4
CLEC16A	2	3	-0.0003654807806014921	-0.045472195371985394	-0.4970432441904856	0	0	0	2
