gene	wave34_call	wave34_score	gate	passed
PTPN2	NO_GO_GENETIC_DRUGGABLE_PRIOR_ART_BLOCKED	31.6	gate_genetic_breadth	True
IRF5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	25.6	gate_genetic_breadth	True
CLEC16A	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	25.4	gate_genetic_breadth	True
SH2B3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	24.1	gate_genetic_breadth	True
TNFAIP3	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	24.099999999999998	gate_genetic_breadth	True
CFB	NO_GO_GENETIC_DRUGGABLE_PRIOR_ART_BLOCKED	23.5	gate_genetic_breadth	True
SBNO2	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	23.0	gate_genetic_breadth	True
SP140	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	21.0	gate_genetic_breadth	True
FADS1	PARK_GENETIC_DRUGGABLE_NEEDS_CELL_STATE	19.5	gate_genetic_breadth	True
CCDC88B	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
TAP2	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
PSMA6	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
PTPRC	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
YDJC	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
CARMIL1	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
PRR5L	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
PSMB9	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
PRDM1	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	19.0	gate_genetic_breadth	True
IL7R	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	18.5	gate_genetic_breadth	True
PHTF1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
ARID5B	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	18.0	gate_genetic_breadth	True
RAD51B	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	18.0	gate_genetic_breadth	True
FUT2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
RBM17	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
ERAP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
FADS2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
HCG27	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
ITPR3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
TNFSF15	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
CARD9	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
CDKAL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
COG6	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
NKD1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
BANK1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
CDC37	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
CSF2RB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
KIF21B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	18.0	gate_genetic_breadth	True
ETS1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.2	gate_genetic_breadth	True
RDX	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.2	gate_genetic_breadth	True
TCF7L2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.2	gate_genetic_breadth	True
UBAC2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.2	gate_genetic_breadth	True
PTPN22	NO_GO_GENETIC_DRUGGABLE_PRIOR_ART_BLOCKED	17.0	gate_genetic_breadth	True
ATXN2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
TNIP1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
IFIH1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
UBE2L3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
PSORS1C1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
ZMIZ1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
GSDMB	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
RUNX3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
SYNGR1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
TNPO3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
PRDX5	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
NAB1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
PLCL2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
RTEL1-TNFRSF6B	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
ERAP2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
FYN	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
GATD3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
IFNGR2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
ITGAM	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
RTEL1	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
SMAD3	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
TNFRSF14	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
BRD2	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	17.0	gate_genetic_breadth	True
