dataset	pathway	perturbation	cell_type	gene	log2fc	p	fdr
GSE281048_Mixscale	IFNB	ADAR	A549	GADD45A		0.0002071101290907	0.0028366222743814863
GSE281048_Mixscale	IFNB	ADAR	A549	HSP90AA1	-0.180178358926225	3.6208774542069796e-11	1.7412397357564232e-09
GSE281048_Mixscale	IFNB	ADAR	A549	JUN	0.344694462917188	4.2094813137817004e-10	1.768799526800699e-08
GSE281048_Mixscale	IFNB	ADAR	A549	STAT1	-0.0428898666770112	0.0063541895362874	0.04803656299223034
GSE281048_Mixscale	IFNB	ADAR	A549	KLF6	0.304414335064856	1.56462728112478e-05	0.00029188391692707105
GSE281048_Mixscale	IFNB	ADAR	A549	DDIT3	0.90520105477538	1.16218620680869e-08	4.072827451876931e-07
GSE281048_Mixscale	IFNB	ADAR	A549	FOS	-0.113092770644261	0.997092184552008	0.9996485032845845
GSE281048_Mixscale	IFNB	ADAR	A549	IRF1	0.2625792124595	7.31382563105227e-14	4.945974582999098e-12
GSE281048_Mixscale	IFNB	ADAR	A549	GBP1	-0.130585255534409	0.157493363582022	0.41049760769827837
GSE281048_Mixscale	IFNB	ADAR	A549	IFIT1	-0.395217103915938	0.0076322939740328	0.05551692154556968
GSE281048_Mixscale	IFNB	ADAR	A549	CASP3		0.921290263743683	0.975836356206949
GSE281048_Mixscale	IFNB	ADAR	A549	DNAJB1	-0.288348309031807	0.0424840696122207	0.1867659251210677
GSE281048_Mixscale	IFNB	ADAR	A549	CTSS	-0.287514064789713	0.0159475209785349	0.09755600112381489
GSE281048_Mixscale	IFNB	ADAR	A549	ATF4	0.638596266233771	0.744105378890996	0.8823255013260907
GSE281048_Mixscale	IFNB	ADAR	A549	HSPA1A		0.388868868933116	0.6493149941136288
GSE281048_Mixscale	IFNB	ADAR	A549	ISG15	-0.122386623409203	0.388299008046455	0.6491481172585809
GSE281048_Mixscale	IFNB	ADAR	A549	RFX5	-0.0908445305892638	0.444846510413556	0.6928532611025311
GSE281048_Mixscale	IFNB	ADAR	BXPC3	GADD45A	1.94770197510252	6.35911579307763e-108	1.019342709349629e-105
GSE281048_Mixscale	IFNB	ADAR	BXPC3	HSP90AA1	-0.616139085000328	1.94449938008024e-75	1.6831586633974555e-73
GSE281048_Mixscale	IFNB	ADAR	BXPC3	JUN	1.11163298919267	4.65157623688586e-61	2.960591463712059e-59
GSE281048_Mixscale	IFNB	ADAR	BXPC3	STAT1	0.09885700181542	0.0001285857762034	0.0004262881956402261
