step	status	n_perturbations	n_contrasts	n_genes	n_rows	n_hits	n_compounds	errors
mixscale	ok	175.0						
gse162464_mouse_rna	ok		5.0					
gse162463_mouse_screen	ok			11702.0				
gse294918_human_ruxolitinib	ok		6.0					
control_compound_metadata	ok				134.0			
l1000fwd	ok					200.0	94.0	{}
integrated_rank	ok				186.0			
