dataset	pathway	perturbation	cell_type	target_module_effect	target_module_median_effect	target_n_genes	target_genes_present	target_negative_fraction	target_sig_negative_fdr10	generic_ifn_effect	generic_ifn_median_effect	generic_ifn_n_genes	generic_ifn_genes_present	generic_ifn_negative_fraction	generic_ifn_sig_negative_fdr10	stress_module_effect	stress_module_median_effect	stress_n_genes	stress_genes_present	stress_positive_fraction	stress_sig_positive_fdr10	target_suppression	generic_ifn_suppression	target_vs_ifn_margin	target_over_ifn_ratio	stress_induction	stress_abs_effect	selectivity_score
GSE281048_Mixscale	TNFA	PIK3CA	A549	0.0498400481191939	0.0498400481191939	2	CTSS,RFX5	0.5	0	0.021289164971712002	0.0247679276651587	4	GBP1,IFIT1,IRF1,STAT1	0.5	0	0.0031301863244769254	0.015327900075379399	4	ATF4,DNAJB1,FOS,KLF6	0.75	0	0.0	0.0	0.0	0.0	0.0031301863244769254	0.0031301863244769254	-0.0014085838460146164
GSE281048_Mixscale	TNFA	PIK3CA	BXPC3	0.0009860031973092	0.0009860031973092	1	CTSS	0.0	0	-0.07242643282370827	-0.0587929578919929	3	GBP1,IRF1,STAT1	1.0	0	0.17707918117711596	0.19396334982386249	4	ATF4,CASP3,DNAJB1,KLF6	1.0	0	0.0	0.07242643282370827	-0.07242643282370827	0.0	0.17707918117711596	0.17707918117711596	-0.15211206435341046
GSE281048_Mixscale	TNFA	PIK3CA	HAP1			0			0	0.180495120797634	0.180495120797634	1	STAT1	0.0	0	0.10405314767949955	0.10405314767949955	2	ATF4,KLF6	0.5	0	0.0	0.0	0.0	0.0	0.10405314767949955	0.10405314767949955	-0.0468239164557748
GSE281048_Mixscale	TNFA	PIK3CA	HT29	0.186113055669498	0.186113055669498	1	CTSS	0.0	0	0.04959078721748596	0.06519331204294125	4	GBP1,IFIT1,IRF1,STAT1	0.25	0	0.06188238425546626	0.0162214450634914	5	ATF4,CASP3,DNAJB1,FOS,KLF6	0.6	1	0.0	0.0	0.0	0.0	0.06188238425546626	0.06188238425546626	-0.027847072914959817
GSE281048_Mixscale	TNFA	PIK3CA	K562			0			0	-0.0036044940646279503	-0.0036044940646279503	2	IRF1,STAT1	0.5	0	-0.037772075106764655	-0.019041087376364448	4	ATF4,CASP3,DNAJB1,KLF6	0.5	0	0.0	0.0036044940646279503	-0.0036044940646279503	0.0	0.0	0.037772075106764655	-0.007381701575304416
GSE281048_Mixscale	TNFA	PIK3CA	MCF7	0.0843386324206112	0.0843386324206112	1	RFX5	0.0	0	-0.0121233522108883	-0.0121233522108883	2	IRF1,STAT1	0.5	0	0.0716240703235822	0.0008973671858742	3	ATF4,DNAJB1,KLF6	0.6666666666666666	0	0.0	0.0121233522108883	-0.0121233522108883	0.0	0.0716240703235822	0.0716240703235822	-0.04435418385650029
GSE281048_Mixscale	TNFA	PTGS2	A549	-0.0079911752014604	-0.0079911752014604	2	CTSS,RFX5	0.5	0	0.026559786615675728	0.020860493676742302	4	GBP1,IFIT1,IRF1,STAT1	0.25	0	-0.0013006043672002914	0.0009011817380143206	4	DNAJB1,FOS,JUN,KLF6	0.5	0	0.0079911752014604	0.0	0.0079911752014604	0.079911752014604	0.0	0.0013006043672002914	0.00786111476474037
GSE281048_Mixscale	TNFA	PTGS2	BXPC3	-0.0800306889571145	-0.0800306889571145	1	CTSS	1.0	0	-0.0277298832369323	-0.0041069421385738	3	GBP1,IRF1,STAT1	0.6666666666666666	0	0.16352342196310862	0.101697388156533	5	CASP3,DNAJB1,FOS,JUN,KLF6	0.8	0	0.0800306889571145	0.0277298832369323	0.0523008057201822	0.8003068895711449	0.16352342196310862	0.16352342196310862	-0.021284734163216676
GSE281048_Mixscale	TNFA	PTGS2	HAP1			0			0	0.0865403576800305	0.0865403576800305	1	STAT1	0.0	0	0.24436741756863	0.24436741756863	1	KLF6	1.0	0	0.0	0.0	0.0	0.0	0.24436741756863	0.24436741756863	-0.1099653379058835
GSE281048_Mixscale	TNFA	PTGS2	HT29	0.014926508633935	0.014926508633935	1	CTSS	0.0	0	0.0415505216885067	0.0316184309507797	4	GBP1,IFIT1,IRF1,STAT1	0.0	0	0.053990288750700534	0.0339363454186137	5	CASP3,DNAJB1,FOS,JUN,KLF6	0.8	0	0.0	0.0	0.0	0.0	0.053990288750700534	0.053990288750700534	-0.02429562993781524
GSE281048_Mixscale	TNFA	PTGS2	K562	0.341225855627893	0.341225855627893	1	CTSS	0.0	0	0.02784259811438565	0.02784259811438565	2	IRF1,STAT1	0.5	0	0.08655041918197308	0.07072402157619424	4	CASP3,DNAJB1,JUN,KLF6	0.75	0	0.0	0.0	0.0	0.0	0.08655041918197308	0.08655041918197308	-0.03894768863188788
GSE281048_Mixscale	TNFA	PTGS2	MCF7	-0.179666848153455	-0.179666848153455	1	RFX5	1.0	0	-0.09103182522445966	-0.09103182522445966	2	IRF1,STAT1	1.0	0	0.06160189576363256	0.0700204599122527	3	DNAJB1,JUN,KLF6	0.6666666666666666	0	0.179666848153455	0.09103182522445966	0.08863502292899533	1.7966684815345497	0.06160189576363256	0.06160189576363256	0.060914169835360674
GSE281048_Mixscale	TNFA	RELB	A549	0.050520753770763746	0.050520753770763746	2	CTSS,RFX5	0.5	0	0.044080889685423695	0.01375434009087	4	GBP1,IFIT1,IRF1,STAT1	0.25	0	0.07150134459860255	0.0014667646661612	5	ATF4,DNAJB1,HSP90AA1,JUN,KLF6	0.6	0	0.0	0.0	0.0	0.0	0.07150134459860255	0.07150134459860255	-0.032175605069371144
