candidate	n_evidence_records	sources	best_direct_selectivity_score	best_direct_target_suppression	best_direct_target_vs_ifn_margin	direct_evidence_calls	gse162463_mhcii_low_gate_rank_if_available	nomination_strength	nomination_priority
FBXO6	1	Mixscale_CRISPRi	-0.005554914728447495	0.0	0.0	null_or_wrong_direction		not_nominated	6
MAP3K7	1	Mixscale_CRISPRi	-0.005694198023529215	0.20016082787412218	-0.0029232768411466825	null_or_wrong_direction		not_nominated	6
IRF7	2	Mixscale_CRISPRi	-0.005799743085956787	0.02364175392633548	0.0	null_or_wrong_direction		not_nominated	6
STAT3	2	Mixscale_CRISPRi	-0.006237879831838028	0.0	0.0	null_or_wrong_direction		not_nominated	6
PTGES3	1	Mixscale_CRISPRi	-0.006867186059383181	0.0	0.0	null_or_wrong_direction		not_nominated	6
ETV7	1	Mixscale_CRISPRi	-0.007110958313125498	0.0	0.0	null_or_wrong_direction		not_nominated	6
MAPK8	2	Mixscale_CRISPRi	-0.007638806729341799	0.0	0.0	null_or_wrong_direction		not_nominated	6
ZNFX1	2	Mixscale_CRISPRi	-0.007781293563247398	0.0	0.0	null_or_wrong_direction		not_nominated	6
CASP3	1	Mixscale_CRISPRi	-0.007988741238680508	0.0	0.0	null_or_wrong_direction		not_nominated	6
CRKL	1	Mixscale_CRISPRi	-0.008440244925622887	0.0	0.0	null_or_wrong_direction		not_nominated	6
IKBKE	1	Mixscale_CRISPRi	-0.009157281735846073	0.0	-0.007565244566789771	null_or_wrong_direction		not_nominated	6
TRAF1	1	Mixscale_CRISPRi	-0.009224534459310131	0.01576738002957215	0.01576738002957215	null_or_wrong_direction		not_nominated	6
MAP2K3	1	Mixscale_CRISPRi	-0.010280792905801986	0.0	-0.003010304626219122	null_or_wrong_direction		not_nominated	6
SP100	2	Mixscale_CRISPRi	-0.01089100078600699	0.0	0.0	null_or_wrong_direction		not_nominated	6
IFI16	2	Mixscale_CRISPRi	-0.011057789571506693	0.0	0.0	null_or_wrong_direction		not_nominated	6
MTOR	1	Mixscale_CRISPRi	-0.011165392481969065	0.0	0.0	null_or_wrong_direction		not_nominated	6
TRIM22	1	Mixscale_CRISPRi	-0.01149219127349304	0.0	0.0	null_or_wrong_direction		not_nominated	6
RNF14	1	Mixscale_CRISPRi	-0.01238136578268394	0.0	0.0	null_or_wrong_direction		not_nominated	6
NFKBIE	1	Mixscale_CRISPRi	-0.01253632909654854	0.0	0.0	null_or_wrong_direction		not_nominated	6
TRAF2	1	Mixscale_CRISPRi	-0.013014941810335356	0.0	-0.004849362538056586	null_or_wrong_direction		not_nominated	6
MAP3K14	2	Mixscale_CRISPRi	-0.014201520187674137	0.09948312229096036	0.0	null_or_wrong_direction		not_nominated	6
ETS2	1	Mixscale_CRISPRi	-0.014425768586216782	0.0	0.0	null_or_wrong_direction		not_nominated	6
TNFRSF1B	1	Mixscale_CRISPRi	-0.015891891916139243	0.0	0.0	null_or_wrong_direction		not_nominated	6
HLA-DQB1	1	Mixscale_CRISPRi	-0.01659885155797562	0.0	0.0	null_or_wrong_direction		not_nominated	6
DNM1L	1	Mixscale_CRISPRi	-0.018106139916510097	0.0	0.0	null_or_wrong_direction		not_nominated	6
HERC6	1	Mixscale_CRISPRi	-0.018523589907410185	0.0	0.0	null_or_wrong_direction		not_nominated	6
CREB1	1	Mixscale_CRISPRi	-0.01876262746099455	0.0	-0.01301077657086936	null_or_wrong_direction		not_nominated	6
SRC	1	Mixscale_CRISPRi	-0.019055242120039312	0.0	0.0	null_or_wrong_direction		not_nominated	6
BRD9	1	Mixscale_CRISPRi	-0.019363165814375305	0.0	0.0	null_or_wrong_direction		not_nominated	6
NFKB1	3	Mixscale_CRISPRi	-0.020744548451842967	0.018566513171445774	0.018566513171445774	null_or_wrong_direction		not_nominated	6
IRF9	2	Mixscale_CRISPRi	-0.021331451098531636	0.006718632907064648	-0.006435035677900829	null_or_wrong_direction		not_nominated	6
MTF1	1	Mixscale_CRISPRi	-0.021696245803115476	0.012803684562338236	-0.007300219391390425	null_or_wrong_direction		not_nominated	6
RELB	1	Mixscale_CRISPRi	-0.022075220399243603	0.03179801803850427	-0.0036928522355718155	null_or_wrong_direction		not_nominated	6
KLF4	1	Mixscale_CRISPRi	-0.023800351685335848	0.0	0.0	null_or_wrong_direction		not_nominated	6
GUK1	1	Mixscale_CRISPRi	-0.025108537999573095	0.0	0.0	null_or_wrong_direction		not_nominated	6
SP110	2	Mixscale_CRISPRi	-0.025541586460452834	0.0	0.0	null_or_wrong_direction		not_nominated	6
BATF2	2	Mixscale_CRISPRi	-0.02659137618402958	0.0	0.0	null_or_wrong_direction		not_nominated	6
TBX21	1	Mixscale_CRISPRi	-0.026762820494159963	0.00991355236843618	-0.023386460492824935	null_or_wrong_direction		not_nominated	6
FOXN3	1	Mixscale_CRISPRi	-0.029068881295341104	0.0	0.0	null_or_wrong_direction		not_nominated	6
CASP7	1	Mixscale_CRISPRi	-0.02929450797814788	0.0	-0.012473206293311655	null_or_wrong_direction		not_nominated	6
EHF	1	Mixscale_CRISPRi	-0.029541891864043948	0.0	0.0	null_or_wrong_direction		not_nominated	6
ZC3H3	1	Mixscale_CRISPRi	-0.02998683178492651	0.0	0.0	null_or_wrong_direction		not_nominated	6
CSF2	1	Mixscale_CRISPRi	-0.03009350510092894	0.0	-0.015563546942201066	null_or_wrong_direction		not_nominated	6
ZBP1	1	Mixscale_CRISPRi	-0.030735722670582468	0.0	0.0	null_or_wrong_direction		not_nominated	6
ETS1	1	Mixscale_CRISPRi	-0.032242070470781384	0.0	0.0	null_or_wrong_direction		not_nominated	6
IRF3	1	Mixscale_CRISPRi	-0.032482304428163127	0.0	0.0	null_or_wrong_direction		not_nominated	6
ZNF22	1	Mixscale_CRISPRi	-0.033140161806823	0.0	0.0	null_or_wrong_direction		not_nominated	6
HERC5	1	Mixscale_CRISPRi	-0.033699840473288514	0.0	0.0	null_or_wrong_direction		not_nominated	6
ITCH	1	Mixscale_CRISPRi	-0.03384438348784041	0.0	-0.029080679140593497	null_or_wrong_direction		not_nominated	6
NKX3-1	1	Mixscale_CRISPRi	-0.034085805134235286	0.0	0.0	null_or_wrong_direction		not_nominated	6
USP18	1	Mixscale_CRISPRi	-0.03423225574411295	0.0	0.0	null_or_wrong_direction		not_nominated	6
ZFP36L1	1	Mixscale_CRISPRi	-0.034703125655336564	0.0	0.0	null_or_wrong_direction		not_nominated	6
NFAT5	1	Mixscale_CRISPRi	-0.035410005675149736	0.0	-0.026291025990039903	null_or_wrong_direction		not_nominated	6
MAPK14	2	Mixscale_CRISPRi	-0.03559350280774123	0.0	0.0	null_or_wrong_direction		not_nominated	6
SMARCA5	1	Mixscale_CRISPRi	-0.03609175338187034	0.0	0.0	null_or_wrong_direction		not_nominated	6
RAP1GAP	1	Mixscale_CRISPRi	-0.036457415569635276	0.0	0.0	null_or_wrong_direction		not_nominated	6
AKT1	1	Mixscale_CRISPRi	-0.037978156561571726	0.0	0.0	null_or_wrong_direction		not_nominated	6
ID2	2	Mixscale_CRISPRi	-0.03984685554777956	0.017457308676455313	0.0	null_or_wrong_direction		not_nominated	6
DTX3L	1	Mixscale_CRISPRi	-0.04144922550861589	0.0	0.0	null_or_wrong_direction		not_nominated	6
H1F0	1	Mixscale_CRISPRi	-0.04157822249931438	0.0	0.0	null_or_wrong_direction		not_nominated	6
JUNB	1	Mixscale_CRISPRi	-0.0417090304841513	0.0	0.0	null_or_wrong_direction		not_nominated	6
STAT5A	1	Mixscale_CRISPRi	-0.044136686570329785	0.0	0.0	null_or_wrong_direction		not_nominated	6
CEBPG	1	Mixscale_CRISPRi	-0.0444880605722926	0.0	0.0	null_or_wrong_direction		not_nominated	6
BATF	1	Mixscale_CRISPRi	-0.044822035731020726	0.0	-0.04326428733310356	null_or_wrong_direction		not_nominated	6
PTGS2	1	Mixscale_CRISPRi	-0.045654962914563335	0.0	0.0	null_or_wrong_direction		not_nominated	6
RAPGEF1	1	Mixscale_CRISPRi	-0.04654683054204838	0.0	0.0	null_or_wrong_direction		not_nominated	6
MAFF	1	Mixscale_CRISPRi	-0.04748517893793365	0.0	-0.012747559877601318	null_or_wrong_direction		not_nominated	6
MEF2A	1	Mixscale_CRISPRi	-0.047920576326349634	0.0	0.0	null_or_wrong_direction		not_nominated	6
STAT2	2	Mixscale_CRISPRi	-0.04804223534383983	0.7054128313832698	-0.044030083418869645	broad_ifn_jak_like_collapse;null_or_wrong_direction		not_nominated	6
STAT4	1	Mixscale_CRISPRi	-0.05026500689311691	0.0	0.0	null_or_wrong_direction		not_nominated	6
HES4	1	Mixscale_CRISPRi	-0.054351041354322116	0.0	0.0	null_or_wrong_direction		not_nominated	6
VAV1	1	Mixscale_CRISPRi	-0.054780229257322954	0.0	0.0	null_or_wrong_direction		not_nominated	6
TRAFD1	2	Mixscale_CRISPRi	-0.05577518627046449	0.0	0.0	null_or_wrong_direction		not_nominated	6
RNF114	1	Mixscale_CRISPRi	-0.05616197489848373	0.0	0.0	null_or_wrong_direction		not_nominated	6
UBE2L6	1	Mixscale_CRISPRi	-0.05720288837122587	0.0	0.0	null_or_wrong_direction		not_nominated	6
KLF6	1	Mixscale_CRISPRi	-0.057769504440097104	0.0	-0.038678626759380226	null_or_wrong_direction		not_nominated	6
NFE2L3	1	Mixscale_CRISPRi	-0.059139229877328114	0.0	0.0	null_or_wrong_direction		not_nominated	6
CLK1	1	Mixscale_CRISPRi	-0.05932975225142603	0.0023129917132058784	0.0023129917132058784	null_or_wrong_direction		not_nominated	6
UBA7	1	Mixscale_CRISPRi	-0.06417187312815273	0.0	0.0	null_or_wrong_direction		not_nominated	6
SOCS1	1	Mixscale_CRISPRi	-0.06605916519293188	0.0	0.0	null_or_wrong_direction		not_nominated	6
HLX	1	Mixscale_CRISPRi	-0.06703380696583366	0.0	0.0	null_or_wrong_direction		not_nominated	6
TRIM21	1	Mixscale_CRISPRi	-0.06844471683748495	0.0	-0.058196594935796424	null_or_wrong_direction		not_nominated	6
STAT6	1	Mixscale_CRISPRi	-0.07102546913027911	0.0	0.0	null_or_wrong_direction		not_nominated	6
PPARG	1	Mixscale_CRISPRi	-0.07181423960985017	0.0	-0.05380907220996519	null_or_wrong_direction		not_nominated	6
SOX4	1	Mixscale_CRISPRi	-0.07315910075753368	0.0	-0.07237683522702316	null_or_wrong_direction		not_nominated	6
DRAP1	1	Mixscale_CRISPRi	-0.07597127562497845	0.0	0.0	null_or_wrong_direction		not_nominated	6
ID1	1	Mixscale_CRISPRi	-0.08318825753278739	0.0	-0.08133219515960803	null_or_wrong_direction		not_nominated	6
REPIN1	1	Mixscale_CRISPRi	-0.08877839203021912	0.0	-0.059961980681249485	null_or_wrong_direction		not_nominated	6
IFNG_memory	1	human_macrophage_RNAseq_descriptive	-0.09337192964806154	0.0	0.0	null_or_wrong_direction		not_nominated	6
IRF1	3	Mixscale_CRISPRi	-0.09939790081363883	0.14608063090886733	-0.05454695545490851	null_or_wrong_direction		not_nominated	6
BIRC3	1	Mixscale_CRISPRi	-0.10391635475438353	0.0	-0.09993122682021098	null_or_wrong_direction		not_nominated	6
SOX2	1	Mixscale_CRISPRi	-0.10979740736047393	0.0	0.0	null_or_wrong_direction		not_nominated	6
CUL1	1	Mixscale_CRISPRi	-0.11167199328675848	0.0	0.0	null_or_wrong_direction		not_nominated	6
KIN	1	Mixscale_CRISPRi	-0.17286645661938993	0.0	0.0	null_or_wrong_direction		not_nominated	6
Med16_KO_unstimulated	1	mouse_macrophage_RNAseq	-0.19770479934703128	0.0	-0.17453475245550684	null_or_wrong_direction		not_nominated	6
