pert_id	chembl_id	target_pref_name	target_chembl_id	target_organism	n_activity_rows	n_active_comments	best_pchembl	best_standard_nM	assay_types	activity_comments	example_assay
BRD-A72180425	CHEMBL1472126	Unchecked	CHEMBL612545		14	9	6.01	430.0	B;F	Active;Inconclusive;active;inconclusive	PUBCHEM_BIOASSAY: High Throughput Screen to Identify Compounds that Suppress the Growth of Human Colon Tumor Cells Lacking Oncogenic Beta Casein Expression - Dose Response. (Class of assay: confirmatory) [Related pubchem assays: 1004, 824, 999, 818, 827, 823 ]
BRD-A72180425	CHEMBL1472126	BJ	CHEMBL614358	Homo sapiens	4	3	5.91	1219.0	F	Active;Inconclusive;active	PUBCHEM_BIOASSAY: Luminescence Cell-Based Dose Response HTS to Identify Compounds Cytotoxic to BJ-TERT-LT-ST RAS-Independent Fibroblast. (Class of assay: confirmatory) [Related pubchem assays: 1674 (Project Summary), 1554 (Primary HTS)]
BRD-A72180425	CHEMBL1472126	Protein RecA	CHEMBL1741171	Mycobacterium tuberculosis	2	2	6.49	327.0	F	Active;active	PUBCHEM_BIOASSAY: Intein inhibitors as potential Tuberculosis drugs. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2221, AID2223, AID434968, AID435010, AID449749, AID449750, AID492950]
BRD-A72180425	CHEMBL1472126	Replicative DNA helicase DnaB	CHEMBL1741192	Mycobacterium tuberculosis	2	2	6.02	957.9	F	active	PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Secondary Screen to Identify Inhibitors of DnaB-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2223, AID489010, AID492950]
BRD-A72180425	CHEMBL1472126	Tyrosyl-DNA phosphodiesterase 1	CHEMBL1075138	Homo sapiens	2	2		4109.5	F	active	PubChem BioAssay. qHTS for Inhibitors of human tyrosyl-DNA phosphodiesterase 1 (TDP1): qHTS in cells in absence of CPT. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Huntingtin	CHEMBL5514	Homo sapiens	1	1	5.65	2238.7	F	Active	PUBCHEM_BIOASSAY: qHTS Multiplex Assay to Identify Dual Action Probes in a Cell Model of Huntington: Aggregate Formation (GFP). (Class of assay: confirmatory) [Related pubchem assays: 1482, 1471 ]
BRD-A72180425	CHEMBL1472126	Paired box protein Pax-8	CHEMBL2362980	Homo sapiens	1	1	5.61	2440.0	F	active	PubChem BioAssay. HTS for PAX8 inhibitors using PAX8 luciferase reporter gene assay in RMG-I cells Measured in Cell-Based System Using Plate Reader - 7054-01_Inhibitor_Dose_CherryPick_Activity. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Thioredoxin glutathione reductase	CHEMBL6110	Schistosoma mansoni	1	1	5.0	10000.0	F	Active	PUBCHEM_BIOASSAY: qHTS Assay for the Inhibitors of Schistosoma Mansoni Peroxiredoxins. (Class of assay: confirmatory) [Related pubchem assays: 1011 (Confirmation Concentration-Response Assay for Inhibitors of the Schistosoma mansoni Redox Cascade ), 448 (Schistosoma Mansoni Peroxiredoxins (Prx2) and thioredoxin glutathione reductase (TGR) coupled assay)]
BRD-A72180425	CHEMBL1472126	Nuclear receptor ROR-gamma	CHEMBL1293231	Mus musculus	2	1	4.95	11220.2	F	Active;Inconclusive	PUBCHEM_BIOASSAY: VP16 counterscreen qHTS for inhibitors of ROR gamma transcriptional activity. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Plasmodium falciparum	CHEMBL364	Plasmodium falciparum	2	1		4147.5	F	active;inactive	PUBCHEM_BIOASSAY: Primary qHTS for delayed death inhibitors of the malarial parasite plastid, 96 hour incubation. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488745, AID488752, AID488774, AID504848, AID504850]
BRD-A72180425	CHEMBL1472126	Geminin	CHEMBL1293278	Homo sapiens	2	1		1299.5	F	active;inconclusive	PubChem BioAssay. A quantitative high throughput screen for small molecules that induce DNA re-replication in MCF 10a normal breast cells. (Class of assay: confirmatory) 
BRD-A72180425	CHEMBL1472126	Thioredoxin reductase 1, cytoplasmic	CHEMBL6035	Rattus norvegicus	1	1		11220.2	F	active	PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors of Mammalian Selenoprotein Thioredoxin Reductase 1 (TrxR1): qHTS. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID488771]
