feature	auc_oriented	exact_perm_p_auc_ge_observed	mean_responder	mean_nonresponder
delta_IFN_APC	0.95	0.031746031746031744	-0.7851515838383147	1.026484780826004
locked_signed_score	0.95	0.031746031746031744	0.7851515838383147	-1.026484780826004
delta_n_cells	0.8	0.19047619047619047	-1299.0	149.75
delta_RECEPTOR	0.75	0.2857142857142857	0.5618404382015152	-0.8516614353015207
delta_fraction	0.75	0.2857142857142857	-0.22372279223167793	-0.08501036883125278
delta_HLAII	0.7	0.4126984126984127	-0.6774380537464838	0.7457153850856274
baseline_fraction	0.6499999999999999	0.5555555555555556	0.4828079002738354	0.5129768616666163
baseline_n_cells	0.6	0.7301587301587301	2141.0	1747.75
