check	status	detail	score_values_read
board_exists	PASS	analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun.tsv	false
markdown_exists	PASS	analysis/v46_first30_returned_package_status_board_dryrun/FIRST30_STATUS_BOARD_DRYRUN.md	false
roundtrip_markdown_matches_live	PASS	exact_match	false
synthetic_drift_detected	PASS	analysis/v46_returned_package_regression_suite/status_board_markdown_roundtrip_renderer/synthetic_manual_drift.md	false
scenario_set_exact	PASS	['partial_label_scored_aggregate', 'scored_canonical_aggregate', 'scored_noncanonical_aggregate', 'scored_unknown_alias_aggregate', 'terms_blocked_return', 'unscoreable_aggregate']	false
all_score_values_read_false	PASS	board score_values_read column	false
scenario_rendered:scored_canonical_aggregate	PASS	ROUTE_READY_FOR_GATED_REVIEW	false
scenario_rendered:scored_noncanonical_aggregate	PASS	FORMAT_NORMALIZATION_REQUIRED	false
scenario_rendered:scored_unknown_alias_aggregate	PASS	FORMAT_ALIAS_TRIAGE_REQUIRED	false
scenario_rendered:unscoreable_aggregate	PASS	UNSCOREABLE_AGGREGATE_PREFLIGHT	false
scenario_rendered:partial_label_scored_aggregate	PASS	PARTIAL_LABEL_PAIR_COUNT_REQUIRED	false
scenario_rendered:terms_blocked_return	PASS	BLOCKED_TERMS_OR_RECEIPT	false
