checked_utc	query	api_url	page_size	raw_hits_recorded	deduplicated_hits_recorded	top_deduplicated_accessions	manual_review_accessions	manual_review_safe_outcome_counts	verified_exact_candidates	open_gwas_used	source_hits_tsv	source_dedup_tsv
2026-06-28T18:41:46+00:00	Gafson dimethyl fumarate PBMC RNA-seq NEDA multiple sclerosis	https://www.ebi.ac.uk/biostudies/api/v1/search?query=Gafson+dimethyl+fumarate+PBMC+RNA-seq+NEDA+multiple+sclerosis&pageSize=10	10	10	1	S-EPMC8400811		{}	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	Sanchez-Sanz GSE235357 multiple sclerosis response transcriptome	https://www.ebi.ac.uk/biostudies/api/v1/search?query=Sanchez-Sanz+GSE235357+multiple+sclerosis+response+transcriptome&pageSize=10	10	10	7	E-GEOD-77598;E-GEOD-25124;S-EPMC3256380;S-EPMC11750576;S-EPMC6156738		{}	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	dimethyl fumarate-related immune transcriptional signature clinical response multiple sclerosis	https://www.ebi.ac.uk/biostudies/api/v1/search?query=dimethyl+fumarate-related+immune+transcriptional+signature+clinical+response+multiple+sclerosis&pageSize=10	10	10	7	S-EPMC10360655;S-EPMC6534646;S-EPMC4654830;S-EPMC6915776;S-EPMC12343307	S-EPMC10360655;S-EPMC4654830	"{""context_only"": 1, ""partial_hit_metadata_only"": 1}"	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	multiple sclerosis dimethyl fumarate RNA sequencing NEDA response	https://www.ebi.ac.uk/biostudies/api/v1/search?query=multiple+sclerosis+dimethyl+fumarate+RNA+sequencing+NEDA+response&pageSize=10	10	10	3	S-EPMC5413827;S-EPMC6698982;S-EPMC9277810	S-EPMC5413827	"{""context_only"": 1}"	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	multiple sclerosis dimethyl fumarate response transcriptome PBMC	https://www.ebi.ac.uk/biostudies/api/v1/search?query=multiple+sclerosis+dimethyl+fumarate+response+transcriptome+PBMC&pageSize=10	10	10	10	S-EPMC8108088;S-EPMC7227148;S-EPMC7914245;S-EPMC9351505;S-EPMC4094574	S-EPMC9351505	"{""context_only"": 1}"	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	multiple sclerosis fingolimod transcriptome response NEDA	https://www.ebi.ac.uk/biostudies/api/v1/search?query=multiple+sclerosis+fingolimod+transcriptome+response+NEDA&pageSize=10	10	10	9	S-EPMC5290459;S-EPMC6068231;S-EPMC5843701;S-EPMC6489963;S-EPMC5971396	S-EPMC6068231;S-EPMC10855583	"{""partial_hit_metadata_only"": 2}"	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	multiple sclerosis interferon beta transcriptional response blood	https://www.ebi.ac.uk/biostudies/api/v1/search?query=multiple+sclerosis+interferon+beta+transcriptional+response+blood&pageSize=10	10	10	9	S-EPMC4281069;S-EPMC7337239;S-EPMC4099420;S-EPMC3639207;S-EPMC10266220		{}	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
2026-06-28T18:41:46+00:00	multiple sclerosis treatment response RNA-seq PBMC NEDA	https://www.ebi.ac.uk/biostudies/api/v1/search?query=multiple+sclerosis+treatment+response+RNA-seq+PBMC+NEDA&pageSize=10	10	10	10	S-EPMC5858626;S-EPMC8978461;S-EPMC6099351;S-EPMC7973271;E-GEOD-23832		{}	0	false	analysis/v50_biostudies_treatment_response_search/biostudies_hits.tsv	analysis/v50_biostudies_treatment_response_search/biostudies_hits_dedup.tsv
