gene	source	query	hit_count	error	url
CTSH	EuropePMC	"(CTSH OR ""cathepsin H"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	911.0		https://europepmc.org/search?query=%28CTSH+OR+%22cathepsin+H%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
CTSH	EuropePMC	"(CTSH OR ""cathepsin H"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	968.0		https://europepmc.org/search?query=%28CTSH+OR+%22cathepsin+H%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
CTSH	EuropePMC	"(CTSH OR ""cathepsin H"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	2500.0		https://europepmc.org/search?query=%28CTSH+OR+%22cathepsin+H%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
CTSH	ClinicalTrials.gov	"CTSH OR ""cathepsin H"""	0.0		https://clinicaltrials.gov/search?term=CTSH+OR+%22cathepsin+H%22
CTSH	Google Patents URL	"CTSH ""cathepsin H"" autoimmune antigen presentation"			https://patents.google.com/?q=CTSH+%22cathepsin+H%22+autoimmune+antigen+presentation
CTSH	Espacenet URL	"CTSH ""cathepsin H"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=CTSH+%22cathepsin+H%22+autoimmune+antigen+presentation
CTSS	EuropePMC	"(CTSS OR ""cathepsin S"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	2951.0		https://europepmc.org/search?query=%28CTSS+OR+%22cathepsin+S%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
CTSS	EuropePMC	"(CTSS OR ""cathepsin S"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	3136.0		https://europepmc.org/search?query=%28CTSS+OR+%22cathepsin+S%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
CTSS	EuropePMC	"(CTSS OR ""cathepsin S"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	7872.0		https://europepmc.org/search?query=%28CTSS+OR+%22cathepsin+S%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
CTSS	ClinicalTrials.gov	"CTSS OR ""cathepsin S"""	10.0		https://clinicaltrials.gov/search?term=CTSS+OR+%22cathepsin+S%22
CTSS	Google Patents URL	"CTSS ""cathepsin S"" autoimmune antigen presentation"			https://patents.google.com/?q=CTSS+%22cathepsin+S%22+autoimmune+antigen+presentation
CTSS	Espacenet URL	"CTSS ""cathepsin S"" autoimmune antigen presentation"			https://worldwide.espacenet.com/patent/search?q=CTSS+%22cathepsin+S%22+autoimmune+antigen+presentation
CTSB	EuropePMC	"(CTSB OR ""cathepsin B"") AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR lupus OR Crohn OR ""ulcerative colitis"" OR psoriasis OR ""type 1 diabetes"" OR Sjogren OR ""ankylosing spondylitis"" OR celiac OR ""autoimmune thyroid"" OR ""primary biliary cholangitis"" OR autoimmune)"	5602.0		https://europepmc.org/search?query=%28CTSB+OR+%22cathepsin+B%22%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+%22type+1+diabetes%22+OR+Sjogren+OR+%22ankylosing+spondylitis%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+%22primary+biliary+cholangitis%22+OR+autoimmune%29
CTSB	EuropePMC	"(CTSB OR ""cathepsin B"") AND (""MHC class II"" OR HLA OR CD74 OR CIITA OR ""antigen presentation"")"	4588.0		https://europepmc.org/search?query=%28CTSB+OR+%22cathepsin+B%22%29+AND+%28%22MHC+class+II%22+OR+HLA+OR+CD74+OR+CIITA+OR+%22antigen+presentation%22%29
CTSB	EuropePMC	"(CTSB OR ""cathepsin B"") AND (inhibitor OR antagonist OR antibody OR trial OR therapeutic)"	23630.0		https://europepmc.org/search?query=%28CTSB+OR+%22cathepsin+B%22%29+AND+%28inhibitor+OR+antagonist+OR+antibody+OR+trial+OR+therapeutic%29
