comparator	full_rg	full_se	full_z	full_p	full_h2_intercept_trait2	full_gcov_intercept	full_valid_snps	has_no_mhc_run	no_mhc_rg	no_mhc_valid_snps	rg_delta_no_mhc_minus_full	mhc_inversion_result	sample_overlap_inversion_result
UC	0.3342	0.0444	7.5352	4.8771e-14	1.0467	0.0844	1108932	True	0.3342	1108932.0	0.0	not_supported_but_sensitivity_not_independent_reference_panel_already_mhc_free	not_strongly_supported
SLE	0.2439	0.0608	4.01	6.0712e-05	1.1998	0.01	985993	False				not_run	caveated_intercept_high_enough_to_flag
RA	0.1692	0.0453	3.7325	0.0002	1.0553	0.0423	932380	False				not_run	not_strongly_supported
Crohn	0.1675	0.0527	3.1775	0.0015	1.0212	0.0789	1108900	True	0.1675	1108900.0	0.0	not_supported_but_sensitivity_not_independent_reference_panel_already_mhc_free	not_strongly_supported
