visual	scenario	check	status	detail
__suite__	all	browser_available	PASS	Google Chrome 150.0.7871.182
EVIDENCE_LANES_V55.svg	all	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/EVIDENCE_LANES_V55.svg
EVIDENCE_LANES_V55.svg	all	full_text_equivalent	PASS	nearby visible text equivalent
EVIDENCE_LANES_V55.svg	all	canvas_and_font_parse	PASS	1200x760; native min font=11.0px
EVIDENCE_LANES_V55.svg	mobile	label_delivery	PASS	effective min font=3.01px; mode=TEXT_EQUIVALENT_REQUIRED
EVIDENCE_LANES_V55.svg	mobile	browser_fit	PASS	ready=True; frame=328.0; image=328.0; scroll=500.0; requested_viewport=360; actual_viewport=500.0; stderr_present=True
EVIDENCE_LANES_V55.svg	tablet	label_delivery	PASS	effective min font=6.45px; mode=TEXT_EQUIVALENT_REQUIRED
EVIDENCE_LANES_V55.svg	tablet	browser_fit	PASS	ready=True; frame=704.0; image=704.0; scroll=768.0; requested_viewport=768; actual_viewport=768.0; stderr_present=True
EVIDENCE_LANES_V55.svg	print_portrait_model	label_delivery	PASS	effective min font=6.16px; mode=TEXT_EQUIVALENT_REQUIRED
EVIDENCE_LANES_V55.svg	print_portrait_model	browser_fit	PASS	ready=True; frame=672.0; image=672.0; scroll=704.0; requested_viewport=704; actual_viewport=704.0; stderr_present=True
MONITORING_LEAD_V55.svg	all	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/MONITORING_LEAD_V55.svg
MONITORING_LEAD_V55.svg	all	full_text_equivalent	PASS	nearby visible text equivalent
MONITORING_LEAD_V55.svg	all	canvas_and_font_parse	PASS	1200x780; native min font=11.0px
MONITORING_LEAD_V55.svg	mobile	label_delivery	PASS	effective min font=3.01px; mode=TEXT_EQUIVALENT_REQUIRED
MONITORING_LEAD_V55.svg	mobile	browser_fit	PASS	ready=True; frame=328.0; image=328.0; scroll=500.0; requested_viewport=360; actual_viewport=500.0; stderr_present=True
MONITORING_LEAD_V55.svg	tablet	label_delivery	PASS	effective min font=6.45px; mode=TEXT_EQUIVALENT_REQUIRED
MONITORING_LEAD_V55.svg	tablet	browser_fit	PASS	ready=True; frame=704.0; image=704.0; scroll=768.0; requested_viewport=768; actual_viewport=768.0; stderr_present=False
MONITORING_LEAD_V55.svg	print_portrait_model	label_delivery	PASS	effective min font=6.16px; mode=TEXT_EQUIVALENT_REQUIRED
MONITORING_LEAD_V55.svg	print_portrait_model	browser_fit	PASS	ready=True; frame=672.0; image=672.0; scroll=704.0; requested_viewport=704; actual_viewport=704.0; stderr_present=True
OPEN_PROBLEM_BOARD_V55.svg	all	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/OPEN_PROBLEM_BOARD_V55.svg
OPEN_PROBLEM_BOARD_V55.svg	all	full_text_equivalent	PASS	nearby visible text equivalent
OPEN_PROBLEM_BOARD_V55.svg	all	canvas_and_font_parse	PASS	1200x820; native min font=10.5px
OPEN_PROBLEM_BOARD_V55.svg	mobile	label_delivery	PASS	effective min font=2.87px; mode=TEXT_EQUIVALENT_REQUIRED
OPEN_PROBLEM_BOARD_V55.svg	mobile	browser_fit	PASS	ready=True; frame=328.0; image=328.0; scroll=500.0; requested_viewport=360; actual_viewport=500.0; stderr_present=True
OPEN_PROBLEM_BOARD_V55.svg	tablet	label_delivery	PASS	effective min font=6.16px; mode=TEXT_EQUIVALENT_REQUIRED
OPEN_PROBLEM_BOARD_V55.svg	tablet	browser_fit	PASS	ready=True; frame=704.0; image=704.0; scroll=768.0; requested_viewport=768; actual_viewport=768.0; stderr_present=True
OPEN_PROBLEM_BOARD_V55.svg	print_portrait_model	label_delivery	PASS	effective min font=5.88px; mode=TEXT_EQUIVALENT_REQUIRED
OPEN_PROBLEM_BOARD_V55.svg	print_portrait_model	browser_fit	PASS	ready=True; frame=672.0; image=672.0; scroll=704.0; requested_viewport=704; actual_viewport=704.0; stderr_present=True
RELAPSE_VS_PROGRESSION_V55.svg	all	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/RELAPSE_VS_PROGRESSION_V55.svg
RELAPSE_VS_PROGRESSION_V55.svg	all	full_text_equivalent	PASS	nearby visible text equivalent
RELAPSE_VS_PROGRESSION_V55.svg	all	canvas_and_font_parse	PASS	1200x760; native min font=11.0px
RELAPSE_VS_PROGRESSION_V55.svg	mobile	label_delivery	PASS	effective min font=3.01px; mode=TEXT_EQUIVALENT_REQUIRED
RELAPSE_VS_PROGRESSION_V55.svg	mobile	browser_fit	PASS	ready=True; frame=328.0; image=328.0; scroll=500.0; requested_viewport=360; actual_viewport=500.0; stderr_present=True
RELAPSE_VS_PROGRESSION_V55.svg	tablet	label_delivery	PASS	effective min font=6.45px; mode=TEXT_EQUIVALENT_REQUIRED
RELAPSE_VS_PROGRESSION_V55.svg	tablet	browser_fit	PASS	ready=True; frame=704.0; image=704.0; scroll=768.0; requested_viewport=768; actual_viewport=768.0; stderr_present=True
RELAPSE_VS_PROGRESSION_V55.svg	print_portrait_model	label_delivery	PASS	effective min font=6.16px; mode=TEXT_EQUIVALENT_REQUIRED
RELAPSE_VS_PROGRESSION_V55.svg	print_portrait_model	browser_fit	PASS	ready=True; frame=672.0; image=672.0; scroll=704.0; requested_viewport=704; actual_viewport=704.0; stderr_present=True
RESEARCH_EVOLUTION_V55.svg	all	source_exists	PASS	/Users/soeren.leibach/Projects/ms-auto-research/docs/onboarding/visuals/RESEARCH_EVOLUTION_V55.svg
RESEARCH_EVOLUTION_V55.svg	all	full_text_equivalent	PASS	nearby visible text equivalent
RESEARCH_EVOLUTION_V55.svg	all	canvas_and_font_parse	PASS	1200x1080; native min font=11.0px
RESEARCH_EVOLUTION_V55.svg	mobile	label_delivery	PASS	effective min font=3.01px; mode=TEXT_EQUIVALENT_REQUIRED
RESEARCH_EVOLUTION_V55.svg	mobile	browser_fit	PASS	ready=True; frame=328.0; image=328.0; scroll=500.0; requested_viewport=360; actual_viewport=500.0; stderr_present=True
RESEARCH_EVOLUTION_V55.svg	tablet	label_delivery	PASS	effective min font=6.45px; mode=TEXT_EQUIVALENT_REQUIRED
RESEARCH_EVOLUTION_V55.svg	tablet	browser_fit	PASS	ready=True; frame=704.0; image=704.0; scroll=768.0; requested_viewport=768; actual_viewport=768.0; stderr_present=False
