dataset	kind	contrast	module	present	n_genes_present	genes_present	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	hedges_g	welch_p	fdr_within_contrast_modules
GSE162464	module	NTC_IFNg_vs_NTC_US	mocci_ndufa4_only	True	1	Ndufa4	3	3	12.28642878820409	12.345687727785249	-0.05925893958115935	-0.15165003919026676	0.8366982019161987	0.8366982019161987
GSE162464	module	NTC_IFNg_vs_NTC_US	nfkb_lps	True	6	Tnf;Nfkbia;Il1b;Cxcl2;Ccl2;Ccl20	3	3	8.540772273077609	7.030665451833589	1.5101068212440198	3.874094700751796	0.024092348021334864	0.036138522032002296
GSE162464	module	NTC_IFNg_vs_NTC_US	ifn_core	True	7	Stat1;Irf1;Isg15;Ifit1;Cxcl10;Gbp2;Gbp5	3	3	12.444338861267477	6.143818573466857	6.30052028780062	16.020624166047003	0.00019712280841787587	0.001182736850507255
GSE162464	module	NTC_IFNg_vs_NTC_US	apc_mhcii	True	10	Ciita;Cd74;Ctss;Ifi30;Rfx5;H2-Aa;H2-Ab1;H2-Eb1;H2-DMa;H2-DMb1	3	3	12.534699392008326	7.481254708031538	5.053444683976788	15.019491083278826	0.001688772748386279	0.005066318245158837
GSE162464	module	NTC_IFNg_vs_NTC_US	pyroptosis_noncanonical	True	8	Casp1;Casp4;Gsdmd;Nlrp3;Il1b;Il18;Gbp2;Gbp5	3	3	10.929130318549829	7.791091728225413	3.138038590324416	8.690639843512885	0.00421763292785084	0.00843526585570168
GSE162464	module	NTC_IFNg_vs_NTC_US	stress_branch_targets	True	2	Litaf;Casp4	3	3	11.536891105874915	10.662593570464498	0.8742975354104168	2.556314952114336	0.04738580026227304	0.05686296031472765
GSE162464	module	Gsk3b_IFNg_vs_NTC_IFNg	mocci_ndufa4_only	True	1	Ndufa4	3	3	11.816586903426993	12.28642878820409	-0.46984188477709665	-1.1779609075350128	0.19553460272358425	0.2933019040853764
GSE162464	module	Gsk3b_IFNg_vs_NTC_IFNg	nfkb_lps	True	6	Tnf;Nfkbia;Il1b;Cxcl2;Ccl2;Ccl20	3	3	10.016597281472643	8.540772273077609	1.4758250083950344	3.5478492177932894	0.016633527431402947	0.04990058229420884
GSE162464	module	Gsk3b_IFNg_vs_NTC_IFNg	ifn_core	True	7	Stat1;Irf1;Isg15;Ifit1;Cxcl10;Gbp2;Gbp5	3	3	11.62762856569145	12.444338861267477	-0.8167102955760264	-2.165277292247294	0.05815414085135683	0.11630828170271366
GSE162464	module	Gsk3b_IFNg_vs_NTC_IFNg	apc_mhcii	True	10	Ciita;Cd74;Ctss;Ifi30;Rfx5;H2-Aa;H2-Ab1;H2-Eb1;H2-DMa;H2-DMb1	3	3	10.96402690193259	12.534699392008326	-1.5706724900757365	-4.549345846591294	0.014370195298784607	0.04990058229420884
GSE162464	module	Gsk3b_IFNg_vs_NTC_IFNg	pyroptosis_noncanonical	True	8	Casp1;Casp4;Gsdmd;Nlrp3;Il1b;Il18;Gbp2;Gbp5	3	3	10.899256888776213	10.929130318549829	-0.029873429773616067	-0.08254996003488416	0.9101988400483639	0.9101988400483639
GSE162464	module	Gsk3b_IFNg_vs_NTC_IFNg	stress_branch_targets	True	2	Litaf;Casp4	3	3	11.212682236862756	11.536891105874915	-0.32420886901215873	-0.9156151272800787	0.26873787141685535	0.3224854457002264
GSE162464	module	Med16_IFNg_vs_NTC_IFNg	mocci_ndufa4_only	True	1	Ndufa4	3	3	11.991224369616921	12.28642878820409	-0.2952044185871685	-0.7562472284750994	0.35998194752686485	0.395668217844008
GSE162464	module	Med16_IFNg_vs_NTC_IFNg	nfkb_lps	True	6	Tnf;Nfkbia;Il1b;Cxcl2;Ccl2;Ccl20	3	3	9.03177338967258	8.540772273077609	0.4910011165949708	1.1005307872033712	0.183976230123181	0.27596434518477153
GSE162464	module	Med16_IFNg_vs_NTC_IFNg	ifn_core	True	7	Stat1;Irf1;Isg15;Ifit1;Cxcl10;Gbp2;Gbp5	3	3	11.693783232966398	12.444338861267477	-0.750555628301079	-2.0979993670190527	0.08080125037209329	0.24240375111627988
GSE162464	module	Med16_IFNg_vs_NTC_IFNg	apc_mhcii	True	10	Ciita;Cd74;Ctss;Ifi30;Rfx5;H2-Aa;H2-Ab1;H2-Eb1;H2-DMa;H2-DMb1	3	3	9.326321163229606	12.534699392008326	-3.20837822877872	-9.360637988459548	0.0032696753608238	0.0196180521649428
GSE162464	module	Med16_IFNg_vs_NTC_IFNg	pyroptosis_noncanonical	True	8	Casp1;Casp4;Gsdmd;Nlrp3;Il1b;Il18;Gbp2;Gbp5	3	3	11.178073031746452	10.929130318549829	0.2489427131966231	0.6848211863517114	0.395668217844008	0.395668217844008
GSE162464	module	Med16_IFNg_vs_NTC_IFNg	stress_branch_targets	True	2	Litaf;Casp4	3	3	12.062431284332837	11.536891105874915	0.5255401784579217	1.5900234681448913	0.13449858337396142	0.26899716674792284
GSE162464	module	Gsk3b_US_vs_NTC_US	mocci_ndufa4_only	True	1	Ndufa4	3	3	12.215155476340898	12.345687727785249	-0.13053225144435032	-0.9524278069701838	0.231106586166062	0.27732790339927443
GSE162464	module	Gsk3b_US_vs_NTC_US	nfkb_lps	True	6	Tnf;Nfkbia;Il1b;Cxcl2;Ccl2;Ccl20	3	3	8.473982258067231	7.030665451833589	1.443316806233642	13.500567313437168	6.360187942864444e-05	0.00038161127657186666
GSE162464	module	Gsk3b_US_vs_NTC_US	ifn_core	True	7	Stat1;Irf1;Isg15;Ifit1;Cxcl10;Gbp2;Gbp5	3	3	5.677898574022774	6.143818573466857	-0.4659199994440826	-2.0643974655180233	0.03510221073629225	0.0702044214725845
