pathway	perturbation	gene	n_cell_types	mean_log2fc	median_log2fc	negative_fraction	sig_negative_fdr05	sig_positive_fdr05
IFNB	IRF1	CD44	5	0.1929769380220816	0.180575572592238	0.0	0	1
IFNB	IRF1	CTSS	3	-0.2381225759232718	-0.265233857525835	1.0	2	0
IFNB	IRF1	GBP1	4	-0.3939139068612962	-0.4114303908794135	1.0	4	0
IFNB	IRF1	IRF1	5	-0.5687997135428088	-0.426261648292472	1.0	4	0
IFNB	IRF1	NLRC5	5	-0.0675910570091076	-0.128767100403435	0.8	3	0
IFNB	IRF1	STAT1	6	0.1388747869869926	0.1430693094843922	0.1666666666666666	1	0
IFNB	IRF1	TAP1	6	-0.0939225850676065	-0.1219849213594211	0.8333333333333334	2	0
IFNB	IRF1	TAP2	6	-0.1308794029792548	-0.1452644484113038	0.8333333333333334	4	0
IFNB	JAK1	CD44	5	0.13964600541501	0.179968267320498	0.2	0	2
IFNB	JAK1	CTSS	3	-0.1109159385169285	-0.115124692251281	1.0	2	0
IFNB	JAK1	GBP1	4	-0.4253823721165894	-0.124880238190352	0.75	3	1
IFNB	JAK1	IRF1	5	-0.2387945266258966	-0.120646814848428	0.6	3	2
IFNB	JAK1	NLRC5	5	-0.5844686381512666	-0.401631275999528	0.8	4	1
IFNB	JAK1	STAT1	6	-0.4769719358383311	-0.370212720048574	0.8333333333333334	5	1
IFNB	JAK1	TAP1	6	-0.6367443815453212	-0.4198880009204145	0.8333333333333334	5	1
IFNB	JAK1	TAP2	6	-0.346500628969957	-0.1762549340361758	0.6666666666666666	4	2
IFNB	NFKB1	CD44	5	0.4683907521339113	0.119354190494883	0.0	0	1
IFNB	NFKB1	CTSS	4	0.1697852603086018	0.1595617673490433	0.0	0	0
IFNB	NFKB1	GBP1	4	0.1868660737396728	0.19454544417161	0.0	0	0
IFNB	NFKB1	IRF1	5	0.0324518762066472	0.0596627825711711	0.2	0	0
IFNB	NFKB1	NLRC5	5	0.1101400327708211	0.085166871601059	0.4	0	1
IFNB	NFKB1	STAT1	6	0.147716754122241	0.1442411492688794	0.0	0	0
IFNB	NFKB1	TAP1	6	0.0758568704026486	0.0939637440005295	0.3333333333333333	0	1
IFNB	NFKB1	TAP2	6	0.1820459228701351	0.118616044088832	0.0	0	0
IFNB	STAT1	CD44	6	0.0641256887800326	0.164656266092124	0.1666666666666666	0	3
IFNB	STAT1	CTSS	3	-0.2246354176960294	-0.196180763546418	1.0	2	0
IFNB	STAT1	GBP1	4	-0.1531346620363829	-0.2253789878572243	0.75	2	1
IFNB	STAT1	IRF1	5	-0.0976407706995032	-0.170739850006068	0.6	2	0
IFNB	STAT1	NLRC5	5	-0.4275607191046566	-0.189085572050398	0.8	3	1
IFNB	STAT1	STAT1	6	-1.6073609392353034	-1.7690134480834852	1.0	6	0
IFNB	STAT1	TAP1	6	-0.5626753008447367	-0.5229263685226285	0.8333333333333334	4	1
IFNB	STAT1	TAP2	6	-0.3034843118583324	-0.2882009458688165	0.8333333333333334	4	0
