gene_symbol	n_sgrna	median_efficient_lfc	median_noneater_lfc	median_efficient_minus_noneater_lfc	s1_median_efficient_lfc	s3_median_efficient_lfc	s1_median_noneater_lfc	s3_median_noneater_lfc	efficient_consistent_positive	noneater_consistent_positive	efficient_p_wilcoxon	noneater_p_wilcoxon	contrast_p_wilcoxon	modules	tracked_candidate	efficient_fdr	noneater_fdr	contrast_fdr	screen_call
CASP1	4	-0.0149664018924443	-0.2620447450433419	0.2470783431508976	-0.0841532751505529	-0.0755391681284092	-0.2734345594816865	-0.4305910335198746	False	False	0.875	0.125	0.375		False	1.0	0.8757238508867174	0.9965506589785832	UNRESOLVED
LITAF	4	0.0961303853141516	-0.1819331043145772	0.0487929518498577	0.3064264559510024	0.6510652021730337	0.0701991411398197	-0.0971901031789179	True	False	1.0	0.875	0.625		False	1.0	1.0	0.9971256078463696	UNRESOLVED
GSDMD	4	-0.4188268143300443	-0.5013463963227623	0.0142145410922888	0.5062591823547224	-1.343912811014811	-0.319073063793756	-0.6825581020797022	False	False	0.625	0.375	1.0		False	0.9600924529799222	0.9645063778899814	1.0	UNRESOLVED
NDUFA4	4	0.0729080866727853	-0.1825024089814791	0.0121063947983985	0.5336321779643891	-0.0506028915292473	0.1831434272756358	-0.5481482452385942	False	False	0.875	0.875	0.625		False	1.0	1.0	0.9971256078463696	UNRESOLVED
IL1B	4	-0.3726056275860889	0.2291210792103075	-0.6017267067963965	0.3306474067189751	-0.7517507024993053	0.4147894447800155	0.1480825117497524	False	False	0.625	0.125	0.375		False	0.9600924529799222	0.8757238508867174	0.9965506589785832	UNRESOLVED
