review_class	count
application_or_registry_access	2
controlled_access_biomedical_archive	1
manual_review_domain	2
mixed_commercial_or_registration_access	1
public_biomedical_database	3
public_clinical_data_standard	1
public_clinical_guideline	2
public_clinical_registry	1
public_database_catalog	1
public_epidemiology_reference	1
public_or_controlled_biomedical_database	4
public_patient_professional_reference	6
public_regulatory_medicine_reference	1
public_repository	2
public_target_platform_docs	1
public_us_government_drug_label	5
publisher_literature	2
registration_or_catalog_access	1
repository_platform	2
