domain	review_class	record_id	record_type	source_url	access_tier	path
ebi.ac.uk	public_or_controlled_biomedical_database	resource.arrayexpress_biostudies.functional_genomics.2026-06-13	external_resource_catalog	https://www.ebi.ac.uk/arrayexpress/	open	knowledge_external/catalogs/resources/arrayexpress_biostudies_functional_genomics.json
ebi.ac.uk	public_or_controlled_biomedical_database	resource.biostudies.database.2026-06-13	external_resource_catalog	https://www.ebi.ac.uk/about/teams/biostudies/	open	knowledge_external/catalogs/resources/biostudies_database.json
clinicaltrials.gov	public_clinical_registry	resource.clinicaltrials_gov.2026-06-13	external_resource_catalog	https://clinicaltrials.gov/	open	knowledge_external/catalogs/resources/clinicaltrials_gov.json
dailymed.nlm.nih.gov	public_us_government_drug_label	resource.dailymed.drug_labels.2026-06-13	external_resource_catalog	https://dailymed.nlm.nih.gov/	open	knowledge_external/catalogs/resources/dailymed_drug_labels.json
disgenet.com	mixed_commercial_or_registration_access	resource.disgenet.platform.2026-06-13	external_resource_catalog	https://disgenet.com/	mixed	knowledge_external/catalogs/resources/disgenet_platform.json
datadryad.org	public_repository	resource.dryad.repository.2026-06-13	external_resource_catalog	https://datadryad.org/	open	knowledge_external/catalogs/resources/dryad_repository.json
ega-archive.org	controlled_access_biomedical_archive	resource.ega.controlled_genomics.2026-06-13	external_resource_catalog	https://ega-archive.org/	controlled	knowledge_external/catalogs/resources/ega_controlled_genomics.json
ema.europa.eu	public_regulatory_medicine_reference	resource.ema.medicines_database.2026-06-13	external_resource_catalog	https://www.ema.europa.eu/en/medicines	open	knowledge_external/catalogs/resources/ema_medicines_database.json
ebi.ac.uk	public_or_controlled_biomedical_database	resource.ena.sequence_archive.2026-06-13	external_resource_catalog	https://www.ebi.ac.uk/ena/browser/	open	knowledge_external/catalogs/resources/ena_sequence_archive.json
europepmc.org	manual_review_domain	resource.europe_pmc.literature.2026-06-13	external_resource_catalog	https://europepmc.org/	open	knowledge_external/catalogs/resources/europe_pmc_literature.json
fda.gov	public_us_government_drug_label	resource.fda.fdalabel_drug_labeling.2026-06-13	external_resource_catalog	https://www.fda.gov/science-research/bioinformatics-tools/fdalabel-full-text-search-drug-product-labeling	open	knowledge_external/catalogs/resources/fda_fdalabel_drug_labeling.json
info.figshare.com	repository_platform	resource.figshare.repository.2026-06-13	external_resource_catalog	https://info.figshare.com/about/	mixed	knowledge_external/catalogs/resources/figshare_repository.json
ncbi.nlm.nih.gov	public_biomedical_database	resource.geo.functional_genomics.2026-06-13	external_resource_catalog	https://www.ncbi.nlm.nih.gov/geo/	open	knowledge_external/catalogs/resources/geo_functional_genomics.json
ebi.ac.uk	public_or_controlled_biomedical_database	resource.gwas_catalog.ms.2026-06-13	external_resource_catalog	https://www.ebi.ac.uk/gwas/	open	knowledge_external/catalogs/resources/gwas_catalog_multiple_sclerosis.json
imsgc.net	manual_review_domain	resource.imsgc.publications.2026-06-13	external_resource_catalog	https://imsgc.net/publications/	mixed	knowledge_external/catalogs/resources/imsgc_publications.json
mssociety.org.uk	public_patient_professional_reference	resource.ms_society_uk.types_of_ms.2026-06-13	external_resource_catalog	https://www.mssociety.org.uk/about-ms/types-of-ms	open	knowledge_external/catalogs/resources/ms_society_uk_types_of_ms.json
msbase.org	application_or_registry_access	resource.msbase.registry.2026-06-13	external_resource_catalog	https://www.msbase.org/	application	knowledge_external/catalogs/resources/msbase_registry.json
msda.emif-catalogue.eu	registration_or_catalog_access	resource.msda.catalogue.2026-06-13	external_resource_catalog	https://msda.emif-catalogue.eu/	registration	knowledge_external/catalogs/resources/msda_catalogue.json
ngdc.cncb.ac.cn	public_database_catalog	resource.msgd.database_commons.2026-06-13	external_resource_catalog	https://ngdc.cncb.ac.cn/databasecommons/database/id/9285	open	knowledge_external/catalogs/resources/msgd_database_commons.json
atlasofms.org	public_epidemiology_reference	resource.msif.atlas_of_ms.2026-06-13	external_resource_catalog	https://atlasofms.org/	open	knowledge_external/catalogs/resources/msif_atlas_of_ms.json
narcoms.org	application_or_registry_access	resource.narcoms.registry.2026-06-13	external_resource_catalog	https://www.narcoms.org/	application	knowledge_external/catalogs/resources/narcoms_registry.json
nationalmssociety.org	public_patient_professional_reference	resource.national_ms_society.dmt_reference.2026-06-13	external_resource_catalog	https://www.nationalmssociety.org/for-professionals/for-healthcare-professionals/managing-and-treating-ms/disease-modification	open	knowledge_external/catalogs/resources/national_ms_society_dmt_reference.json
nationalmssociety.org	public_patient_professional_reference	resource.national_ms_society.types_of_ms.2026-06-13	external_resource_catalog	https://www.nationalmssociety.org/understanding-ms/what-is-ms/types-of-ms	open	knowledge_external/catalogs/resources/national_ms_society_types.json
england.nhs.uk	public_clinical_guideline	resource.nhs_england.ms_dmt_algorithm.2026-06-13	external_resource_catalog	https://www.england.nhs.uk/wp-content/uploads/2024/03/treatment-algorithm-for-multiple-sclerosis-disease-modifying-therapies-july-23.pdf	open	knowledge_external/catalogs/resources/nhs_england_ms_dmt_algorithm.json
nice.org.uk	public_clinical_guideline	resource.nice.ng220_ms_management.2026-06-13	external_resource_catalog	https://www.nice.org.uk/guidance/ng220	open	knowledge_external/catalogs/resources/nice_ng220_ms_management.json
commondataelements.ninds.nih.gov	public_clinical_data_standard	resource.ninds.ms_common_data_elements.2026-06-13	external_resource_catalog	https://www.commondataelements.ninds.nih.gov/Multiple%20Sclerosis	open	knowledge_external/catalogs/resources/ninds_ms_common_data_elements.json
platform-docs.opentargets.org	public_target_platform_docs	resource.open_targets.platform.2026-06-13	external_resource_catalog	https://platform-docs.opentargets.org/	open	knowledge_external/catalogs/resources/open_targets_platform.json
cos.io	repository_platform	resource.osf.repository.2026-06-13	external_resource_catalog	https://www.cos.io/products/osf	mixed	knowledge_external/catalogs/resources/osf_repository.json
pubmed.ncbi.nlm.nih.gov	public_biomedical_database	resource.pubmed.literature.2026-06-13	external_resource_catalog	https://pubmed.ncbi.nlm.nih.gov/	open	knowledge_external/catalogs/resources/pubmed_literature.json
ncbi.nlm.nih.gov	public_biomedical_database	resource.sra.sequence_read_archive.2026-06-13	external_resource_catalog	https://www.ncbi.nlm.nih.gov/sra	open	knowledge_external/catalogs/resources/sra_sequence_read_archive.json
about.zenodo.org	public_repository	resource.zenodo.repository.2026-06-13	external_resource_catalog	https://about.zenodo.org/	open	knowledge_external/catalogs/resources/zenodo_repository.json
