access_tier	epistemic_class	count
open	ALL	23
registration	ALL	1
application	ALL	2
controlled	ALL	1
mixed	ALL	4
application	external-unverifiable	2
controlled	external-unverifiable	1
mixed	external-unverifiable	4
open	external-unverifiable	23
registration	external-unverifiable	1
