component	summary_path	summary_exists	overall_status	n_checks	n_fail
governance_preflight	analysis/v48_governance_preflight/v48_governance_preflight_summary.json	yes	PASS	33	0
provenance_gate	analysis/v47_provenance_gate/provenance_gate_summary.json	yes	PASS	354	0
governance_navigation	knowledge_external/catalogs/indexes/v48_governance_navigation_summary.json	yes	PASS	39	0
convergence_matrix	knowledge_external/catalogs/indexes/convergence_contradiction_v48_summary.json	yes	PASS		
source_terms_packet	knowledge_external/catalogs/indexes/high_priority_source_terms_packet_v48_summary.json	yes	PASS	9	
